config,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,energy_above_hull,self_consistent_energy_above_hull
R1,17000,R1_seed_17000,-37.11445617675781,-3.092871348063151,0.0515295825898647,True,5.702705242030788,196,Hg2Ge(Te2As)3,As-Ge-Hg-Te,False,False,True,True,True,True,True,True,False,0.18551934563436356,0.23603505816623818,False,False,0.18551934563436356,0.18551934563436356
R1,17001,R1_seed_17001,-29.871267318725582,-4.267323902675083,0.0365515202283859,True,1.1069491390371695,40,PrPbCl5,Cl-Pb-Pr,True,True,True,True,True,True,True,True,True,0.12812839323600933,0.0636678766328822,False,False,0.12812839323600933,0.12812839323600933
R1,17002,R1_seed_17002,-138.2125701904297,-7.2743457994963,0.04997543618083,True,2.136856905999593,69,Sr3HoLu2Mn2O11,Ho-Lu-Mn-O-Sr,True,True,True,True,True,True,True,True,False,0.2710573264095242,0.060406159092440535,False,False,0.2710573264095242,0.2710573264095242
R1,17003,R1_seed_17003,-107.37362670898438,-5.965201483832465,0.0431428365409374,True,6.103093912999611,222,As7O11,As-O,False,False,True,True,True,True,True,True,True,0.12420473660251741,0.21981714710598962,False,False,0.12420473660251741,0.0
R1,17004,R1_seed_17004,-89.78038024902344,-8.16185274991122,0.0502111837267875,True,1.7479763920418918,62,Cr6NiP4,Cr-Ni-P,True,True,True,True,True,True,True,True,True,0.06865838943408065,0.04300582159370975,True,True,0.06865838943408065,0.05109090376325831
R1,17005,R1_seed_17005,-46.4341049194336,-4.643410491943359,0.0500334613025188,True,0.2461248339968733,9,La2AlCu2,Al-Cu-La,True,True,True,True,True,True,True,True,True,0.015844665982760908,0.002861239297788766,True,True,0.015844665982760908,0.015844665982760908
R1,17006,R1_seed_17006,-32.366458892822266,-3.5962732103135853,0.0491958558559417,True,1.0215821250458248,37,Cs3SrCl5,Cl-Cs-Sr,True,True,True,True,True,True,True,True,True,0.1023988075292146,0.040801955791267414,False,False,0.1023988075292146,0.08551947366588086
R1,17007,R1_seed_17007,-53.485687255859375,-5.348568725585937,0.0462456457316875,True,1.8861594320042057,65,SrO4,O-Sr,True,True,True,True,True,True,True,True,True,0.14838788541878145,0.061192381388422104,False,False,0.14838788541878145,0.0
R1,17008,R1_seed_17008,-49.00798797607422,-4.455271634188565,0.0509494878351688,True,6.923840745002963,242,Sm4Ag4Ge3,Ag-Ge-Sm,True,True,True,True,True,True,True,True,True,0.15149565689194588,0.22120551476917724,False,False,0.15149565689194588,0.1356999324171655
R1,17009,R1_seed_17009,-26.18843650817871,-2.618843650817871,0.0494793653488159,True,0.4942396230180748,18,K2HgSbBr6,Br-Hg-K-Sb,True,True,True,False,False,True,True,False,True,0.1277746310137986,0.005345763550995652,False,False,0.1277746310137986,0.1277746310137986
