Cohort,N,Relative MaxF reduction,CI low,CI high,Status
P0,16,0.16655025583773608,0.10170663138060133,0.3124142183105426,GO
Formal32,32,0.26567778691273397,0.1427416747473922,0.5286057084634727,STRONG_CONFIRMED
Formal256,256,0.2981200713131941,0.21416622087171452,0.4087580889652716,STRONG_CONFIRMED
