method,seed,success,formula,num_atoms,relaxation_steps,final_energy_ev,force_mean,force_max,e_hull,stable,nus,novel,unique,rmsd
V2_Frozen_Atomic75_Late30,67025,True,H2Co5Fe3,10,18,-67.05262756347656,0.0747423868355365,0.15005371205011925,0.10052273498567477,0.0,0.0,1.0,1.0,0.017331934446221657
C0,67026,True,Co12Fe3Mn2Sc2,19,109,-140.688232421875,0.15795454172611334,0.388448720540006,0.19657971542763253,0.0,0.0,1.0,1.0,0.08382875779074936
V2_Frozen_Atomic75_Late30,67026,True,Co12Fe5Sm2,19,28,-137.72854614257812,0.07694904112156968,0.17703438939733884,0.04310027523273963,1.0,1.0,1.0,1.0,0.00901003220656469
C0,67027,True,Fe2Ni2Pd2,6,16,-39.0074577331543,0.05199394486709317,0.08243075936932098,0.06882284197428401,1.0,0.0,0.0,1.0,0.008102984749175474
V2_Frozen_Atomic75_Late30,67027,True,EuMnNi4,6,11,-42.7441291809082,0.048868434362594804,0.08197756021510094,0.12561014857468855,0.0,0.0,1.0,1.0,0.0027536594343167396
C0,67028,True,ErEu2Sn,4,7,-30.62348175048828,0.002921124265512767,0.005332174267426,0.1188501655029297,0.0,0.0,0.0,1.0,0.0012228225323569542
V2_Frozen_Atomic75_Late30,67028,True,CoFe3,4,10,-32.64496994018555,0.03599047526409141,0.04546059105487301,0.016256574953613878,1.0,0.0,0.0,1.0,0.0011284796381466047
C0,67029,True,Eu3Pt9,12,37,-94.02974700927734,0.08829385735421134,0.15051432138042745,0.02212839422688795,1.0,1.0,1.0,1.0,0.006180867891523512
V2_Frozen_Atomic75_Late30,67029,True,Eu8Pt2Sb2,12,34,-111.9022445678711,0.04610794957441728,0.08271047714956795,0.11583989628851832,0.0,0.0,1.0,1.0,0.00831359044911357
C0,67030,True,Eu2Ge2In,5,22,-35.23772430419922,0.06427733293593443,0.09858721243374569,0.06424068791015713,1.0,1.0,1.0,1.0,0.01354390295600614
V2_Frozen_Atomic75_Late30,67030,True,EuGd2InN,5,13,-53.75507354736328,0.0218095521459989,0.03939596756002954,0.05601511602734455,1.0,1.0,1.0,1.0,0.001785127255828823
C0,67031,True,Eu4F14,18,658,-123.27523803710938,0.17031287586538713,0.35674854188193134,0.014299669882812616,1.0,1.0,1.0,1.0,0.38650629347793947
V2_Frozen_Atomic75_Late30,67031,True,F11Mn6O,18,39,-114.87509155273438,0.2081637034843605,0.5367392999689639,0.11002408158420796,0.0,0.0,1.0,1.0,0.031170894193301966
C0,67032,True,Eu2LiZn,4,8,-24.1192626953125,0.027621838332300863,0.03589532788682951,0.051985297838541555,1.0,0.0,0.0,1.0,0.0015366664384497892
V2_Frozen_Atomic75_Late30,67032,True,Eu3Li,4,16,-32.368064880371094,0.003511835315328457,0.004737200814362845,0.10981386157389217,0.0,0.0,0.0,1.0,0.003191533098428988
