metric,direction,n,c0_mean,c0_median,c0_std,c0_p5,c0_p25,c0_p75,c0_p95,c0_max,v2_mean,v2_median,v2_std,v2_p5,v2_p25,v2_p75,v2_p95,v2_max,delta_mean_v2_minus_c0,relative_change_mean
e_hull,lower,256,0.10214067416255741,0.07864822663071136,0.09921369831051229,-0.0005508008024968092,0.039113512835941666,0.14613875967238132,0.25972931874464056,0.575332319357905,0.10587888220866258,0.08533616773547825,0.10823650543732061,0.00459796681266833,0.04570533165820789,0.13840765725052728,0.27631885852457816,1.0762077124291984,0.003738208046105168,0.03659862319055973
stable,higher,256,0.5859375,1.0,0.4935242410161716,0.0,0.0,1.0,1.0,1.0,0.58984375,1.0,0.4928253628165804,0.0,0.0,1.0,1.0,1.0,0.00390625,0.006666666666666599
nus,higher,256,0.31640625,0.0,0.4659844891384766,0.0,0.0,1.0,1.0,1.0,0.33203125,0.0,0.47186465220442186,0.0,0.0,1.0,1.0,1.0,0.015625,0.04938271604938271
novel,higher,256,0.69140625,1.0,0.46281785579972906,0.0,0.0,1.0,1.0,1.0,0.71484375,1.0,0.45237323541258173,0.0,0.0,1.0,1.0,1.0,0.0234375,0.03389830508474567
unique,higher,256,0.98828125,1.0,0.10782781753932572,1.0,1.0,1.0,1.0,1.0,0.9765625,1.0,0.15158476564770812,1.0,1.0,1.0,1.0,1.0,-0.01171875,-0.011857707509881465
rmsd,lower,256,0.08037439152788274,0.014359358066730861,0.2234424552237263,0.00089948939639398,0.0023720082729765343,0.04651339201407468,0.4462955117093815,1.4368647031705382,0.053015100170754316,0.01584327172462941,0.13986222373360477,0.00084979542074696,0.0026531938612895834,0.04537426355794151,0.15682252254348503,1.1759216829553132,-0.027359291357128425,-0.3403981148353352
force_mean,lower,256,0.1341998019433409,0.07501718216738387,0.20841414196607902,0.003940410770175612,0.029056482148970195,0.16884739592449546,0.4052644896924479,2.5428238988259233,0.12955892662121163,0.0762302034946839,0.16444066219748413,0.0068944596941617284,0.02974530699523576,0.17875621688054033,0.4108229737566398,1.6891405742420469,-0.004640875322129284,-0.034581834361340213
force_max,lower,256,0.2842409821368349,0.1355690459105685,0.5031709644123624,0.0067275987299311385,0.05462126344552589,0.35139998991163346,0.9331557366220937,6.18952817533498,0.29031214301527064,0.14711798472581622,0.4965912035754271,0.010155538113628324,0.049574301596046734,0.3586040806503132,0.9830104690438626,5.58136088969615,0.006071160878435733,0.021359203140921545
