metric,tail_statistic,c0,v2,delta_v2_minus_c0,ratio_v2_over_c0,paired_bootstrap_delta95_low,paired_bootstrap_delta95_high,paired_bootstrap_ratio95_low,paired_bootstrap_ratio95_high,bootstrap_samples
rmsd,p50,0.014359358066730861,0.01584327172462941,0.0014839136578985498,1.1033412253530068,-0.002783075452501604,0.00841256828255478,0.8281365106521594,1.780895593699036,20000
rmsd,p75,0.04651339201407468,0.04537426355794151,-0.001139128456133169,0.9755096670698952,-0.013291344305689927,0.012043649807303533,0.7540846442505725,1.3191400575494805,20000
rmsd,p90,0.12145412004377931,0.09829378524051083,-0.023160334803268484,0.8093079527074082,-0.18490358644050314,0.043649404100897266,0.3337334909626004,1.5043349752569135,20000
rmsd,p95,0.4462955117093815,0.15682252254348503,-0.2894729891658965,0.35138718277230774,-0.7200281113781004,0.06605863345872331,0.1643763977350313,1.289710361825817,20000
rmsd,p99,1.225423121732243,0.7976087654714575,-0.42781435626078557,0.6508843772622533,-0.9121076580287569,0.16143800079535886,0.2985214933968033,1.1564678666405843,20000
rmsd,max,1.4368647031705382,1.1759216829553132,-0.260943020215225,0.8183941608145592,,,,,0
