metric,metric_type,n_paired,c0_mean,v2_mean,mean_paired_difference_v2_minus_c0,paired_difference_median,paired_difference_std,paired_bootstrap95_low,paired_bootstrap95_high,bootstrap_samples,bootstrap_seed,wilcoxon_pratt_statistic,wilcoxon_pratt_p_two_sided,mcnemar_discordant_c0_0_v2_1,mcnemar_discordant_c0_1_v2_0,mcnemar_exact_p_two_sided,equivalence_claim_from_p_value_prohibited
e_hull,continuous,256,0.10214067416255741,0.10587888220866258,0.0037382080461051716,-6.4373016357421875e-06,0.1276875928088246,-0.011487357550033087,0.01979759483119358,20000,20260905,16306.0,0.9056890993560267,,,,True
stable,binary,256,0.5859375,0.58984375,0.00390625,0.0,0.6477596193880906,-0.07421875,0.08203125,20000,20260905,10759.0,0.922985566918368,54,53,1.0,True
nus,binary,256,0.31640625,0.33203125,0.015625,0.0,0.6004491782709628,-0.0546875,0.08984375,20000,20260905,9262.0,0.6766573217164245,48,44,0.7546517496104984,True
novel,binary,256,0.69140625,0.71484375,0.0234375,0.0,0.5381864062229157,-0.04296875,0.08984375,20000,20260905,7463.0,0.48549880264428236,40,34,0.5613807442989817,True
unique,binary,256,0.98828125,0.9765625,-0.01171875,0.0,0.1875,-0.03515625,0.01171875,20000,20260905,756.0,0.31731050786291415,3,6,0.5078125,True
rmsd,continuous,256,0.08037439152788274,0.053015100170754316,-0.02735929135712841,0.00037812077718551865,0.2664050766472048,-0.06064783785341091,0.004556905379283621,20000,20260905,15299.0,0.33259345263573403,,,,True
force_mean,continuous,256,0.1341998019433409,0.12955892662121163,-0.004640875322129281,-0.0028250026021315188,0.2390344068775421,-0.034466201615349246,0.024390503549827212,20000,20260905,15976.0,0.6906171339839003,,,,True
force_max,continuous,256,0.2842409821368349,0.29031214301527064,0.0060711608784357295,-0.0015927204333927771,0.6671588616449518,-0.07745364198253972,0.08732956648569913,20000,20260905,16429.0,0.9872169209061057,,,,True
