adapter_accept_calls,adapter_calls,adapter_checkpoint_sha256,atomic_risk_fallback_calls,checkpoint_sha256,coverage,failure_summary_path,fallback_calls,formula,forward_reduction,generation_time_seconds,invalid_risk_fallback_calls,late_exact_calls,logical_score_calls,method,nan_adapter_fallback_calls,nan_risk_fallback_calls,num_atoms,output_path,output_sha256,peak_gpu_memory_bytes,run_summary_path,run_summary_sha256,samples_per_hour,second_forward_avoidance,second_forward_calls,seed,success
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,EuZnNi,0.0,114.43687524506822,0,0,2000,C0,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67005/generated_crystals.extxyz,b063fcb972e4f0d0bed1254349ffdae18b82b6e330068747a55d83ce44fd796f,273389568,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67005/run_summary.json,7f5cd2cbd23648a1235f8250b5b87319cb207764f230050277e7443bcaa1cadb,31.458391294681437,0.0,1000,67005,True
695,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,5,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.695,,305,EuHoNi,0.3475,81.09797808690928,0,300,1305,V2_Frozen_Atomic75_Late30,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67005/generated_crystals.extxyz,735ef81ce8872caa35a55ac68662090a1f13ab2258fde630902b349f4f84bf52,272979968,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67005/run_summary.json,64bd9c944541faafc80a042b8eaab12926a43cca3948076010eb0524c2543794,44.39074912745706,0.695,305,67005,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,Fe2Co2H,0.0,114.86789319710806,0,0,2000,C0,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67006/generated_crystals.extxyz,537296ee8dd1328cae1363bdf07a19f1de88c1ae8565960a63d0a9f97d2121f3,300296704,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67006/run_summary.json,5154cbcf401ae28c198243af5fbcc4425358f99d18ad262565c733c162c3ecea,31.340350204060627,0.0,1000,67006,True
589,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,111,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.589,,411,Fe4Co3Si2Ge,0.2945,85.56625221902505,0,300,1411,V2_Frozen_Atomic75_Late30,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67006/generated_crystals.extxyz,4c4de3dbcf0994a758befb9907f3b6c75a57101bf3a1c74613b00eb7a57ed4b2,303387136,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67006/run_summary.json,fafd346e357800584ea5f5c482541a7473c5d93522a2696c635d0d38e2c85d66,42.07266190395991,0.589,411,67006,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,MnFe3,0.0,114.5358860869892,0,0,2000,C0,0,0,8,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67007/generated_crystals.extxyz,033014b74d9f3bf0d89513f9fac57ff335ba9752cdad7128b57e2059a39e170b,286703616,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67007/run_summary.json,72d624b4112eafc4b23792507be71584af5bd0ab73e7430bf39524ef413bbfb6,31.43119700724911,0.0,1000,67007,True
632,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,68,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.632,,368,MnFe2Ni,0.316,85.46345285885036,0,300,1368,V2_Frozen_Atomic75_Late30,0,0,8,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67007/generated_crystals.extxyz,ace9c3e295a3de6eaed7619fd39bfc38ab34d1cbaf397d462ac6e32cbc5fe333,286410240,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67007/run_summary.json,77f51a278a15e10a1968b23f8358a58160f58453435caf5457f6383b5275b8e9,42.12326883101346,0.632,368,67007,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,Eu5As3O2,0.0,115.5424725569319,0,0,2000,C0,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67008/generated_crystals.extxyz,eadf403e7d8bd31367ea95d1c05427d1a923b8589e886054de44e6397bde3ce5,303449600,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67008/run_summary.json,40bfd6796c0e2de4b4b33f91d0dc2799ffeabd85ba76965f9d889a59ac912dad,31.157373737403375,0.0,1000,67008,True
600,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,100,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.6,,400,Eu2MnAs3Pt4,0.3,85.0640182371717,0,300,1400,V2_Frozen_Atomic75_Late30,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67008/generated_crystals.extxyz,718544aba04733a5e6608360d74b4aaf12c169da9354c3aced615750591a6f9e,304758784,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67008/run_summary.json,d898833e24f712b5ad586375823e8c9115ddca8873830c7caa240ab95bcedbab,42.32106682243297,0.6,400,67008,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,Fe4NiO5F2,0.0,116.14538419200107,0,0,2000,C0,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67009/generated_crystals.extxyz,88eaafac905713090dd3254e9f670c5c6ca48b1d9ad8a397e348436d1b797bff,317280768,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67009/run_summary.json,a2608910de8180775cea1f21689d482c8e87236bae4376f09bba7e99747b0887,30.99563555662965,0.0,1000,67009,True
303,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,397,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.303,,697,Mn2Ni4O5F,0.1515,100.44347410090268,0,300,1697,V2_Frozen_Atomic75_Late30,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67009/generated_crystals.extxyz,41d472091751f4a699b522d971d252945c09786f42d857504bf00a5d12191a5e,317329920,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67009/run_summary.json,0084da9d363c92f5a4cc18087e325664df7db993607c44d02fb31b67dc04b3a8,35.84105420710102,0.303,697,67009,True
