method,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,input_hash,output_hash,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,pre_relax_max_force_ev_ang,formal_seed
A0,20010,A0_seed_20010,-72.75391387939453,-7.275391387939453,0.0434309244155883,True,2.083436654997058,65,EuO4,Eu-O,28eeea304f262f642ad96cb080f2d0f7c85c88d67239a9adc051be47fba8f006,9ed667562091359181b784cf3d71bbb64defc4d448f7c3d1bfafe79ef6e2d8df,0.1919879846777519,0.0644647451388795,False,False,True,True,True,True,True,True,True,True,True,0.1919879846777519,0.0,1.3213170728002213,False,False,1.1404207008447542,20010
A0,20011,A0_seed_20011,-42.57559967041016,-8.515119934082032,0.0084939152002334,True,0.0699910839903168,3,Eu3HgN,Eu-Hg-N,02cd486cbbcf038fa5e52e6cf301e98c5b1e3c84e79e338971b6cf9975b95cdd,faf695991466844c62f3d3bbd28846847e94208465c79734b2bc929e98ed6963,0.0988846467171047,0.0017226031839222,False,True,False,False,True,False,False,True,True,False,True,0.0988846467171047,0.0988846467171047,2.5515139799715896,False,False,0.008872588738784947,20011
A0,20012,A0_seed_20012,-63.13217544555664,-7.89152193069458,0.0473513528704643,True,0.858176262001507,30,Eu5MgAu2,Au-Eu-Mg,fbbf770d7682175fcbc322b73047c9e7f5ecd043e6022e8dd49dfafdf8894205,5e88e5492467c26335ab0d81a1ba37aad9c51b44687742cd3c6837398db2e0d1,0.0325475734433222,0.0607286703662664,True,True,True,True,True,True,True,True,True,True,True,0.0325475734433222,0.0325475734433222,2.889450439283141,False,False,0.12556253078236465,20012
A0,20013,A0_seed_20013,-32.84022521972656,-8.21005630493164,0.00859653390944,True,0.2338962170179002,8,Mn2PtRh,Mn-Pt-Rh,188e83f8109cdfb72a49c3745fa55fe1328822f80c0368bed92b3a62db3e1b37,3d75c6cbf23216326c7c2cd9c548c83120bf3850e4c7c6da534e17f28c70bd5c,0.0126198015257426,0.0007070240798019,False,True,True,True,True,False,False,True,True,False,True,0.0126198015257426,0.0,2.661096962961221,False,False,0.011574952548436905,20013
A0,20014,A0_seed_20014,-117.89424896240234,-6.5496804979112415,0.0411518178880214,True,0.6876903459778987,24,Mn2OF3,F-Mn-O,7021ecead2eb5458d0e8c78a16f3e37d86319d7634d141c91cfcb369558a718d,24c8c6ffff639124f6127be20be9f38bf43e677a3bb31a99de975adb7d2a641d,0.1648722837318441,0.0159608994509953,False,False,True,True,True,True,True,True,True,True,True,0.1648722837318441,0.1648722837318441,1.8841873097576254,False,False,0.18785108896521807,20014
A0,20015,A0_seed_20015,-179.2734832763672,-8.963674163818359,0.0439297370612621,True,0.9245775299496016,33,Gd2MgSbO6,Gd-Mg-O-Sb,9000b23dc43672cf586332883cee56e6cdc7e381508cdace53588503933f513c,0e4875d336e462242b70679766831ebca4874487fee12974fc1886021cf82f05,0.2237940682278534,0.0225474218466024,False,False,True,True,True,True,True,True,True,True,False,0.2237940682278534,0.2237940682278534,2.1038328137616684,False,False,0.4161067903762627,20015
A0,20016,A0_seed_20016,-59.74231719970703,-7.467789649963379,0.0462916009128093,True,0.3488911740132607,12,BeFe5Si2,Be-Fe-Si,62ba66af977c63e3810e4d89fadacb993f6f457ca5ec2cf28590c587053fcb00,78c82bfcb2ae09fd8da4fd90851e6305aef59ef16c5cef78ca554a4630fe599e,0.0080971137355749,0.002352818292475,True,True,False,False,True,True,True,True,True,True,True,0.0080971137355749,0.0,2.319244759135515,False,False,0.0680526321062358,20016
A0,20017,A0_seed_20017,-116.28750610351562,-6.460417005750868,0.0397715270519256,True,2.508017092011869,81,Mn5FeO5F7,F-Fe-Mn-O,14276819ac69d980ed0107dc136b192f826c45ec76780f8f8fe44c19bd118b32,df591242aa3275f0f5057fc77bb4f417659132292be3d1c2002d0c0fa40fbabb,0.2735483266186547,0.0547291922568365,False,False,True,True,True,True,True,True,True,True,False,0.2735483266186547,0.2735483266186547,1.865294127618859,False,False,0.4481188485436855,20017
A0,20018,A0_seed_20018,-114.3921890258789,-7.149511814117432,0.0493587180972099,True,1.90010979201179,68,LiMn3O4,Li-Mn-O,6b3746823eef609fef192b0d9da2aad4dc6c6acdebeab3d7d4663aaeb26706d7,63828a1299348df1858ce6843a1bc1cec3b467ced2e41a4c52b372188161bd59,0.2147599047053869,0.0402790533616029,False,False,True,True,True,True,True,True,True,True,True,0.2147599047053869,0.1720307797616342,1.9930089418900216,False,False,0.5838458752646329,20018
A0,20019,A0_seed_20019,-90.22137451171876,-7.518447875976562,0.0379340834915638,True,1.9235827410011552,63,FeCo2,Co-Fe,476224f4251dc1c36bd6f3011c47fb73407c13082c49a19f2b7d4c229fdb5fb7,a6b15917c0d1fb87ebbf0314236ed1eaf20d1c19295eacee1c65acf352937bad,0.0986712215179697,0.0753506535401909,False,True,True,True,True,False,False,True,True,False,True,0.0986712215179697,0.0768169771043751,2.4180064580359133,False,False,0.2178524098758248,20019
