seed,gate_applied,a0_force,e3g_force,a0_force_source
20000,True,0.20644802103608598,0.1543538888181873,new_mattersim_single_point_probe
20001,True,0.29964397248323776,0.2194778427725968,new_mattersim_single_point_probe
20002,False,0.0394946304245908,0.0394946304245908,exact_gate_off_e3g_reuse
20003,False,0.2395420854504195,0.2395420854504195,exact_gate_off_e3g_reuse
20004,True,0.17287138720701464,0.1398700944381372,new_mattersim_single_point_probe
20005,False,0.0751200605348093,0.0751200605348093,exact_gate_off_e3g_reuse
20006,False,0.0557651254005327,0.0557651254005327,exact_gate_off_e3g_reuse
20007,True,0.5143065433297509,0.2974162196230696,new_mattersim_single_point_probe
20008,False,0.0324633400735009,0.0324633400735009,exact_gate_off_e3g_reuse
20009,True,0.03734444849097115,0.0248089520647876,new_mattersim_single_point_probe
20010,True,1.1404207008447542,0.3631735960951412,new_mattersim_single_point_probe
20011,True,0.008872588738784947,0.0064713624660725,new_mattersim_single_point_probe
20012,True,0.12556253078236465,0.1143168690775167,new_mattersim_single_point_probe
20013,True,0.011574952548436905,0.0100637839285313,new_mattersim_single_point_probe
20014,True,0.18785108896521807,0.1302953060207488,new_mattersim_single_point_probe
20015,True,0.4161067903762627,0.1789865454226097,new_mattersim_single_point_probe
20016,False,0.0680526321062358,0.0680526321062358,exact_gate_off_e3g_reuse
20017,True,0.4481188485436855,0.3528483313271017,new_mattersim_single_point_probe
20018,False,0.5838458752646329,0.5838458752646329,exact_gate_off_e3g_reuse
20019,True,0.2178524098758248,0.1800978550552021,new_mattersim_single_point_probe
20020,False,0.1156836366790601,0.1156836366790601,exact_gate_off_e3g_reuse
20021,False,0.6759954933436004,0.6759954933436004,exact_gate_off_e3g_reuse
20022,True,0.022102638018815575,0.0179645770902749,new_mattersim_single_point_probe
20023,True,0.8804964534672792,0.446535766382177,new_mattersim_single_point_probe
20024,False,0.1644265218690846,0.1644265218690846,exact_gate_off_e3g_reuse
20025,True,0.6083328510366787,0.4950814901289159,new_mattersim_single_point_probe
20026,True,1.4686593666661152,0.8028762705133115,new_mattersim_single_point_probe
20027,False,0.0695570153513996,0.0695570153513996,exact_gate_off_e3g_reuse
20028,True,0.6456712794195947,0.315620775235542,new_mattersim_single_point_probe
20029,True,0.047685044119401505,0.0315592780595535,new_mattersim_single_point_probe
20030,True,0.10669581891187718,0.1048892255259211,new_mattersim_single_point_probe
20031,False,0.1209657094503108,0.1209657094503108,exact_gate_off_e3g_reuse
20032,False,0.2476285423167964,0.2476285423167964,exact_gate_off_e3g_reuse
20033,True,0.005874277305850322,0.0049434653685342,new_mattersim_single_point_probe
20034,True,0.1793597269541894,0.1224265759482383,new_mattersim_single_point_probe
20035,False,0.1545495488738984,0.1545495488738984,exact_gate_off_e3g_reuse
20036,True,0.018117587648883837,0.0151377807247766,new_mattersim_single_point_probe
20037,False,0.1310382871948987,0.1310382871948987,exact_gate_off_e3g_reuse
20038,True,0.46834120567758136,0.3303301576210137,new_mattersim_single_point_probe
20039,True,0.8968248424757068,0.4917981829605581,new_mattersim_single_point_probe
20040,True,0.0023737209532976953,0.0021763234153467,new_mattersim_single_point_probe
20041,False,0.1012551365413988,0.1012551365413988,exact_gate_off_e3g_reuse
20042,True,0.05927000303961146,0.0527928883241536,new_mattersim_single_point_probe
