selector,split,method,k,resamples,random_seed,compute_multiplier,property_mae_mean,property_mae_ci95_low,property_mae_ci95_high,recovered_oracle_headroom_mean,recovered_oracle_headroom_ci95_low,recovered_oracle_headroom_ci95_high,e_hull_mean_mean,e_hull_mean_ci95_low,e_hull_mean_ci95_high,stable_rate_mean,stable_rate_ci95_low,stable_rate_ci95_high,novel_rate_mean,novel_rate_ci95_low,novel_rate_ci95_high,unique_rate_mean,unique_rate_ci95_low,unique_rate_ci95_high,nus_rate_mean,nus_rate_ci95_low,nus_rate_ci95_high,validity_rate_mean,validity_rate_ci95_low,validity_rate_ci95_high,fallback_rate_mean,fallback_rate_ci95_low,fallback_rate_ci95_high
SAFE-A,offline_test,Random-Branchable-K1,1,20000,2026091901,1.6,0.025084608591120994,0.021532231459070184,0.028735963369391864,0.4240999152777746,0.007167496907726017,0.8297305040779646,0.07858636506193739,0.07097125789383547,0.08582044752498703,0.7293916666666667,0.6666666666666666,0.8333333333333334,0.6878791666666666,0.5833333333333334,0.75,1.0,1.0,1.0,0.5211958333333334,0.5,0.5833333333333334,1.0,1.0,1.0,0.7709833333333332,0.5833333333333334,0.9166666666666666
SAFE-A,offline_test,Random-Branchable-K2,2,20000,2026091902,2.1999999999999997,0.022693490487962514,0.020049227508932798,0.025580647876763386,0.6971313553588654,0.36745933348600107,0.9990683145429126,0.0756714762518403,0.07047517939985122,0.08049990754854215,0.749875,0.6666666666666666,0.8333333333333334,0.6386,0.5833333333333334,0.75,1.0,1.0,1.0,0.5137583333333334,0.5,0.5833333333333334,1.0,1.0,1.0,0.6385166666666666,0.5,0.75
SAFE-A,offline_test,Random-Branchable-K3,3,20000,2026091903,2.8,0.02118236188447132,0.02004106811907561,0.02376646372841021,0.8696805984154651,0.5746131791880866,1.0,0.07511290220998727,0.07395313403997399,0.07604665662480663,0.75,0.75,0.75,0.6039625,0.5833333333333334,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5629708333333333,0.5,0.6666666666666666
SAFE-B,offline_test,Random-Branchable-K1,1,20000,2026091911,1.6,0.0265177154993121,0.023177424997182516,0.028798733911880692,0.3052818609118948,0.0,0.7523322200223919,0.08167338962973733,0.07433124441605855,0.08629639481154068,0.6873166666666666,0.6666666666666666,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.52065,0.5,0.5833333333333334,1.0,1.0,1.0,0.8338666666666668,0.6666666666666666,1.0
SAFE-B,offline_test,Random-Branchable-K2,2,20000,2026091912,2.1999999999999997,0.024496305991360195,0.021448794106284457,0.027414046151408644,0.5758187635744451,0.18532075583853672,0.9836848703540894,0.07905663467420014,0.07327338796140208,0.08573436252335942,0.6946916666666666,0.6666666666666666,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.528025,0.5,0.5833333333333334,1.0,1.0,1.0,0.6954166666666666,0.5,0.9166666666666666
SAFE-B,offline_test,Random-Branchable-K3,3,20000,2026091913,2.8,0.022786132041810174,0.021326890004237247,0.025563766670233874,0.8047012149062469,0.43295433920100446,1.0,0.07795338999321456,0.07319490828806864,0.08192588308203941,0.6872124999999999,0.6666666666666666,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.5205458333333333,0.5,0.5833333333333334,1.0,1.0,1.0,0.5841166666666666,0.5,0.75
