method,n,maxF_mean_ev_per_a,maxF_median_ev_per_a,maxF_p75_ev_per_a,maxF_p90_ev_per_a,maxF_p95_ev_per_a,maxF_max_ev_per_a,atomic_force_mean_ev_per_a,rmsd_mean_a,e_hull_mean_ev_per_atom,stable_fraction,novel_fraction,unique_fraction,nus_fraction,validity_fraction,mag_density_mean_a3,mag_mae_a3,mag_hit_fraction,surrogate_property_eval,dft_verified
C0,32,0.18347236755422827,0.09452451621580824,0.128403830023533,0.15957332227372123,0.2327992940229951,2.8319158797469175,0.0732368633669861,0.0521316271543507,0.03905237152582558,0.9375,0.25,0.59375,0.1875,1.0,0.19898417666144688,0.0061277398869572,0.78125,True,False
F0,32,0.1347278349827812,0.0435463476363105,0.06580240346486041,0.12752650203174296,0.17082424193143908,2.6984628927255967,0.04887880915462303,0.04899051190125276,0.03923216240866276,0.9375,0.25,0.59375,0.1875,1.0,0.19893839755427,0.00614777731805114,0.78125,True,False
