method,pre_relax_max_force,pre_relax_max_force_median,convergence_rate,relaxation_steps_mean,relaxation_steps_median,rmsd,ehull,ehull_median,ehull_coverage,stable,metastable,nus,msun,novel,unique,composition_validity,structure_validity,relaxation_failure_rate,short_bond_rate,abnormal_cell_rate,relaxation_elapsed_mean,ehull_all_available
A0,0.26527988196406616,0.1663651630022272,1.0,37.765625,20.5,0.0775783977021853,0.13996250888708173,0.0943341244732129,1.0,0.546875,0.796875,0.328125,0.46875,0.671875,1.0,0.84375,1.0,0.0,0.0,0.0,1.0862119299272308,0.13996250888708173
A0+E3-G,0.21482998015936608,0.1475314680545636,1.0,37.0625,19.0,0.07629309817339794,0.1399626240268793,0.09434173250544026,1.0,0.546875,0.796875,0.328125,0.46875,0.671875,1.0,0.84375,1.0,0.0,0.0,0.0,1.0246330101690546,0.1399626240268793
