branch_id,seed,schedule_id,schedule_kind,active_cfg,delta_g,start,duration,formula,num_atoms,geometric_valid,minimum_periodic_distance_angstrom,validity_reason,chgnet_success,chgnet_mag_density,target_mag_density,property_absolute_error,structure_valid,surrogate_property_eval,dft_verified,e_hull,stable,nus,novel,unique,quality_success,evaluation_valid,c0_property_absolute_error,property_delta_vs_c0,property_gain_vs_c0,property_harm_vs_c0,positive_property_degradation,e_hull_delta_vs_c0,e_hull_harm_vs_c0,stable_loss_vs_c0,validity_loss_vs_c0,nus_loss_vs_c0
499297182:C0,499297182,C0,c0,2.0,0.0,-1,1000,Al6BrEu7Ge3Zn,18,True,2.5820718382912795,,True,0.0976074110058022,0.1,0.0023925889941977,True,True,False,0.29267173663194423,False,False,True,True,True,True,0.0023925889941977,0.0,-0.0,False,0.0,0.0,False,False,False,False
1107224117:C_G190,1107224117,C_G190,constant,1.9,-0.1,-1,1000,H3CoEu,5,True,1.7879802399126083,,True,0.1549132764665227,0.1,0.0549132764665227,True,True,False,0.0921861646601485,True,False,False,True,True,True,0.0268340877076407,0.028079188758882,-0.028079188758882,True,0.028079188758882,0.10797955064764686,True,False,False,True
1107224117:P_T400_DM10,1107224117,P_T400_DM10,permanent,1.9,-0.1,400,600,H3BaEu,5,True,2.3221291062624227,,True,0.0681734712102776,0.1,0.0318265287897223,True,True,False,0.09023476778808615,True,True,True,True,True,True,0.0268340877076407,0.004992441082081602,-0.004992441082081602,True,0.004992441082081602,0.1060281537755845,True,False,False,False
1107224117:S_T400_DM10_K100,1107224117,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,HBaBiEu2,5,True,2.6073642812292293,,True,0.0944161678172659,0.1,0.005583832182734,True,True,False,0.16052108082148386,False,False,True,True,True,True,0.0268340877076407,-0.021250255524906697,0.021250255524906697,False,0.0,0.17631446680898222,True,True,False,True
1107224117:C0,1107224117,C0,c0,2.0,0.0,-1,1000,H2BiEu2,5,True,2.4001481252268637,,True,0.1268340877076408,0.1,0.0268340877076407,True,True,False,-0.015793385987498354,True,True,True,True,True,True,0.0268340877076407,0.0,-0.0,False,0.0,0.0,False,False,False,False
1521584480:C_G190,1521584480,C_G190,constant,1.9,-0.1,-1,1000,Co3Fe5,8,True,2.449550740797157,,True,0.196089705121324,0.1,0.096089705121324,True,True,False,0.05837142429931674,True,False,False,True,True,True,0.0731097587556281,0.022979946365695905,-0.022979946365695905,True,0.022979946365695905,0.013147399359374035,False,False,False,False
1521584480:P_T400_DM10,1521584480,P_T400_DM10,permanent,1.9,-0.1,400,600,Eu3Pd2Sn3,8,True,2.709685963761564,,True,0.0946999150477257,0.1,0.0053000849522742,True,True,False,0.06186976838541014,True,True,True,True,True,True,0.0731097587556281,-0.0678096738033539,0.0678096738033539,False,0.0,0.01664574344546743,False,False,False,False
1521584480:S_T400_DM10_K100,1521584480,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,Eu4O4,8,True,2.2979468035669157,,True,0.1834779567528791,0.1,0.0834779567528791,True,True,False,0.1151035188427727,False,False,True,True,True,True,0.0731097587556281,0.010368197997251,-0.010368197997251,True,0.010368197997251,0.06987949390282999,True,True,False,False
1521584480:C0,1521584480,C0,c0,2.0,0.0,-1,1000,B2Eu2Fe2N2,8,True,1.4301781983895754,,True,0.1731097587556281,0.1,0.0731097587556281,True,True,False,0.04522402493994271,True,False,False,True,True,True,0.0731097587556281,0.0,-0.0,False,0.0,0.0,False,False,False,False
1709066281:C_G190,1709066281,C_G190,constant,1.9,-0.1,-1,1000,HEu,2,True,2.640856136857778,,True,0.1865817465047608,0.1,0.0865817465047608,True,True,False,0.1127571652844237,False,False,False,True,True,True,0.0332741322003692,0.053307614304391605,-0.053307614304391605,True,0.053307614304391605,0.09986133117309581,True,True,False,False
