schedule_id,n,p75_positive_property_degradation,p90_positive_property_degradation,worst_quartile_mean_property_degradation,maximum_property_degradation
C0,32,0.0,0.0,0.0,0.0
C_G190,32,0.005596068198729301,0.027569264519563402,0.0278358064207656,0.053307614304391605
P_T400_DM10,32,0.009070343507617377,0.04469254171191408,0.0406536909168661,0.0571092087470152
S_T400_DM10_K100,32,0.0065477395559216,0.027784829246851366,0.030336863063149724,0.059999790414627996
