method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,checkpoint_sha256,adapter_checkpoint_sha256,dft_verified
C0,77000,True,Fe3(OF2)2,18,116.01239056698978,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,77000,True,Fe2OF3,18,125.04368503694423,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,77000,True,Eu3MnO5,18,123.99213846912608,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,77001,True,Mn3(FeNi2)2,9,112.40801735292189,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,77001,True,Mn5Ni4,9,115.7147742989473,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,77001,True,Mn4Ni3Pd2,9,123.8025271568913,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,77002,True,Eu4NiRu,6,114.48096551909111,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,77002,True,EuFe4Ru,6,115.03458509896882,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,77002,True,EuYRu,6,125.11892283102497,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,77003,True,Fe4H5NO6,16,113.78902412694879,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,77003,True,GdHO2,16,114.12693021213636,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,77003,True,ScFe2HO4,16,121.62016911315732,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,77004,True,EuSi2,6,114.99736968404613,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,77004,True,EuSiBr,6,122.34126267489046,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,77004,True,Eu4GeBr,6,126.6553876218386,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,77005,True,GdFe(Co2B)3,11,114.61845415900461,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,77005,True,Gd2Ga4Co5,11,115.91130014997907,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,77005,True,Gd3(CoGe)4,11,124.21433967817575,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,77006,True,Fe3Pt2Rh,6,112.88995677791536,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,77006,True,MnFe3Rh2,6,121.2665785679128,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,77006,True,Fe2Rh,6,131.04139235219918,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,77007,True,Eu2MnSbO6,10,113.75424559111707,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,77007,True,EuFe2PO6,10,117.3797256120015,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
