method,training_origin,trainable_params,steps,batch_size,learning_rate,first_50_train_loss_mean,last_50_train_loss_mean,final_train_loss,final_train_atomic_loss,final_train_pos_loss,final_train_cell_loss,final_validation_loss,final_validation_atomic_loss,final_validation_pos_loss,final_validation_cell_loss,all_losses_finite,zero_init_passed,frozen_parameters_unchanged,all_trainable_parameters_changed,elapsed_seconds,peak_cuda_memory_mb,checkpoint_sha256
MLP,reused_global_transformer_p0,1090936,1000,16,0.0001,0.2772494721412659,0.2975552144646645,0.1887598633766174,0.105824276804924,0.8134710788726807,0.0015884826425462,0.2903814036399126,0.10190047603100538,1.7846110090613365,0.010019813576946035,True,True,True,True,54.272948995931074,1223.8486328125,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78
CFI,cross_field_interaction_p0,995986,1000,16,0.0001,0.27726034283638,0.2975885075330734,0.1891237497329712,0.10610142350196838,0.81465744972229,0.0015565820503979921,0.2897935602813959,0.1017439579591155,1.7809059917926788,0.009958998765796423,True,True,True,True,58.57558920304291,1229.06689453125,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b
