method,n,generation_success_rate,mattersim_success_rate,dft_verified,e_hull_mean_ev_per_atom,e_hull_median_ev_per_atom,e_hull_max_ev_per_atom,stable,nus,novel,unique,rmsd_mean_a,rmsd_median_a,rmsd_p95_a,rmsd_max_a,atomic_force_mean_ev_per_a,structure_max_force_mean_ev_per_a,force_p95_ev_per_a,force_max_ev_per_a,relaxation_steps_mean,relaxation_steps_p95,relaxation_steps_max
C0,8,1.0,1.0,False,0.15476861482161686,0.08817218621198863,0.6590578783043339,0.5,0.25,0.75,1.0,0.3101220282384472,0.02794924574364396,1.2210838997532116,1.5635765930254228,0.252591887949746,0.5025713960055254,0.4740133644775398,2.1087658608808955,159.25,590.9499999999997,788
MLP,8,1.0,1.0,False,0.1486924031501694,0.1401340521758705,0.30636476368001553,0.375,0.125,0.75,1.0,0.20431466062303263,0.03288777412277858,0.9290215201294942,1.3784584795296824,0.243590596532213,0.5612600411064272,1.1394664932546341,1.292299806759127,56.75,129.19999999999993,167
CFI,8,1.0,1.0,False,0.08273987480687595,0.0541856510283254,0.2170672342675779,0.625,0.5,0.875,1.0,0.08188445295954598,0.04891586511007602,0.2787902467762952,0.3933390480496603,0.2637732824270977,0.4556908118495473,0.7086450939185769,1.3100783351499075,96.375,345.5499999999998,495
