trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change,rmsd_relative_change,stable_change,nus_change,composition_change,structure_change,novel_change,unique_change
3,Q1_UQ_PQR,0.07389859556002273,0.012988650049835723,0.875,0.625,1.0,1.0,0.625,1.0,1.0,-0.052252381710578305,-0.7589202624605883,0.375,0.5,0.0,0.0,0.125,0.375
3,Q2_RFR,0.07730249310565292,0.010667162923886149,0.75,0.375,1.0,1.0,0.5,0.75,1.0,-0.04884848416494812,-0.8020089210107604,0.25,0.25,0.0,0.0,0.0,0.125
3,Q4_CPRC,0.06979901121322792,0.011479795682753174,0.75,0.375,1.0,1.0,0.375,1.0,1.0,-0.056351966057373123,-0.7869258067939702,0.25,0.25,0.0,0.0,-0.125,0.375
3,Q6_NS_SETRANK_PROXY,0.07634205966061777,0.011764901517826425,0.75,0.625,1.0,1.0,0.625,0.875,1.0,-0.049808917609983266,-0.7816340143731493,0.25,0.5,0.0,0.0,0.125,0.25
4,baseline_first,0.15378359353523413,0.04880628554953319,0.375,0.0,0.75,1.0,0.375,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Q1_UQ_PQR,0.08140319427026729,0.014689642393482586,0.875,0.375,0.875,1.0,0.375,0.875,1.0,-0.07238039926496684,-0.6990215045442423,0.5,0.375,0.125,0.0,0.0,0.0
4,Q2_RFR,0.0741055905588893,0.012656443055914087,0.75,0.25,1.0,1.0,0.25,0.75,1.0,-0.07967800297634484,-0.7406800596806502,0.375,0.25,0.25,0.0,-0.125,-0.125
4,Q4_CPRC,0.071238297367721,0.013315754426396088,0.875,0.25,0.875,1.0,0.25,0.875,1.0,-0.08254529616751313,-0.7271713207332278,0.5,0.25,0.125,0.0,-0.125,0.0
4,Q6_NS_SETRANK_PROXY,0.08951446803166448,0.056099639631573384,0.625,0.5,0.875,1.0,0.625,0.875,1.0,-0.06426912550356965,0.14943472956240877,0.25,0.5,0.125,0.0,0.25,0.0
5,baseline_first,0.16943452388494212,0.11163167582587157,0.125,0.0,0.75,1.0,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Q1_UQ_PQR,0.06977431995456193,0.011598271347714411,0.875,0.375,0.875,1.0,0.375,0.75,1.0,-0.09966020393038019,-0.8961023270330014,0.75,0.375,0.125,0.0,-0.25,-0.25
5,Q2_RFR,0.07423445572184449,0.004317718298047651,0.75,0.25,1.0,1.0,0.25,0.75,1.0,-0.09520006816309763,-0.9613217461253324,0.625,0.25,0.25,0.0,-0.375,-0.25
5,Q4_CPRC,0.06977431995456193,0.011598271347714411,0.875,0.375,0.875,1.0,0.375,0.75,1.0,-0.09966020393038019,-0.8961023270330014,0.75,0.375,0.125,0.0,-0.25,-0.25
5,Q6_NS_SETRANK_PROXY,0.07493402263434565,0.011563839441813089,0.875,0.625,1.0,1.0,0.625,0.75,1.0,-0.09450050125059647,-0.8964107691095589,0.75,0.625,0.25,0.0,0.0,-0.25
6,baseline_first,0.19154995931735752,0.03880780265282924,0.125,0.0,0.75,1.0,0.625,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Q1_UQ_PQR,0.0746323614986237,0.04036290549772805,0.875,0.375,0.875,1.0,0.5,1.0,1.0,-0.11691759781873381,0.040071911795950044,0.75,0.375,0.125,0.0,-0.125,0.125
6,Q2_RFR,0.07811314751817053,0.01240460203757321,0.875,0.375,0.875,1.0,0.375,0.875,1.0,-0.11343681179918699,-0.6803580416921939,0.75,0.375,0.125,0.0,-0.25,0.0
6,Q4_CPRC,0.0746323614986237,0.04036290549772805,0.875,0.375,0.875,1.0,0.5,1.0,1.0,-0.11691759781873381,0.040071911795950044,0.75,0.375,0.125,0.0,-0.125,0.125
6,Q6_NS_SETRANK_PROXY,0.0944070478399309,0.040383397042612186,0.75,0.375,0.875,1.0,0.5,0.875,1.0,-0.09714291147742662,0.0405999382103146,0.625,0.375,0.125,0.0,-0.125,0.0
7,baseline_first,0.11151607194514199,0.08590091058682607,0.625,0.25,0.875,1.0,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Q1_UQ_PQR,0.11807110011025909,0.057924056114727986,0.625,0.375,1.0,1.0,0.625,1.0,1.0,0.006555028165117105,-0.3256875192704729,0.0,0.125,0.125,0.0,0.0,0.0
7,Q2_RFR,0.10068168900426741,0.04526526091228992,0.5,0.125,1.0,1.0,0.25,0.625,1.0,-0.010834382940874576,-0.4730526067411457,-0.125,-0.125,0.125,0.0,-0.375,-0.375
