method,seed,formula,e_hull_ev_per_atom,rmsd_a,atomic_force_mean_ev_per_a,structure_max_force_ev_per_a,relaxation_steps,outlier_flags,dft_verified
C0,79028,NdMn2AsO4,0.2665285020922834,0.7913443290081335,0.37449057463481894,0.588642170465122,203,rmsd_gt_0.5;steps_gt_200,False
MLP,79002,Eu2Al3Au,0.0999900995963543,1.593061792697529,0.1917388200350586,0.5920061665223778,717,rmsd_gt_0.5;steps_gt_200;steps_gt_400,False
MLP,79004,K2Mn3VO8,0.09587503880163073,0.15411571625757614,0.20714835839749915,0.40846976843110994,234,steps_gt_200,False
MLP,79028,Mn5NO2,0.5774552849194343,1.1763610721106739,1.3371574384530591,4.320723465730139,79,rmsd_gt_0.5;max_force_gt_1,False
MLP,79031,EuGd2H3O8,0.10395184351144238,0.12095759450652414,0.7115467250550126,1.3735702780641263,111,max_force_gt_1,False
CFI,79004,MgMn3V2O8,0.2114916820019488,0.22024812321155804,0.2973216094742558,0.5852992751997539,280,steps_gt_200,False
CFI,79013,Eu10Si5H3,0.14766084604021934,0.42414915351298293,0.11140290844230999,0.3222176825123441,388,steps_gt_200,False
