method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,checkpoint_sha256,adapter_checkpoint_sha256,dft_verified
CFI,79007,True,MnFeCo2,4,123.63337108399719,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79008,True,EuYPd,3,115.04645102610812,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79008,True,EuSbPd,3,116.23923555808142,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79008,True,EuHBr,3,120.88664114614949,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79009,True,Eu2AlTl,4,121.55407683807425,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79009,True,Eu2MgAl,4,115.9903405639343,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79009,True,Eu2AlTl,4,132.67977054812945,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79010,True,Eu4Pb,5,112.41637640609406,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79010,True,Eu4H,5,115.39348366693594,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79010,True,Li(EuPd)2,5,125.2735877649393,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79011,True,Eu4Si3Ni5,12,115.07941482495517,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79011,True,LiEu,12,113.86163725191727,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79011,True,Eu6H5N,12,123.0642452291213,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79012,True,SmEu2Pb,4,114.8886475621257,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79012,True,Eu3Mg,4,115.59558112500235,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79012,True,Eu2CdGe,4,122.62468878389336,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79013,True,Li4Mn6O7F,18,114.84498783806339,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79013,True,Mn5OF12,18,117.35018522199243,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79013,True,Eu10Si5H3,18,129.74010518891737,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79014,True,Al3Fe13,16,114.54541546897963,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79014,True,LaMn3(FeO3)3,16,116.27711510984227,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79014,True,Mn4Fe11W,16,125.04123685089871,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79015,True,Li2Eu6P,9,114.44320860109292,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79015,True,BaEu4O4,9,115.36488287500106,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79015,True,Eu2Pt,9,125.37479388201609,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79016,True,Eu2FeNiO6,10,121.67577452887781,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79016,True,Eu(NiP)2,10,113.05893316213042,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79016,True,Eu2NiMoO6,10,121.97784612304531,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79017,True,Co3Ni,4,119.35841719200835,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79017,True,EuZn,4,115.17806376703084,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79017,True,CaEu2Cu,4,121.22795568709262,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79018,True,EuIn(FeO3)2,10,114.40515793510713,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79018,True,Eu6GaGe2O,10,124.00777077698149,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79018,True,EuFeO3,10,121.74514653696679,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79019,True,Al2(FeCo)5,12,114.07750738691539,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79019,True,Eu3Ti2O7,12,116.43870453792624,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79019,True,FeCo,12,124.74845539801754,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79020,True,EuGd2BiO6,10,112.64738074410707,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79020,True,GdBiO3,10,122.16603409592062,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79020,True,Gd2BiO2,10,125.79079847200774,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79021,True,EuAl(FeH4)2,12,114.22983231488615,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79021,True,LiEu2O3,12,115.19749931804836,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79021,True,EuZnGe,12,123.18083559698425,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79022,True,Gd3(CuO3)2,11,121.66807306394912,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79022,True,Na2Gd2F7,11,118.50012529920787,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79022,True,BaGd2F8,11,131.12625788198784,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79023,True,CdFe3,4,113.89244776102714,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79023,True,Eu2CdHg,4,116.52967829094268,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79023,True,NdEuCd2,4,130.09790615784004,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79024,True,Eu2O3,10,123.90034241881222,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79024,True,Eu5P2O3,10,115.06249739904888,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79024,True,Eu3FeO6,10,126.13036939594895,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79025,True,Fe3Ir,4,114.49588000704534,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79025,True,CaEuMg2,4,114.4584125999827,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79025,True,ZnFe3,4,130.59706079796888,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79026,True,Mn3Ru,4,115.51402217289433,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79026,True,Mn2RhAu,4,115.09817483602092,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79026,True,Mn2NiAu,4,121.10567062511109,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
