method,n,generation_success_rate,mattersim_success_rate,dft_verified,e_hull_mean_ev_per_atom,e_hull_median_ev_per_atom,e_hull_p95_ev_per_atom,e_hull_max_ev_per_atom,stable,nus,novel,unique,rmsd_mean_a,rmsd_median_a,rmsd_p95_a,rmsd_max_a,atomic_force_mean_ev_per_a,structure_max_force_mean_ev_per_a,structure_max_force_median_ev_per_a,structure_max_force_p95_ev_per_a,structure_max_force_max_ev_per_a,relaxation_steps_mean,relaxation_steps_median,relaxation_steps_p95,relaxation_steps_max,relaxation_steps_gt100_count,relaxation_steps_gt100_rate,relaxation_steps_gt200_count,relaxation_steps_gt200_rate,relaxation_steps_gt400_count,relaxation_steps_gt400_rate
C0,32,1.0,1.0,False,0.11140991899565744,0.09493409706058964,0.27381568674206425,0.36960767123046967,0.5,0.21875,0.65625,1.0,0.0452330887478318,0.006332016373726119,0.11023951058220102,0.7913443290081335,0.08544921886303172,0.17639483137340298,0.10763483146933357,0.5904267097474871,0.8461005415975804,32.4375,24.0,87.54999999999998,203,1,0.03125,1,0.03125,0,0.0
MLP,32,1.0,1.0,False,0.09648921066399702,0.0596456473751652,0.24807854096497348,0.5774552849194343,0.71875,0.40625,0.625,1.0,0.11563619928715468,0.014078649532924795,0.6141261263914695,1.593061792697529,0.15778559029512673,0.35606634249851626,0.11038457183385554,0.9914235594861376,4.320723465730139,58.0625,21.5,166.3499999999999,717,3,0.09375,2,0.0625,1,0.03125
CFI,32,1.0,1.0,False,0.09924919245291638,0.06946740239908955,0.29738009882913935,0.3702092473013092,0.59375,0.15625,0.46875,1.0,0.03500933850798054,0.0024697551455532957,0.16184449118798383,0.42414915351298293,0.06876354887484656,0.15019155364564515,0.08360492937485207,0.5888547799081937,0.8694352223302809,39.84375,16.0,165.59999999999985,388,2,0.0625,2,0.0625,0,0.0
