seed,cohort,training_overlap,mixed_256_membership,a0_max_force,a0_e3g_max_force,force_difference,rmsd_difference,ehull_difference,stable_difference,gate_on,refinement_harm,valid_for_formal_claims,valid_for_supplementary_claims
20000,training_overlap,True,True,0.2064480210360859,0.1543538888181873,-0.0520941322178986,-0.005781500218556102,-2.3246765136902825e-05,0,True,False,False,False
20001,training_overlap,True,True,0.2996439724832377,0.2194778427725968,-0.08016612971064091,-0.0057619859909990995,9.862263997489906e-06,0,True,False,False,False
20002,training_overlap,True,True,0.0394946304245908,0.0394946304245908,0.0,-5.927718400118229e-09,0.0,0,False,False,False,False
20003,training_overlap,True,True,0.2395420854504195,0.2395420854504195,0.0,1.858704299917413e-07,9.392632369931153e-07,0,False,False,False,False
20004,training_overlap,True,True,0.1728713872070146,0.1398700944381372,-0.033001292768877394,-5.025445751427604e-05,0.00010302543640079709,0,True,False,False,False
20005,training_overlap,True,True,0.0751200605348093,0.0751200605348093,0.0,1.6005693992404701e-09,0.0,0,False,False,False,False
20006,training_overlap,True,True,0.0557651254005327,0.0557651254005327,0.0,-8.5982000057154e-12,0.0,0,False,False,False,False
20007,training_overlap,True,True,0.5143065433297509,0.2974162196230696,-0.21689032370668132,-0.0002784596631452002,-0.00011059824625729575,0,True,False,False,False
20008,training_overlap,True,True,0.0324633400735009,0.0324633400735009,0.0,6.3965557000039e-08,0.0,0,False,False,False,False
20009,training_overlap,True,True,0.0373444484909711,0.0248089520647876,-0.012535496426183498,-0.0020445709733982994,-2.3246765136902825e-05,0,True,False,False,False
20010,training_overlap,True,True,1.1404207008447542,0.3631735960951412,-0.777247104749613,-0.004515691870809392,0.00012933654785207693,0,True,False,False,False
20011,training_overlap,True,True,0.0088725887387849,0.0064713624660725,-0.0024012262727124006,-0.00025544437682280003,-8.45336913399275e-07,0,True,False,False,False
20012,training_overlap,True,True,0.1255625307823646,0.1143168690775167,-0.011245661704847892,0.0011750780824485996,8.981704711495675e-06,0,True,False,False,False
20013,training_overlap,True,True,0.0115749525484369,0.0100637839285313,-0.0015111686199055993,-0.00014559357426589998,-1.0566711417005215e-06,0,True,False,False,False
20014,training_overlap,True,True,0.187851088965218,0.1302953060207488,-0.0575557829444692,-0.0036781329403008014,1.0331895616416675e-05,0,True,False,False,False
20015,training_overlap,True,True,0.4161067903762627,0.1789865454226097,-0.237120244953653,-0.014675299903359801,4.902954101559942e-05,0,True,False,False,False
20016,training_overlap,True,True,0.0680526321062358,0.0680526321062358,0.0,-5.938883000829176e-10,-5.283355707999537e-07,0,False,False,False,False
20017,training_overlap,True,True,0.4481188485436855,0.3528483313271017,-0.0952705172165838,-0.006502192232696297,6.293063693529888e-05,0,True,False,False,False
20018,training_overlap,True,True,0.5838458752646329,0.5838458752646329,0.0,6.93314468960815e-08,-5.283355707930149e-07,0,False,False,False,False
20019,training_overlap,True,True,0.2178524098758248,0.1800978550552021,-0.037754554820622704,0.0029582395396005046,2.8177897135051033e-06,0,True,False,False,False
20020,training_overlap,True,True,0.1156836366790601,0.1156836366790601,0.0,8.36896219946065e-09,0.0,0,False,False,False,False
20021,training_overlap,True,True,0.6759954933436004,0.6759954933436004,0.0,-6.937851770166814e-08,0.0,0,False,False,False,False
20022,training_overlap,True,True,0.0221026380188155,0.0179645770902749,-0.0041380609285405975,0.0026692099014903998,-9.510040282392773e-06,0,True,False,False,False
20023,training_overlap,True,True,0.8804964534672792,0.446535766382177,-0.4339606870851022,0.0012170221857571994,9.580485025806329e-06,0,True,False,False,False
20024,training_overlap,True,True,0.1644265218690846,0.1644265218690846,0.0,2.1754549967001324e-09,0.0,0,False,False,False,False
20025,training_overlap,True,True,0.6083328510366787,0.4950814901289159,-0.11325136090776278,-0.0030483154520132005,-0.0001893554687483756,0,True,False,False,False
20026,training_overlap,True,True,1.4686593666661152,0.8028762705133115,-0.6657830961528037,0.00015833742926910088,-7.54765101840249e-05,0,True,False,False,False
20027,training_overlap,True,True,0.0695570153513996,0.0695570153513996,0.0,-7.057563999358918e-10,-4.6963161979976867e-07,0,False,False,False,False
20028,training_overlap,True,True,0.6456712794195947,0.315620775235542,-0.3300505041840527,-0.0027124169020902,-5.748291015630902e-05,0,True,False,False,False
20029,training_overlap,True,True,0.0476850441194015,0.0315592780595535,-0.016125766059848,0.0013476819942127,-1.7752075194665817e-05,0,True,False,False,False
20030,training_overlap,True,True,0.1066958189118771,0.1048892255259211,-0.0018065933859559985,0.003379637538245101,-3.0291239419902305e-05,0,True,False,False,False
20031,training_overlap,True,True,0.1209657094503108,0.1209657094503108,0.0,-6.0964403000678125e-09,0.0,0,False,False,False,False
20032,training_overlap,True,True,0.2476285423167964,0.2476285423167964,0.0,-7.72884432681531e-06,9.392632395743838e-07,0,False,False,False,False
20033,training_overlap,True,True,0.0058742773058503,0.0049434653685342,-0.0009308119373160999,-7.997509486640003e-05,0.0,0,True,False,False,False
20034,training_overlap,True,True,0.1793597269541894,0.1224265759482383,-0.05693315100595109,-0.0037027812704027996,7.044474283901536e-06,0,True,False,False,False
20035,training_overlap,True,True,0.1545495488738984,0.1545495488738984,0.0,4.2155274999899905e-08,0.0,0,False,False,False,False
20036,training_overlap,True,True,0.0181175876488838,0.0151377807247766,-0.0029798069241071985,-0.00014777394281110016,-3.170013426898738e-06,0,True,False,False,False
20037,training_overlap,True,True,0.1310382871948987,0.1310382871948987,0.0,-4.7267724299741853e-08,7.04447430194266e-07,0,False,False,False,False
20038,training_overlap,True,True,0.4683412056775813,0.3303301576210137,-0.1380110480565676,-0.003343280388059499,7.51410590280055e-06,0,True,False,False,False
20039,training_overlap,True,True,0.8968248424757068,0.4917981829605581,-0.4050266595151487,-0.00012196013506789172,-9.457206726090628e-05,0,True,False,False,False
20040,training_overlap,True,True,0.0023737209532976,0.0021763234153467,-0.00019739753795089974,-6.479168234629993e-05,0.0,0,True,False,False,False
20041,training_overlap,True,True,0.1012551365413988,0.1012551365413988,0.0,-7.011328599301758e-09,-7.044474275019752e-07,0,False,False,False,False
20042,training_overlap,True,True,0.0592700030396114,0.0527928883241536,-0.006477114715457796,-0.005617109102866799,0.00015309990776829485,0,True,False,False,False
20043,training_overlap,True,True,0.1597397495627371,0.122676866572183,-0.03706288299055409,-0.012329568623630702,0.00014159393310639312,0,True,False,False,False
20044,training_overlap,True,True,0.0616742846571746,0.0424701388198569,-0.0192041458373177,-0.0009760630561088,-3.17001342770018e-06,0,True,False,False,False
20045,training_overlap,True,True,0.1769071653155111,0.1314019737016792,-0.0455051916138319,-0.005612198303358799,-8.453369140709599e-06,0,True,False,False,False
20046,training_overlap,True,True,0.0579492079935191,0.0579492079935191,0.0,-2.4533321499320415e-08,0.0,0,False,False,False,False
20047,training_overlap,True,True,0.0250994430734815,0.0250994430734815,0.0,2.9341058999749967e-09,0.0,0,False,False,False,False
20048,training_overlap,True,True,0.4097524241572983,0.1533569371888065,-0.2563954869684918,0.0023437646136531994,-4.226684570339534e-05,0,True,False,False,False
20049,training_overlap,True,True,0.067872070040384,0.057964090059445,-0.009907979980938994,-0.0002989038516617998,-4.931131996996352e-06,0,True,False,False,False
20050,training_overlap,True,True,0.2397940361580723,0.227943746653314,-0.011850289504758305,-0.0018822308329994979,5.917358398804806e-06,0,True,False,False,False
20051,training_overlap,True,True,0.2546285633149319,0.1924378223586911,-0.062190740956240775,-0.009154307644473399,5.977739606420618e-05,0,True,False,False,False
20052,training_overlap,True,True,0.4118800155986513,0.3481568127215548,-0.06372320287709649,-0.003254993529305101,1.9321986607201413e-05,0,True,False,False,False
20053,training_overlap,True,True,0.0058918912514364,0.005544875071505,-0.0003470161799314,-6.558020907590002e-05,5.283355708970983e-07,0,True,False,False,False
20054,training_overlap,True,True,0.0609256730475848,0.049800102543603,-0.011125570503981795,-0.0015860224344669,1.5497843424500113e-05,0,True,False,False,False
20055,training_overlap,True,True,0.218920371143953,0.218920371143953,0.0,-3.910170480111996e-08,0.0,0,False,False,False,False
20056,training_overlap,True,True,0.2248769101865198,0.2248769101865198,0.0,-4.1335822099398956e-08,-1.056671141697052e-06,0,False,False,False,False
20057,training_overlap,True,True,0.1818330243772092,0.1818330243772092,0.0,3.145462669929683e-08,0.0,0,False,False,False,False
20058,training_overlap,True,True,0.0081396908694609,0.0066222491240854,-0.0015174417453755005,-5.015350235310003e-05,7.044474302012049e-07,0,True,False,False,False
20059,training_overlap,True,True,0.2198997287224795,0.1899180689520704,-0.02998165977040912,0.005620456954628199,-0.00015892333984449981,0,True,False,False,False
20060,training_overlap,True,True,0.1869471666845571,0.1746251541975873,-0.012322012486969791,0.002337072430834808,0.0001347255706782846,0,True,False,False,False
20061,training_overlap,True,True,0.7844599236363577,0.6615970667923068,-0.12286285684405096,0.0006437269775660046,-8.791503906202536e-05,0,True,False,False,False
20062,training_overlap,True,True,0.0870996032241779,0.0711373468334631,-0.015962256390714802,-0.00020098399783340006,-1.0989379884307482e-05,0,True,False,False,False
20063,training_overlap,True,True,0.0508154867453993,0.0467352439947841,-0.0040802427506152,-0.0003178450578556003,-7.925033568900036e-06,0,True,False,False,False
20064,held_out,False,True,0.0612443033466367,0.0561239422997639,-0.005120361046872801,-0.0034152452630282003,9.351539611750226e-05,0,True,False,False,True
20065,held_out,False,True,0.0096294376276073,0.0096294376276073,0.0,2.3933768999876218e-09,0.0,0,False,False,False,True
20066,held_out,False,True,1.5318041428149671,1.5318041428149671,0.0,0.01585069398679556,-0.0008867584228528513,0,False,False,False,True
