config,n,generation_success,generation_elapsed_median,generation_composition_validity,generation_structure_validity,average_ehull,median_ehull,stable_rate,metastable_le_0_2_rate,nus_rate,msun_le_0_2_rate,novel_rate,unique_rate,rmsd_mean,rmsd_median,pre_relax_max_force_mean,pre_relax_max_force_median,force_convergence_rate,relaxation_failure_rate,hit_0_01,hit_0_02,hit_0_05,target_error_mean,severe_short_bond_count
C0_B1,64,1.0,62.134661443007644,0.84375,1.0,0.1664559661331857,0.1409755903492895,0.34375,0.671875,0.15625,0.4375,0.75,1.0,0.041144159544071086,0.025649143013872798,0.3773248523383055,0.20922575264723714,1.0,0.0,0.15625,0.359375,0.703125,0.037939131109637446,0
C0_B4,64,1.0,21.335170107879094,0.796875,1.0,0.12915018254872673,0.07780592257970514,0.65625,0.859375,0.359375,0.546875,0.6875,1.0,0.09659534185997444,0.028256745984853948,0.5345683548829647,0.14655627613321848,0.953125,0.0,0.0,0.015625,0.046875,0.09442105126450898,0
A0_B1,64,1.0,61.42471075800131,0.828125,1.0,0.16293606902467878,0.13932841894429776,0.28125,0.734375,0.15625,0.5,0.78125,0.984375,0.056241422386383466,0.0214071499763203,0.3546191046637389,0.24397424295742437,0.984375,0.0,0.171875,0.4375,0.765625,0.0323532888408137,0
A0_B4,64,1.0,21.800342280504992,0.796875,1.0,0.12917266305753436,0.0778062395810479,0.65625,0.859375,0.359375,0.546875,0.6875,1.0,0.09636997123751716,0.028256455330055802,0.5345683547518942,0.14655584437837577,0.953125,0.0,0.0,0.015625,0.046875,0.09442105099412228,0
