stage,method,n,generation_success_rate,mattersim_success_rate,dft_verified,e_hull_mean_ev_per_atom,e_hull_median_ev_per_atom,e_hull_p95_ev_per_atom,e_hull_max_ev_per_atom,stable,nus,novel,unique,rmsd_mean_a,rmsd_median_a,rmsd_p95_a,rmsd_max_a,atomic_force_mean_ev_per_a,atomic_force_p95_ev_per_a,structure_force_mean_ev_per_a,structure_max_force_mean_ev_per_a,structure_max_force_p95_ev_per_a,force_max_ev_per_a,relaxation_steps_mean,relaxation_steps_median,relaxation_steps_p95,relaxation_steps_max,composition_family_count,unique_reduced_formula_count,unique_element_count,num_atoms_mean,num_atoms_median,num_atoms_min,num_atoms_max,num_atoms_unique_count,element_jsd_vs_M1,family_jsd_vs_M1,formula_jsd_vs_M1,atom_count_jsd_vs_M1,element_jsd_vs_M2,family_jsd_vs_M2,formula_jsd_vs_M2,atom_count_jsd_vs_M2,element_jsd_vs_C0,family_jsd_vs_C0,formula_jsd_vs_C0,atom_count_jsd_vs_C0
screen16,C0,16,1.0,1.0,False,0.09786846163189611,0.09725520300984769,0.16834872210498242,0.21171422600667178,0.5,0.4375,0.875,1.0,0.03784801777808806,0.02967446884781308,0.08016307644757427,0.08650481849211747,0.13503336638574034,0.3624757665638055,0.11859979669196491,0.24068720365488858,0.5297194231364382,0.7135226028961372,41.25,33.0,84.75,93,16,16,19,11.3125,12.0,4,20,9,0.18655229743475865,0.6498254817749487,0.6931471805599453,0.0,0.13520263829367382,0.6931471805599453,0.6931471805599453,0.0,,,,
screen16,M1,16,1.0,1.0,False,0.08624849582813937,0.07918576227318752,0.19313593391274164,0.2236902142585544,0.625,0.5,0.8125,1.0,0.06193797384518244,0.02789854728365913,0.2742895537849793,0.32708836208744996,0.16468512285265255,0.42411689912518424,0.16376485971922872,0.3908322604765078,1.0355839410413463,2.3289697807421934,51.5,38.5,134.25,162,15,16,21,11.3125,12.0,4,20,9,,,,,0.11052268398691173,0.6065037829899521,0.6931471805599453,0.0,0.18655229743475865,0.6498254817749487,0.6931471805599453,0.0
screen16,M2,16,1.0,1.0,False,0.13310138872906607,0.11525346902709988,0.33725294334016986,0.389622364263019,0.4375,0.1875,0.6875,1.0,0.03346838537568601,0.03214108173577832,0.07261432712494073,0.07480419812333322,0.15553253528726013,0.5063144898353884,0.1490222510517435,0.2815412928522478,0.8669102055741054,0.9913645102055564,33.25,28.0,62.0,62,16,16,18,11.3125,12.0,4,20,9,0.11052268398691173,0.6065037829899521,0.6931471805599453,0.0,,,,,0.13520263829367382,0.6931471805599453,0.6931471805599453,0.0
screen16,M2-DB,16,1.0,1.0,False,0.11281762924172173,0.08710298395844918,0.31497658899871994,0.4779833058386229,0.5,0.3125,0.75,1.0,0.1502395245543979,0.021998177969851044,0.5932257962476674,1.3374194698471111,0.12745793987682175,0.32399910284065636,0.13663584111503063,0.2553701788595117,0.7067412199088006,1.2914770375644142,58.125,37.5,212.25,213,15,16,17,11.3125,12.0,4,20,9,0.12083556240625248,0.5468305797123134,0.6498254817749487,0.0,0.08555364079922259,0.59015227849731,0.6931471805599453,0.0,0.15484652910044416,0.6498254817749487,0.6498254817749487,0.0
