method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
Q3_E3_PCR,0,0,32000,-90.1766128540039,-7.514717737833659,0.04984006658196449,0.2607438124514148,True,1.1099048040341586,41,Fe3Ge,Fe-Ge,0.10910941323030521,0.01758487511530877,False,False,True,True,True,False,False,True,True,False,True,0.10910941323030521,0.03841325060598244
Q3_E3_PCR,1,1,32001,-126.8336181640625,-8.455574544270833,0.04536261782050133,1.2207219078667502,True,15.919098921003751,485,Eu2Mn2P2O9,Eu-Mn-O-P,0.1797771667110748,0.3978208477853317,False,False,True,True,True,True,True,True,True,True,False,0.1797771667110748,0.1797771667110748
Q3_E3_PCR,2,2,32002,-97.25923919677734,-6.483949279785156,0.04805700108408928,1.6688085971238487,True,4.579363045981154,128,Li2AlCr3Fe2O6F,Al-Cr-F-Fe-Li-O,0.5289577140160464,0.1569408333162383,False,False,True,True,True,True,True,True,True,True,False,0.5289577140160464,0.5289577140160464
Q3_E3_PCR,3,3,32003,-103.17269134521484,-6.448293209075928,0.04835771769285202,0.35912732391762586,True,4.544415732030757,131,Mn2Fe3H2O9,Fe-H-Mn-O,0.29756033794754266,0.1581268304553994,False,False,True,True,True,True,True,True,True,True,False,0.29756033794754266,0.29756033794754266
Q3_E3_PCR,4,4,32004,-29.073139190673828,-7.268284797668457,0.035691242665052414,0.018550971247144287,True,0.39649253501556814,6,Fe2HIr,Fe-H-Ir,0.07340896553001564,0.0009341204588523425,False,True,False,False,True,False,False,True,True,False,True,0.07340896553001564,0.07340896553001564
Q3_E3_PCR,5,5,32005,-59.35651397705078,-5.935651397705078,0.04857698827981949,0.24662154057263144,True,2.385578206041828,61,ZnFe3GeO5,Fe-Ge-O-Zn,0.37431704207002525,0.06593793221301658,False,False,True,True,True,True,True,True,True,True,True,0.37431704207002525,0.37431704207002525
Q3_E3_PCR,6,6,32006,-32.611202239990234,-8.152800559997559,0.044921454042196274,0.3396002330402216,True,0.615398530033417,18,MnAsRu2,As-Mn-Ru,0.10777799371270369,0.02181156461010766,False,False,False,False,True,False,False,True,True,False,True,0.10777799371270369,0.10037860379925512
Q3_E3_PCR,7,7,32007,-22.45966339111328,-7.486554463704427,0.018445193767547607,0.018443477390745564,True,0.19548755791038275,2,CaEu2,Ca-Eu,0.051705377282162956,0.0029275526841894585,False,True,True,True,True,False,False,True,True,False,True,0.051705377282162956,0.051705377282162956
Q3_E3_PCR,8,8,32008,-33.1500129699707,-6.63000259399414,0.0033489789348095655,0.005494980081993876,True,0.4172017959645018,7,NaEu3Zn,Eu-Na-Zn,0.19728143062662973,0.0012358351861513064,False,False,True,True,True,True,True,True,True,True,True,0.19728143062662973,0.19728143062662973
Q3_E3_PCR,9,9,32009,-107.12113952636719,-8.926761627197266,0.04985310137271881,0.13718885701074626,True,0.9502104399725795,33,TaFe7(CoMo)2,Co-Fe-Mo-Ta,0.08700554915735026,0.016196994248865778,True,True,True,True,True,True,True,True,True,True,False,0.08700554915735026,0.08700554915735026
Q3_E3_PCR,10,10,32010,-30.632858276367188,-5.105476379394531,0.027036745101213455,0.04195912121071119,True,0.11472445202525705,4,Be4FeNi,Be-Fe-Ni,0.08831031203919171,0.0012808085069322488,False,True,True,True,True,False,False,True,True,False,True,0.08831031203919171,0.08831031203919171
Q3_E3_PCR,11,11,32011,-131.9298858642578,-6.59649429321289,0.038641005754470825,0.09748256419548602,True,0.895532350987196,30,Fe5Ni3H2,Fe-H-Ni,0.10203753577611696,0.03164869066212106,False,False,False,False,True,True,True,True,True,True,True,0.10203753577611696,0.10203753577611696
Q3_E3_PCR,12,12,32012,-83.88578033447266,-8.388578033447265,0.04519961029291153,0.16732221769157055,True,0.9200600819895044,32,GdMn2FeO6,Fe-Gd-Mn-O,0.243703392289623,0.021240274899276046,False,False,True,True,True,True,True,True,True,True,False,0.243703392289623,0.243703392289623
