innovation,experiment,cohort,n,comparison,metric,baseline_value,method_value,absolute_delta,relative_delta,ci_low,ci_high,ci_type,wins,ties,losses,status,source_file,used_in_chapter
2,RC-NFGD Formal256,Formal256,256,RC-NFGD vs C0,Property MAE,0.009756888912291078,0.009868169159730763,-0.00011128024743968447,-0.011405300238634642,-0.024596998473795702,-0.0022457392314144055,relative,95,0,161,NOT_SUPPORTED_PROPERTY_IMPROVEMENT,thesis_release/innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json,4;5
2,RC-NFGD Formal256,Formal256,256,RC-NFGD vs C0,Stable,0.80859375,0.80859375,0.0,0.0,0.0,0.0,relative,0,256,0,SUPPORTED_GUARDRAIL,thesis_release/innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json,4;5
2,RC-NFGD Formal256,Formal256,256,RC-NFGD vs C0,Validity,1.0,1.0,0.0,0.0,0.0,0.0,relative,0,256,0,SUPPORTED_GUARDRAIL,thesis_release/innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json,4;5
2,CHGNet Formal256,CHGNet Formal256,256,RC-NFGD vs C0,MaxF,0.1938906372800398,0.16605730423045764,0.027833333049582146,0.14355171265635666,0.0070520603370439645,0.06486799915701037,absolute,172,0,84,SUPPORTED_INDEPENDENT_SURROGATE,thesis_release/innovation2/results/chgnet_formal256/independent_per_structure.csv,4;5
2,CHGNet Formal256,CHGNet Formal256,256,RC-NFGD vs C0,Mean Force,0.08797635632875886,0.07954108790621507,0.00843526842254379,0.0958810841292635,0.002384405082153867,0.01914775942388884,absolute,169,0,87,SUPPORTED_INDEPENDENT_SURROGATE,thesis_release/innovation2/results/chgnet_formal256/independent_per_structure.csv,4;5
2,force-direction ablation,ablation,32,G1 vs G0,Mean MaxF,0.14169022843555268,0.09850048281560217,0.04318974561995051,0.3048180957630061,0.2465969373574472,0.3886519509599739,relative,31,0,1,SUPPORTED_DIRECTION,thesis_release/innovation2/results/ablations/mattersim_force_direction_ablation/decision_summary.json,4;5
2,bound ablation,ablation,32,T1 bounded,Mean MaxF,0.2771384390608932,0.23150218242651582,0.04563625663437739,0.16466953046650493,0.10129894658544734,0.3688559332814224,relative,32,0,0,OBSERVED,thesis_release/innovation2/results/ablations/mattersim_trust_region_ablation/decision_summary.json,4;5
2,bound ablation,ablation,32,T2 unbounded,Mean MaxF,0.277138,0.060834,,,,,,,,,NOT_SUPPORTED_BOUND_CORE,thesis_release/innovation2/results/ablations/mattersim_trust_region_ablation/final_report.md,4;5
2,equal-budget correction,ablation,32,online F0 vs C0,Mean MaxF,0.214179111061563,0.16364968049584014,0.05052943056572285,0.2359213758768419,0.1644270408678703,0.3423000963410307,relative,32,0,0,SUPPORTED_ONLINE_VS_C0,thesis_release/innovation2/results/ablations/mattersim_equal_budget_post_generation/decision_summary.json,4;5
2,equal-budget correction,ablation,32,POST vs online F0,Mean MaxF,0.16364968049584014,0.04327507908902397,0.12037460140681618,,,,,,,,ONLINE_DOMINANCE_NOT_SUPPORTED,thesis_release/innovation2/results/ablations/mattersim_equal_budget_post_generation/decision_summary.json,4;5
2,compatibility A5,compatibility,64,AB vs A0/B0,force-benefit retention,,,,0.5548701126866487,,,,,,,FAIL,thesis_release/innovation2/results/ablations/adaptive_cfg_force_guidance_compatibility/decision_summary.json,4;5
2,Formal256 compute,Formal256,256,RC-NFGD vs C0,MatterGen score calls,2000,2000,0,0.0,,,,,,,VERIFIED,thesis_release/combined_summary/compute_summary.csv,4;5
2,Formal256 compute,Formal256,256,RC-NFGD online,MatterSim calls,0,20,20,,,,,,,,VERIFIED,thesis_release/combined_summary/compute_summary.csv,4;5
2,Formal256 compute,Formal256,256,RC-NFGD vs C0,mean runtime seconds,92.848782,92.663131,0.185651,0.9980005010595485,,,,,,,NO_SPEEDUP_CLAIM,thesis_release/combined_summary/compute_summary.csv,4;5
