sampling_step,model_family,validation_oracle_headroom,validation_oracle_non_keep_fraction,t0_action_from_train,selective_gate_feasible
100,ridge,0.012760868178787218,0.7894736842105263,DOWN,False
100,tree,0.012760868178787218,0.7894736842105263,DOWN,False
250,ridge,0.012252576812996319,0.7368421052631579,KEEP,False
250,tree,0.012252576812996319,0.7368421052631579,KEEP,False
400,ridge,0.010239026305488431,0.7894736842105263,UP,False
400,tree,0.010239026305488431,0.7894736842105263,UP,False
550,ridge,0.009302505172710068,0.8421052631578947,DOWN,False
550,tree,0.009302505172710068,0.8421052631578947,DOWN,False
