n,property_mae,property_median,e_hull_mean,stable_rate,novel_rate,unique_rate,nus_rate,validity_rate,maxf_mean,rmsd_mean,adaptive_acceptance_rate,fallback_rate,average_candidate_count,estimated_compute_multiplier,safe_oracle_gain,oracle_headroom,recovered_oracle_headroom,relative_property_improvement_vs_c0,selector,split,method,selected_policy_frequencies
48,0.025914470434145437,0.0175512076490056,0.08164272273618262,0.75,0.6041666666666666,1.0,0.4375,1.0,0.1865793918453467,0.058907114053214936,0.5208333333333334,0.4791666666666667,4.0,3.4,0.009228083695537737,0.009228083695537737,1.0,0.262590011570708,SAFE-A,all,Branchable-Oracle-All,"{""C0"": 23, ""CPulse"": 11, ""GPulse"": 4, ""PPulse"": 10}"
24,0.02639639560353202,0.0175512076490056,0.08737560307328736,0.7083333333333334,0.6666666666666666,1.0,0.4166666666666667,1.0,0.19443155122765646,0.028496695170707353,0.4583333333333333,0.5416666666666666,4.0,3.4,0.007372328011637473,0.007372328011637473,1.0,0.21831823126195082,SAFE-A,offline_train,Branchable-Oracle-All,"{""C0"": 13, ""CPulse"": 3, ""GPulse"": 3, ""PPulse"": 5}"
12,0.02004106811907561,0.01979725025741145,0.0749885458426411,0.75,0.5833333333333334,1.0,0.5,1.0,0.22802154587892196,0.02425175811694315,0.5,0.5,4.0,3.4,0.008757665792805083,0.008757665792805083,1.0,0.3040989864207946,SAFE-A,offline_test,Branchable-Oracle-All,"{""C0"": 6, ""CPulse"": 4, ""PPulse"": 2}"
12,0.0308240224104421,0.017789062906408852,0.07683113895551465,0.8333333333333334,0.5,1.0,0.4166666666666667,1.0,0.12943291904715198,0.15438330775450185,0.6666666666666666,0.3333333333333333,4.0,3.4,0.013410012966070892,0.013410012966070892,1.0,0.3031605154702034,SAFE-A,offline_validation,Branchable-Oracle-All,"{""C0"": 4, ""CPulse"": 4, ""GPulse"": 1, ""PPulse"": 3}"
48,0.028313609034454817,0.02345232272802315,0.08816283783172306,0.6875,0.6875,1.0,0.4375,1.0,0.18517124883752936,0.08195420933996339,0.4791666666666667,0.5208333333333334,4.0,3.4,0.006828945095228356,0.006828945095228356,1.0,0.19432125138167702,SAFE-B,all,Branchable-Oracle-All,"{""C0"": 25, ""CPulse"": 7, ""GPulse"": 5, ""PPulse"": 11}"
24,0.028248152620163985,0.019911057679878948,0.0932424018659442,0.6666666666666666,0.7083333333333334,1.0,0.4166666666666667,1.0,0.19110746150060245,0.028451503194208166,0.4166666666666667,0.5833333333333334,4.0,3.4,0.0055205709950055075,0.0055205709950055075,1.0,0.16348177852139997,SAFE-B,offline_train,Branchable-Oracle-All,"{""C0"": 14, ""CPulse"": 2, ""GPulse"": 3, ""PPulse"": 5}"
12,0.021326890004237247,0.02345232272802315,0.0782669612116464,0.6666666666666666,0.75,1.0,0.5,1.0,0.22868037790370485,0.11645955615652853,0.5,0.5,4.0,3.4,0.007471843907643445,0.007471843907643445,1.0,0.2594504303732948,SAFE-B,offline_test,Branchable-Oracle-All,"{""C0"": 6, ""CPulse"": 2, ""GPulse"": 1, ""PPulse"": 3}"
12,0.03543124089325406,0.0352996187749568,0.08789958638335743,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.1297896944452077,0.15445427481490867,0.5833333333333334,0.4166666666666667,4.0,3.4,0.008802794483258936,0.008802794483258936,1.0,0.19900500617524414,SAFE-B,offline_validation,Branchable-Oracle-All,"{""C0"": 5, ""CPulse"": 3, ""GPulse"": 1, ""PPulse"": 3}"
