config,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
U0,17000,U0_seed_17000,-43.55405044555664,-3.6295042037963867,0.042981356382369995,True,4.622621090034954,150,HgGe3Te5As3,As-Ge-Hg-Te,0.1285241194274933,0.16978748894025497,False,False,True,True,True,True,True,True,True,True,False,0.1285241194274933,0.1285241194274933
U0,17001,U0_seed_17001,-31.514436721801758,-4.502062388828823,0.05010710656642914,True,1.9455139570054598,45,Sr3NCl3,Cl-N-Sr,0.11980057438337965,0.08241214038550493,False,False,True,True,True,True,True,True,True,True,True,0.11980057438337965,0.028132934540997745
U0,17002,U0_seed_17002,-82.81375885009766,-4.358618886847245,0.05231429636478424,True,7.524881512974389,221,ZnAg6HNO10,Ag-H-N-O-Zn,0.24360164505483262,0.2025599469993167,False,False,True,True,True,True,True,True,True,True,False,0.24360164505483262,0.24360164505483262
U0,17003,U0_seed_17003,-165.2240753173828,-9.179115295410156,0.045117173343896866,True,13.670943104021717,435,Hf7As4N7,As-Hf-N,0.38084275116999144,0.26941191705181805,False,False,False,False,True,True,True,True,True,True,True,0.38084275116999144,0.38084275116999144
U0,17004,U0_seed_17004,-77.57111358642578,-7.051919416947798,0.04911140352487564,True,2.431908099038992,53,Hf2Al5Cr4,Al-Cr-Hf,0.2728486406436543,0.10529562256408365,False,False,True,True,True,True,True,True,True,True,True,0.2728486406436543,0.2728486406436543
U0,17005,U0_seed_17005,-49.67828369140625,-4.967828369140625,0.04108148813247681,True,1.5494922879734077,25,Pr5Al3Ni2,Al-Ni-Pr,0.0881093988651882,0.01769072251241657,True,True,True,True,True,True,True,True,True,True,True,0.0881093988651882,0.05690127502618747
U0,17006,U0_seed_17006,-37.329437255859375,-4.147715250651042,0.04889466613531113,True,2.810238923993893,66,Zr2Sc(CdGa)3,Cd-Ga-Sc-Zr,0.23225485660086864,0.07936528282002844,False,False,True,True,True,True,True,True,True,True,True,0.23225485660086864,0.23225485660086864
U0,17007,U0_seed_17007,-71.93528747558594,-7.193528747558593,0.04380710422992706,True,2.035062174021732,45,ZrFe5As4,As-Fe-Zr,0.12233686988507753,0.05310506352995723,False,False,True,True,True,True,True,True,True,True,True,0.12233686988507753,0.12233686988507753
U0,17008,U0_seed_17008,-66.02169799804688,-6.001972545276988,0.04740950092673302,True,2.7664367830147967,62,Tb3(CoGe)4,Co-Ge-Tb,0.18068737820400482,0.03304759591226886,False,False,True,True,True,True,True,True,True,True,True,0.18068737820400482,0.05106940914127822
U0,17009,U0_seed_17009,-31.63115119934082,-3.163115119934082,0.01499805599451065,True,1.466588769981172,20,CsAgMoBr7,Ag-Br-Cs-Mo,0.2389051147670358,0.028352641071465855,False,False,True,True,True,True,True,True,True,True,True,0.2389051147670358,0.2389051147670358
U0,17010,U0_seed_17010,-22.04543685913086,-5.511359214782715,0.016226451843976974,True,1.0336515640374273,16,Ni3Sb,Ni-Sb,0.01061202576075182,0.001796260170295729,False,True,True,True,True,False,False,True,True,False,True,0.01061202576075182,0.0
U0,17011,U0_seed_17011,-28.578224182128906,-7.144556045532227,0.011592232622206211,True,1.653975052991882,25,GdZnP2,Gd-P-Zn,0.3379391877137312,0.09610051330191047,False,False,True,True,True,True,True,True,True,True,False,0.3379391877137312,0.3379391877137312
U0,17012,U0_seed_17012,-41.23292541503906,-3.436077117919922,0.04669547826051712,True,3.779064113041386,113,BaI2,Ba-I,0.056416941891393346,0.2389960162296869,False,True,True,True,True,False,False,True,True,False,True,0.056416941891393346,0.0
U0,17013,U0_seed_17013,-56.46729278564453,-5.133390253240412,0.044425118714571,True,2.60685605998151,55,CePr3Te6Cl,Ce-Cl-Pr-Te,0.13551644990287937,0.06569737742925713,False,False,True,True,True,True,True,True,True,True,True,0.13551644990287937,0.13551644990287937
U0,17014,U0_seed_17014,-22.346240997314453,-7.448746999104817,0.021359199658036232,True,1.885349746036809,28,CrPt2,Cr-Pt,0.04311154848075205,0.01076968790269494,False,True,True,True,True,False,False,True,True,False,True,0.04311154848075205,0.0
U0,17015,U0_seed_17015,-90.6707992553711,-5.037266625298394,0.03818241134285927,True,4.334909490018617,117,K5Sn3O10,K-O-Sn,0.26366340011326805,0.1259896329367757,False,False,False,False,True,True,True,True,True,True,True,0.26366340011326805,0.07861407772049311
U0,17016,U0_seed_17016,-47.698883056640625,-5.962360382080078,0.04503116011619568,True,1.283644231967628,32,Ce7Si,Ce-Si,0.10175454201943968,0.08309907778335406,False,False,False,False,True,True,True,True,True,True,True,0.10175454201943968,0.0
U0,17017,U0_seed_17017,-44.61113739013672,-4.461113739013672,0.04564795643091202,True,3.6323514960240573,110,VZnF8,F-V-Zn,0.13251066199085226,0.23884366960389736,False,False,True,True,True,True,True,True,True,True,True,0.13251066199085226,0.13251066199085226
U0,17018,U0_seed_17018,-45.83319091796875,-6.547598702566964,0.03935709595680237,True,0.9445875930250622,33,Ti(VSe2)2,Se-Ti-V,0.1001375470929462,0.0298219723031338,False,False,True,True,True,True,True,True,True,True,True,0.1001375470929462,0.1001375470929462
U0,17019,U0_seed_17019,-62.54799270629883,-5.686181155118075,0.05070243030786514,True,10.458515278005507,338,Zr3(AgSe3)2,Ag-Se-Zr,0.19860267751703908,0.4862824969213251,False,False,True,True,True,True,True,True,True,True,False,0.19860267751703908,0.19860267751703908
U0,17020,U0_seed_17020,-19.00403594970703,-4.751008987426758,0.021763553842902184,True,0.33815459499601275,12,LiScTe2,Li-Sc-Te,0.1125512683211527,0.0014602931499290057,False,False,True,True,True,False,False,True,True,False,True,0.1125512683211527,0.06749965245866463
U0,17021,U0_seed_17021,-47.817222595214844,-4.7817222595214846,0.044877782464027405,True,6.450533558963798,225,TiBi2S7,Bi-S-Ti,0.29686548964582116,1.3340959648207105,False,False,True,True,True,True,True,True,True,True,True,0.29686548964582116,0.29686548964582116
U0,17022,U0_seed_17022,-47.857723236083984,-4.3507021123712715,0.04599924013018608,True,6.656666467955802,230,Dy3Cu8,Cu-Dy,0.14377220468475294,0.514933383714979,False,False,True,True,True,True,True,True,True,True,True,0.14377220468475294,0.0
U0,17023,U0_seed_17023,-19.6490478515625,-4.912261962890625,0.027105193585157394,True,1.8525012210011482,59,BaCdO2,Ba-Cd-O,0.11982062515468694,0.21437811476928834,False,False,True,True,True,True,True,True,True,True,True,0.11982062515468694,0.062426439137186485
U0,17024,U0_seed_17024,-15.278934478759766,-3.8197336196899414,0.04917622357606888,True,2.986712374025956,112,Ga2CuSi,Cu-Ga-Si,0.15354580103354554,1.2753461369352699,False,False,False,False,True,True,True,True,True,True,True,0.15354580103354554,0.15354580103354554
U0,17025,U0_seed_17025,-101.5295181274414,-6.345594882965088,0.048961080610752106,True,2.8941374749992974,102,YbCe3(ErS3)3,Ce-Er-S-Yb,0.1997680460253619,0.09775231560712576,False,False,True,True,True,True,True,True,True,True,False,0.1997680460253619,0.1997680460253619
U0,17026,U0_seed_17026,-45.24275207519531,-5.655344009399414,0.043832823634147644,True,1.3094901299919002,46,EuMnInCuTeSe3,Cu-Eu-In-Mn-Se-Te,0.15963323121420103,0.05207772645438696,False,False,True,True,True,True,True,True,True,True,False,0.15963323121420103,0.15963323121420103
U0,17027,U0_seed_17027,-11.588424682617188,-1.9314041137695312,0.04206080734729767,True,1.7573476529796608,61,Hg2SBrCl2,Br-Cl-Hg-S,0.2675461638897123,0.1859625185945912,False,False,True,True,True,True,True,True,True,True,True,0.2675461638897123,0.2675461638897123
