method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
C0,0,0,40000,-28.966617584228516,-7.241654396057129,0.024784021079540253,0.0435168295016891,True,0.5221399260917678,13,Eu2AlCu,Al-Cu-Eu,3.0963663578861755,False,False,0.11234841913370097,0.005714231551805412,False,False,True,True,True,False,False,True,True,False,True,0.11234841913370097,0.1089734227412027
C0,1,1,40001,-121.10249328613281,-6.7279162936740455,0.04175463318824768,0.3633457287587006,True,2.9466874399222434,81,LiMn7(O2F3)2,F-Li-Mn-O,2.0360403443749795,False,False,0.30001562000839144,0.04683236355811173,False,False,False,False,True,True,True,True,True,True,True,0.30001562000839144,0.30001562000839144
C0,2,2,40002,-35.00807571411133,-8.752018928527832,0.010407427325844765,0.027700100290310493,True,0.7305076590273529,18,Eu3Ho,Eu-Ho,3.5777818170073448,False,False,0.13094638060116282,0.002307088075558737,False,False,True,True,True,False,False,True,True,False,True,0.13094638060116282,0.13094638060116282
C0,3,3,40003,-113.42183685302734,-7.561455790201823,0.042278531938791275,0.3152022898947454,True,2.5472525409422815,62,Tm2Fe9Co4,Co-Fe-Tm,2.3359403846409696,False,False,0.1430724176505187,0.06660233758374327,False,False,True,True,True,True,True,True,True,True,True,0.1430724176505187,0.13490805746533852
C0,4,4,40004,-81.99230194091797,-9.110255771213108,0.01983383111655712,0.03876197899378804,True,0.5564317459939048,14,Eu6Bi2Pt,Bi-Eu-Pt,3.107214967442534,False,False,0.08017736673143361,0.0022528965271962484,True,True,True,True,True,True,True,True,True,True,True,0.08017736673143361,0.08017736673143361
C0,5,5,40005,-59.35199737548828,-6.594666375054254,0.043535035103559494,0.08612092453026525,True,0.4620651800651103,11,Co4Pt5,Co-Pt,2.564595107375171,False,False,0.03139135093810985,0.004594937922954782,False,True,True,True,True,False,False,True,True,False,True,0.03139135093810985,0.0
C0,6,6,40006,-54.18639373779297,-6.0207104153103295,0.04581866413354874,0.08065131723100367,True,0.7090697339735925,21,Eu2MnH6,Eu-H-Mn,1.689348475842667,False,False,0.027816954667265748,0.010738530504899792,False,True,True,True,True,False,False,True,True,False,True,0.027816954667265748,0.0
C0,7,7,40007,-18.029052734375,-6.009684244791667,0.033145252615213394,0.04660712821545132,True,0.6680888360133395,19,ZnFe2,Fe-Zn,2.576885653528756,False,False,0.08611880409305428,0.005820141756011209,False,True,True,True,True,False,False,True,True,False,True,0.08611880409305428,0.06407294963749965
C0,8,8,40008,-27.196514129638672,-6.799128532409668,0.04156890884041786,0.08194970614108386,True,0.5640528809744865,14,CrGaCo2,Co-Cr-Ga,2.4749015044121165,False,False,0.07347991613508853,0.005008158299465243,False,True,True,True,True,False,False,True,True,False,True,0.07347991613508853,0.07347991613508853
C0,9,9,40009,-70.57123565673828,-7.841248406304254,0.04433264583349228,0.049484717470475385,True,0.6701850820099935,16,Fe4Rh5,Fe-Rh,2.6108729546810756,False,False,0.06128581828155255,0.002706697914342401,False,True,True,True,True,False,False,True,True,False,True,0.06128581828155255,0.01623298917828997
C0,10,10,40010,-62.307708740234375,-7.788463592529297,0.022444473579525948,0.03775308985443845,True,0.8503505900735036,21,FeCo,Co-Fe,2.448437099137922,False,False,0.07604148319754067,0.0002659015119499524,False,True,True,True,True,False,False,True,True,False,True,0.07604148319754067,0.030506603162317347
C0,11,11,40011,-36.86589813232422,-9.216474533081055,0.04465949535369873,0.054521503267892346,True,0.8311113240197301,20,Eu2PdN,Eu-N-Pd,2.51225204070096,False,False,0.17795135473619084,0.009871272863516344,False,False,True,True,True,False,False,True,True,False,True,0.17795135473619084,0.17795135473619084
C0,12,12,40012,-98.6086654663086,-9.86086654663086,0.04550904780626297,0.18823963029788102,True,0.614654244040139,12,Eu4MnO5,Eu-Mn-O,2.227068667687194,False,False,0.11358077095900931,0.02253323147054883,False,False,True,True,True,True,True,True,True,True,True,0.11358077095900931,0.11358077095900931
C0,13,13,40013,-28.978620529174805,-7.244655132293701,0.0395331047475338,0.11378041641175463,True,0.4972066159825772,19,Fe2NiPt,Fe-Ni-Pt,2.380477341669132,False,False,0.135902884238579,0.005678767737641068,False,False,True,True,True,True,True,True,True,True,True,0.135902884238579,0.11409620604857906
C0,14,14,40014,-33.201480865478516,-6.640296173095703,0.004612582270056009,0.005213777770865573,True,0.08719901298172772,3,MnCo2HPt,Co-H-Mn-Pt,1.85267413649742,False,False,0.07456362602862576,0.000802823920856041,False,True,False,False,True,False,False,True,True,False,True,0.07456362602862576,0.07456362602862576
C0,15,15,40015,-18.19011116027832,-4.54752779006958,0.02009846456348896,0.2972886031665158,True,0.6084285320248455,23,BeCuP2,Be-Cu-P,2.1073867506845536,False,False,0.39821648070165505,0.021462139104530587,False,False,True,True,True,True,True,True,True,True,True,0.39821648070165505,0.39821648070165505
C0,16,16,40016,-27.580997467041016,-6.895249366760254,0.0316174253821373,0.4284057216906876,True,0.4993989260401577,18,MnFeS2,Fe-Mn-S,2.205767819318,False,False,0.14888540163963881,0.062477926862963704,False,False,True,True,True,True,True,True,True,True,True,0.14888540163963881,0.14888540163963881
C0,17,17,40017,-65.68150329589844,-6.568150329589844,0.047896385192871094,0.4857422929854494,True,0.45599433092866093,16,Zn2Fe6HN,Fe-H-N-Zn,1.8109144840383136,False,False,0.03802737980966331,0.0193926005249941,True,True,False,False,True,True,True,True,True,True,False,0.03802737980966331,0.03802737980966331
C0,18,18,40018,-47.38393020629883,-7.897321701049805,0.023671071976423264,0.11291287214303306,True,1.145272569032386,40,FeRh,Fe-Rh,2.61248828364987,False,False,0.07057146057681507,0.027900801701592995,False,True,True,True,True,False,False,True,True,False,True,0.07057146057681507,0.02218916652564218
C0,19,19,40019,-83.12852478027344,-6.927377065022786,0.04509641230106354,0.0892522715874585,True,0.5778415999375284,18,Fe2CoNi3,Co-Fe-Ni,2.4741991325370107,False,False,0.05926422384140917,0.005773200485718346,False,True,True,True,True,False,False,True,True,False,True,0.05926422384140917,0.05926422384140917
C0,20,20,40020,-159.99774169921875,-7.999887084960937,0.046415191143751144,0.33008626306211386,True,1.9066480719484389,66,Eu7Ni7P6,Eu-Ni-P,2.1011655907356097,False,False,0.19009929163028083,0.03151262634447243,False,False,False,False,True,True,True,True,True,True,True,0.19009929163028083,0.0
C0,21,21,40021,-57.96647644042969,-7.245809555053711,0.018940394744277,0.1765484868627135,True,0.8134284829720855,29,Eu2MgPd,Eu-Mg-Pd,2.7328935091926088,False,False,0.05932393485048948,0.06381690529227901,True,True,True,True,True,True,True,True,True,True,True,0.05932393485048948,0.020137956032989734
C0,22,22,40022,-25.193328857421875,-5.038665771484375,0.04664423689246178,0.0772120273798153,True,0.6839260379783809,22,Eu(GaH)2,Eu-Ga-H,1.7186295144678438,False,False,0.030721797307312393,0.014282578014635927,False,True,False,False,True,False,False,True,True,False,True,0.030721797307312393,0.0
C0,23,23,40023,-107.7631607055664,-8.980263392130533,0.046932827681303024,0.10013188298766715,True,0.6764265659730881,21,Eu2Ge,Eu-Ge,3.0716173979130685,False,False,-0.003683490190631744,0.010156246607356301,False,True,True,True,True,False,False,True,True,False,True,-0.003683490190631744,0.0
C0,24,24,40024,-69.03192138671875,-8.628990173339844,0.047930795699357986,0.01974328747970191,True,0.3481359808938578,11,Mn3Co,Co-Mn,2.421871363126184,False,False,0.036625569005659386,0.0031488090292132284,False,True,True,True,True,False,False,True,True,False,True,0.036625569005659386,0.021717624863761387
C0,25,25,40025,-152.82208251953125,-8.04326750102796,0.013166421093046665,0.11229952150823513,True,0.6329501450527459,22,Sm2Fe17,Fe-Sm,2.394579584809602,False,False,0.03530731342523019,0.007803408025805656,False,True,True,True,True,False,False,True,True,False,True,0.03530731342523019,0.03530731342523019
C0,26,26,40026,-72.34937286376953,-7.234937286376953,0.028322255238890648,0.2770941739978289,True,1.3928369940258563,48,Mn5Ge2MoH2,Ge-H-Mn-Mo,1.6827392592179193,False,False,0.17627313494700303,0.10819349535334363,False,False,True,True,True,True,True,True,True,True,True,0.17627313494700303,0.17627313494700125
C0,27,27,40027,-82.00956726074219,-8.200956726074219,0.03332158550620079,0.25053229479379147,True,0.7284386439714581,25,Fe4B,B-Fe,2.0883996860515945,False,False,0.10574160652176623,0.02830264497757062,False,False,False,False,True,True,True,True,True,True,True,0.10574160652176623,0.0
C0,28,28,40028,-77.01207733154297,-7.001097939231179,0.05020614713430405,0.1863642389519597,True,1.0543257229728624,33,Eu4Mn(InGe)3,Eu-Ge-In-Mn,2.42897862607262,False,False,0.1333967950589745,0.02305494415484554,False,False,True,True,True,True,True,True,True,True,False,0.1333967950589745,0.1333967950589745
C0,29,29,40029,-49.56136703491211,-8.260227839152018,0.04578644037246704,0.05163574246849156,True,0.27277684200089425,10,EuPd,Eu-Pd,2.8966392955439493,False,False,0.21497708328956477,0.0013844818785533864,False,False,True,True,True,True,True,True,True,True,True,0.21497708328956477,0.0
C0,30,30,40030,-96.19515991210938,-8.016263326009115,0.047126416116952896,0.15508731864338549,True,1.7150790040614083,61,EuAsPt,As-Eu-Pt,2.4308561020829105,False,False,0.10964718951523444,0.05582432767164533,False,False,False,False,True,True,True,True,True,True,True,0.10964718951523444,0.0
C0,31,31,40031,-25.64182472229004,-5.128364944458008,0.015456748194992542,0.04090320442562709,True,0.22451435099355876,8,Eu2Zn3,Eu-Zn,2.6464826667436014,False,False,0.05210259703252795,0.005035329178122161,True,True,True,True,True,True,True,True,True,True,True,0.05210259703252795,0.0
C0,32,32,40032,-47.91718292236328,-6.845311846051898,0.04295246675610542,0.14592916164970107,True,0.7506991738919169,27,Li2Eu3Si2,Eu-Li-Si,2.7221257839593465,False,False,0.03002721704097322,0.05135207177659161,True,True,True,True,True,True,True,True,True,True,True,0.03002721704097322,0.03002721704097322
C0,33,33,40033,-76.54214477539062,-7.654214477539062,0.04983588680624962,0.2365317244648334,True,0.8540755589492619,27,Fe3Pt2,Fe-Pt,2.6079010567594483,False,False,0.0465861884787202,0.027194587858034396,True,True,True,True,True,True,True,True,True,True,True,0.0465861884787202,0.0
C0,34,34,40034,-52.550453186035156,-6.5688066482543945,0.04127681627869606,0.21372164078497716,True,0.7629856680287048,24,EuGaNi2,Eu-Ga-Ni,2.4130137146553583,False,False,0.08020284785413079,0.025037434495286268,True,True,True,True,True,True,True,True,True,True,True,0.08020284785413079,0.0
