seed,C0_formula,C0_num_atoms,C0_maxF_ev_per_a,C0_atomic_force_mean_ev_per_a,C0_rmsd_a,C0_e_hull_ev_per_atom,C0_stable,C0_nus,C0_novel,C0_unique,C0_mag_density_a3,C0_mag_absolute_error_a3,C0_mag_hit,C0_valid,C0_minimum_periodic_distance_a,C0_generation_seconds,C0_end_to_end_generation_seconds,C0_mattergen_score_calls,C0_guidance_calls,C0_guidance_accepted,C0_guidance_fallbacks,C0_guidance_seconds,C0_relaxation_steps,C0_surrogate_property_eval,C0_dft_verified,C0_actual_mattersim_calls,C0_failed_mattersim_calls,C0_peak_allocated_bytes,C0_initial_mattersim_calls,C0_candidate_mattersim_calls,C0_retry_mattersim_calls,C0_failed_candidate_calls,F0_formula,F0_num_atoms,F0_maxF_ev_per_a,F0_atomic_force_mean_ev_per_a,F0_rmsd_a,F0_e_hull_ev_per_atom,F0_stable,F0_nus,F0_novel,F0_unique,F0_mag_density_a3,F0_mag_absolute_error_a3,F0_mag_hit,F0_valid,F0_minimum_periodic_distance_a,F0_generation_seconds,F0_end_to_end_generation_seconds,F0_mattergen_score_calls,F0_guidance_calls,F0_guidance_accepted,F0_guidance_fallbacks,F0_guidance_seconds,F0_relaxation_steps,F0_surrogate_property_eval,F0_dft_verified,F0_actual_mattersim_calls,F0_failed_mattersim_calls,F0_peak_allocated_bytes,F0_initial_mattersim_calls,F0_candidate_mattersim_calls,F0_retry_mattersim_calls,F0_failed_candidate_calls
740000,Fe2Gd2,4,0.05343878883037957,0.035072523737054107,0.031164270475822407,0.053727966914063785,True,True,True,True,0.1944091807190672,0.005590819280932802,True,True,2.1804298536117575,87.56419433100382,87.56419433100382,2000,0,0,0,0.0,26,True,False,0,0,260269056,0,0,0,0,Fe2Gd2,4,0.038746394713961456,0.025955640547024556,0.039942049986923404,0.053671700129395816,True,True,True,True,0.19414204037609065,0.0058579596239093645,True,True,2.179606647742403,85.12573016999522,85.3875371189788,2000,20,20,0,1.522168405004777,36,True,False,20,0,327857664,20,0,0,0
740001,CoFe8,9,0.10552231722146267,0.04257784020014655,0.004069704017879993,0.003454483142363074,True,False,False,True,0.206771513133899,0.006771513133898982,True,True,2.4573353095560027,89.21548110403819,89.21548110403819,2000,0,0,0,0.0,36,True,False,0,0,294580736,0,0,0,0,CoFe8,9,0.03862266858101341,0.01290836380631313,0.001435656177541553,0.0034417674848103985,True,False,False,True,0.20677829937723627,0.006778299377236258,True,True,2.4594311885250564,84.48130924900761,84.7137065900024,2000,20,20,0,0.9119960087700747,7,True,False,20,0,383112192,20,0,0,0
740002,C6Fe13Gd,20,0.9209348811211444,0.5107449670722871,0.14875765523593565,0.1849997042773488,False,False,True,True,0.12430370090710226,0.07569629909289775,False,True,1.8356971259107322,84.29683326295344,84.29683326295344,2000,0,0,0,0.0,252,True,False,0,0,376470016,0,0,0,0,C6Fe13Gd,20,0.7429529465652495,0.4250656012475534,0.1404223925303658,0.18500351897461442,False,False,True,True,0.12449470727787429,0.07550529272212572,False,True,1.8476481638775524,84.73958724801196,84.9888218260021,2000,20,20,0,1.4061300488538109,231,True,False,20,0,490098176,20,0,0,0
740003,Fe2Gd6N2,10,0.18092531380720553,0.12364132524234009,0.028273360082106024,0.1982952482988285,False,False,True,True,0.21246161606506644,0.012461616065066433,False,True,2.470469153396697,85.31167161400663,85.31167161400663,2000,0,0,0,0.0,25,True,False,0,0,304139776,0,0,0,0,Fe2Gd6N2,10,0.1482921507453041,0.09133806081336485,0.027384936952347852,0.19826778247851706,False,False,True,True,0.21215769550626803,0.012157695506268024,False,True,2.466175804699464,85.75910928600933,86.0200834890129,2000,20,20,0,1.3748530899174511,27,True,False,20,0,367862784,20,0,0,0
740004,CoFe4Mn,6,0.339749095463626,0.17898337769233338,0.018117587652586316,0.05813978185459412,True,True,True,True,0.1942613416434762,0.005738658356523818,True,True,2.441143811281272,85.2624945360003,85.2624945360003,2000,0,0,0,0.0,14,True,False,0,0,274322944,0,0,0,0,CoFe4Mn,6,0.259033720068078,0.1359618544880241,0.01382905159100727,0.05813342402581867,True,True,True,True,0.19544083340387686,0.004559166596123154,True,True,2.4457257736944307,85.2155764780473,85.71057658700738,2000,20,20,0,1.0612809260492213,13,True,False,20,0,356686336,20,0,0,0
740005,H2EuGd,4,0.1367740357178613,0.06858397950766719,0.06519378983582097,0.40738072357666066,False,False,True,True,0.140460705295893,0.059539294704107015,False,True,2.122019376684316,84.31529780797428,84.31529780797428,2000,0,0,0,0.0,31,True,False,0,0,260280832,0,0,0,0,H2EuGd,4,0.10405161704876816,0.05232889685484657,0.06827006144041727,0.4072319503833013,False,False,True,True,0.14059139440161098,0.059408605598389036,False,True,2.1200234695597144,84.10295186500298,84.4903566330322,2000,20,20,0,0.8848019348806702,35,True,False,20,0,327730176,20,0,0,0
740006,Gd6,6,0.004407040346366255,0.0026428010109180796,0.002198293284638658,0.01603312867187512,True,True,True,True,0.21776890975372454,0.017768909753724527,False,True,3.5423025454354438,82.82314989500446,82.82314989500446,2000,0,0,0,0.0,18,True,False,0,0,275202048,0,0,0,0,Gd6,6,0.004111289890508817,0.0025377637454178314,0.0021875880019620645,0.01603312867187512,True,True,True,True,0.21778339332005928,0.017783393320059265,False,True,3.5422009168601387,83.18246342201019,83.55710383399855,2000,20,20,0,1.0117587958811782,18,True,False,20,0,341446656,20,0,0,0
740007,Co2Fe2,4,0.051512017202720764,0.0424527274496396,0.06853503584000027,0.08755039590820335,True,False,False,True,0.1893626934931793,0.01063730650682071,False,True,2.4273819185157577,83.9273546480108,83.9273546480108,2000,0,0,0,0.0,29,True,False,0,0,261338624,0,0,0,0,Co3Fe,4,0.08486103919106813,0.06103112100788839,0.08554123223081116,0.08118662078369177,True,True,True,True,0.17732095386604277,0.022679046133957242,False,True,2.4443659931288244,84.45379901700653,84.67993872304214,2000,20,20,0,1.356422358949203,33,True,False,20,0,337257472,20,0,0,0
740008,CoFe7,8,0.05605843088813849,0.03650888776759871,0.0019312103632661357,0.0032733771684583246,True,False,False,True,0.2063905551900259,0.006390555190025876,True,True,2.453743231185852,82.90668095601723,82.90668095601723,2000,0,0,0,0.0,7,True,False,0,0,286533120,0,0,0,0,CoFe7,8,0.015205714547172717,0.008906382926154694,0.0010053234306700394,0.003240952241700512,True,False,False,True,0.20634903340391053,0.00634903340391052,True,True,2.456383814110832,83.01556822494604,83.25674775394145,2000,20,20,0,0.9054536072071642,7,True,False,20,0,374364672,20,0,0,0
740009,Co3Fe7,10,0.10116201183084093,0.04956596786208044,0.0033968589450193384,0.025887295095703422,True,True,True,True,0.19933906420115294,0.0006609357988470732,True,True,2.4510658393125926,86.82355258101597,86.82355258101597,2000,0,0,0,0.0,24,True,False,0,0,302318592,0,0,0,0,Co3Fe7,10,0.04737489767124463,0.02412935041751923,0.0006916372698831304,0.025883480398437797,True,True,True,True,0.19923358654579693,0.0007664134542030854,True,True,2.451361266139899,87.378786310961,87.59956327092368,2000,20,20,0,1.335235048958566,9,True,False,20,0,393221632,20,0,0,0
740010,Co5Fe9,14,0.0715869999987805,0.039083048147857805,0.0012556383117753647,0.05026367343610527,True,True,True,True,0.19616721380659657,0.003832786193403437,True,True,2.4301457736473595,85.51037686597556,85.51037686597556,2000,0,0,0,0.0,26,True,False,0,0,328614400,0,0,0,0,Co5Fe9,14,0.02876830282021343,0.014731353136668448,0.000548410834578454,0.05022389159319207,True,True,True,True,0.19618558484429596,0.0038144151557040484,True,True,2.4311135998284894,86.04759778099833,86.38293657801114,2000,20,20,0,1.3387023968971334,20,True,False,20,0,430247936,20,0,0,0
740011,Fe4,4,0.018782090752757,0.015136592032682536,0.0,-0.007849731162108853,True,False,False,True,0.2116945999100405,0.011694599910040487,False,True,2.4573755590117714,83.38199213100597,83.38199213100597,2000,0,0,0,0.0,8,True,False,0,0,258877952,0,0,0,0,Fe4,4,0.007638393333090409,0.007078361459392101,0.0,-0.00785545320800729,True,False,False,True,0.21169850144532143,0.011698501445321419,False,True,2.457706057660186,83.23936452600174,83.46229420503369,2000,20,20,0,0.8910044119111262,8,True,False,20,0,337231872,20,0,0,0
740012,Co4Fe3,7,0.1090699271057412,0.07228997763523885,0.00521745260360004,0.07271724480887265,True,False,False,True,0.19077512830608265,0.009224871693917364,True,True,2.441785325594007,83.7673850809806,83.7673850809806,2000,0,0,0,0.0,25,True,False,0,0,283207168,0,0,0,0,Co4Fe3,7,0.04330697733618914,0.02870055581788435,0.0014588189077550115,0.07269708140904019,True,False,False,True,0.1904745465519828,0.009525453448017224,True,True,2.4416575790634836,83.9407147889724,84.15402457601158,2000,20,20,0,1.3435808318317868,21,True,False,20,0,367283200,20,0,0,0
