arm,refinement_count,refinement_rate,fallback_count,fallback_mean,backtracking_count,backtracking_mean,accepted_steps_mean,mean_displacement_angstrom,median_displacement_angstrom,maximum_displacement_angstrom,p90_displacement_angstrom,p95_displacement_angstrom,p99_displacement_angstrom,proposal_atoms,clipped_atoms,clipping_rate,safety_checks,safety_rejections,safety_rejection_rate,short_bond_rejections,short_bond_rejection_rate,abnormal_cell_rejections,abnormal_cell_rejection_rate,full_rejection_count,full_rejections_exact_fallback,atomic_numbers_modified,cell_modified,finite,minimum_distance_angstrom,gate_off_count,gate_off_exact_fallback
E3-A,256,1.0,0,0.0,2,0.0078125,5.0,0.010967916240265461,0.0086776372455259,0.0656859733834471,0.02092000288858965,0.027870263113552275,0.05924021457312842,12138,10,0.0008238589553468446,1282,0,0.0,0,0.0,0,0.0,0,True,0,0,True,0.9834140484128938,,
E3-G,170,0.6640625,0,0.0,0,0.0,3.3203125,0.007580279641972904,0.00580389095723985,0.0656860392400019,0.01771355747235965,0.025003009890191174,0.05695856161286203,8695,10,0.0011500862564692352,850,0,0.0,0,0.0,0,0.0,0,True,0,0,True,0.9834140708729784,86.0,True
