method,pre_relax_max_force,pre_relax_max_force_median,convergence_rate,relaxation_steps_mean,relaxation_steps_median,rmsd,ehull,ehull_median,ehull_coverage,stable,metastable,nus,msun,novel,unique,composition_validity,structure_validity,relaxation_failure_rate,short_bond_rate,abnormal_cell_rate,relaxation_elapsed_mean,ehull_all_available,ehull_median_all_available
C0,0.34296426286559617,0.18274502903184903,1.0,40.08203125,27.0,0.04938950865947697,0.1561356966317432,0.11160220664333925,1.0,0.4453125,0.78125,0.22265625,0.5078125,0.71875,0.984375,0.7890625,1.0,0.0,0.0,0.0,1.208019397544831,0.1561356966317432,0.11160220664333925
E3-A,0.24395595983940943,0.15606544682105417,1.0,40.2421875,27.0,0.04505749632343868,0.15617885541764848,0.112914561667754,1.0,0.4453125,0.78125,0.22265625,0.5078125,0.71875,0.984375,0.7890625,1.0,0.0,0.0,0.0,1.1958402627747091,0.15617885541764848,0.112914561667754
E3-G,0.26310701792559776,0.1694568552852036,1.0,40.0,27.0,0.04593743918984518,0.1561766907002915,0.11290373078854271,1.0,0.4453125,0.78125,0.22265625,0.5078125,0.71875,0.984375,0.7890625,1.0,0.0,0.0,0.0,1.197009216929473,0.1561766907002915,0.11290373078854271
