arm,baseline_mean,selected_mean,baseline_median,selected_median,mean_difference,median_difference,relative_change,bootstrap_95_ci,wilcoxon_p_raw,wins,ties,losses,leave_one_out_mean_difference_range,remove_most_favorable_sample_index,remove_most_favorable_sample_seed,remove_most_favorable_relative_change,remove_most_unfavorable_sample_index,remove_most_unfavorable_sample_seed,remove_most_unfavorable_relative_change,maximum_single_sample_absolute_contribution_rate,wilcoxon_p_holm,effect_reduction_ge_10_percent,bootstrap_ci_upper_below_zero,holm_p_below_0_05,primary_effect_pass
E3-A,0.34296426286559617,0.24395595983940943,0.18274502903184903,0.15606544682105417,-0.09900830302618673,-0.011617723587562988,-0.2886840226411198,"[-0.16489407698758815, -0.050201906937694905]",1.3100015085014907e-14,191,0,65,"[-0.10017259935570337, -0.07812874603841058]",158,40158,-0.2499212871420684,130,40130,-0.29177498551615466,0.18460208306173742,2.6200030170029813e-14,True,True,True,True
E3-G,0.34296426286559617,0.26310701792559776,0.18274502903184903,0.1694568552852036,-0.07985724493999838,-8.604603615181006e-07,-0.23284421610800177,"[-0.14496579962748402, -0.032452653777908895]",4.1880173230809353e-10,163,0,93,"[-0.08062860842342655, -0.05890259553960769]",158,40158,-0.18841992531187024,191,40191,-0.23442996158948282,0.23683162880494965,4.1880173230809353e-10,True,True,True,True
