config,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,input_hash,output_hash,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
P1,15014,P1_seed_15014,-106.78329467773438,-7.118886311848958,0.04561783745884895,True,3.4331605110201053,106,LiMn5O9,Li-Mn-O,a1eabc1dc070ab125e189fdb8d16dd95c790e187e539cba631b3d8cccbe9778c,4ba4ae73988873b4d904189784b99dd98d90070116e056e832ff39886f98803c,0.1749221775415144,0.08634801370708697,False,False,False,False,True,True,True,True,True,True,True,0.1749221775415144,0.10644964056634798
P1,15015,P1_seed_15015,-32.46765899658203,-8.116914749145508,0.02239265851676464,True,0.05678468901896849,2,TbGdPd2,Gd-Pd-Tb,1b8e6382dcadc39ecbc3625d2ec56c78f7288d104a659783fcabc59f3e539766,a3f6e84ddb50ddd8bbd733b07e2be6ed5667c259257db09c8542e5cacb7fe246,0.05548297214177644,0.0010521752678835526,True,True,True,True,True,True,True,True,True,True,False,0.05548297214177644,0.05548297214177644
P1,15016,P1_seed_15016,-31.910972595214844,-7.977743148803711,0.04896363988518715,True,0.3547361029777676,12,GdZn,Gd-Zn,ac905bd09bf49cea087d9b1734ed856a61d766af6ab5784847b2ef69fe7cbdc4,eed695aca91a6eaa6baddc63740fcc03ed2e0f6ab4689a11a8fb8daadd1068ef,0.06119753376548864,0.009556812024085133,False,True,True,True,True,False,False,True,True,False,True,0.06119753376548864,0.0
P1,15017,P1_seed_15017,-124.4383544921875,-10.369862874348959,0.049625810235738754,True,9.939141000970267,344,Gd3Cr2O7,Cr-Gd-O,3b58a37eb5125102a9bf671742b2a6aab94d8ac4e2df26b2c7346af5d0503754,49e1165af0a58df3c8365e514b6d3ad166094ad4caba0354aa0c3431d286a4de,0.2695901427671874,0.24042542146011756,False,False,True,True,True,True,True,True,True,True,True,0.2695901427671874,0.263105132337186
P1,15018,P1_seed_15018,-42.713623046875,-8.542724609375,0.006695389281958342,True,0.19632587698288262,6,CaEu3Ir,Ca-Eu-Ir,84ce6cc02f7f095e5e53b7cfebb0c73624b0fe02c8894def75b5fa1c02740cf8,73eb9f674b931fd7b0e6ed25e699c43751fd57dd57dc46aa2ea765b556db9608,0.08060189392049999,0.0009811607225163944,False,True,True,True,True,False,False,True,True,False,True,0.08060189392049999,0.08060189392049999
P1,15019,P1_seed_15019,-103.72520446777344,-6.48282527923584,0.03979688882827759,True,1.0553133850335144,34,Li2CrFeO4,Cr-Fe-Li-O,f3d6d546b01fa7750e634fa2dc99f2a2d6a65d4f5f946bcc370f3db97612a2b2,8d1965d493f57b604694a425032e6b21a9105e6c02f1bcf231aab873aeb010c9,0.13440926707468925,0.01793714762750746,False,False,True,True,True,False,False,True,True,False,True,0.13440926707468925,0.1335130986004387
P1,15020,P1_seed_15020,-109.57707977294922,-6.087615542941624,0.05114739388227463,True,13.648649293987546,496,Mn5H(OF5)2,F-H-Mn-O,1fb1f7e0e96b3978913012d6ca4e32e8904845ab7f57f02dc1a7f113aee8c34b,7afd21a0d93e9b1fc7030fc841cc121446de8657239633de0d352398e88ee7dc,0.19098865930233178,0.3903133377613091,False,False,True,True,True,True,True,True,True,True,True,0.19098865930233178,0.1909886593023522
P1,15021,P1_seed_15021,-29.379131317138672,-7.344782829284668,0.0019434222485870123,True,0.3372100670239888,13,NdEu2Al,Al-Eu-Nd,b64031063a57c549acf239cd1d3aed4c7b4642736ef09bcbb1079861de8d38be,d664b822d2d83165f2c835f927c7c01c9b9a261e02494c221341355a8ee8359c,0.14436734415758679,0.000980461445094742,False,False,True,True,True,True,True,True,True,True,False,0.14436734415758679,0.14436734415758679
P1,15022,P1_seed_15022,-17.090816497802734,-5.696938832600911,0.006211503408849239,True,0.05692199501208961,2,EuIn2,Eu-In,9bdac22ca9633d43a9dfafb7820a76ae2a84cbf69465012127afa10fcdd85b79,d3d78d67f832d6ab89431f7cca02bdffb26e36d3e08a1a52a932eed03ed9f180,0.05738314722485782,0.0016514918243354243,False,True,True,True,True,False,False,True,True,False,True,0.05738314722485782,0.0
P1,15023,P1_seed_15023,-123.13622283935547,-7.696013927459717,0.049609966576099396,True,5.210299279016908,183,Eu2SbI,Eu-I-Sb,e0ed0ba71216f8cda2258a94ba7f0c9ffcbc543e0a948f377b1d7dbe45625b34,edf19eb7d4c72290de95eff08350aa996a09284b9da04c8da93457652f8d865e,0.15620346488607417,0.14639965020675716,False,False,True,True,True,True,True,True,True,True,True,0.15620346488607417,0.14293148593177563
P1,15024,P1_seed_15024,-99.7572250366211,-6.234826564788818,0.04954937845468521,True,2.9681723659741692,95,Li4Mn3GaO8,Ga-Li-Mn-O,50b5c4b6effd1d89a5b91a34702c0ba28e40255cd157bdf8c4d8784b954e6d1c,4d7d4c9b13f21328a163ac586a28ec1cfc2bb38cedb03c1f5a5acbb1e3b2d562,0.27499479352711553,0.06101403330004246,False,False,True,True,True,True,True,True,True,True,True,0.27499479352711553,0.27499479352711553
P1,15025,P1_seed_15025,-61.02167892456055,-7.627709865570068,0.0336436964571476,True,1.4060742650181055,48,Fe2Co5Ir,Co-Fe-Ir,b98c19d21de1d4803f7bde231e867f2c9090e3d121900e895c3b02f1515e96ed,377178546aba4b3f97e9196954da5ffa88d7f3cf5b60340e1ac7e8f6c9928ea0,0.08618080998836675,0.008353183291935346,True,True,True,True,True,True,True,True,True,True,True,0.08618080998836675,0.08618080998836675
P1,15026,P1_seed_15026,-30.350955963134766,-7.587738990783691,0.040012747049331665,True,0.4673524420359172,16,Mn2AuN,Au-Mn-N,828aa14e66230931c4eabcd3f8c4e25cf683faafb19518a93f0273d13f2e4196,752c208064d1c7f88457109f9c372c7e34ab4a4d39fb5be88dde4f86e6fd6da3,0.13853238389604527,0.022780158347095052,False,False,True,True,True,False,False,True,True,False,True,0.13853238389604527,0.13853238389604527
P1,15027,P1_seed_15027,-79.6707763671875,-9.958847045898438,0.04083864763379097,True,0.8825845040264539,28,Eu4O3F,Eu-F-O,1e37c25b124ab774a1a14f53081dce14394dde7c66185399a8a013f646da42b2,ffcc3ae3477088793acb381f8f344848d1ce1784be8b5708c2b07bd7128beb7a,0.13896613567453286,0.006288475715291118,False,False,False,False,True,True,True,True,True,True,True,0.13896613567453286,0.13896613567453286
P1,15028,P1_seed_15028,-43.04954147338867,-7.174923578898112,0.048295874148607254,True,1.162629441008903,39,EuPt2O3,Eu-O-Pt,b88333d10a4223bb4ab6328f49f2223210075d02cbabe5a50db4dd329d61c685,f1b59f41b7bf877763df6397a2aff5b7bf16f531585c3daece7cb03d40958337,0.5492044619352017,0.1065418393893854,False,False,True,True,True,True,True,True,True,True,True,0.5492044619352017,0.4775148846168671
P1,15029,P1_seed_15029,-46.90632629394531,-5.863290786743164,0.02190939523279667,True,0.6654973879922181,21,LiFe2NiO4,Fe-Li-Ni-O,88992c440a03bab4f53914ed3f40b525f2d8a6eb63c54faf6a0c9ef102cdefec,a81c91738a0680eb5e27b80598f8fc9393a4d2683e136099e174b594e28cefcb,0.2559352841098246,0.0012058305679249236,False,False,True,True,True,True,True,True,True,True,True,0.2559352841098246,0.2559352841098246
P1,15030,P1_seed_15030,-43.71306610107422,-5.464133262634277,0.020900247618556023,True,0.8441638679942116,28,GdMg2Al,Al-Gd-Mg,a4cc56175fbcf2d123e8effc769455e040b7ac9c281229bae6f32028e4768418,a2bc6cc2592afaa0d0b3bd5e276965d6a9c8325ca04889ece37cd92943633cdc,0.017216668141768032,0.03707792418195999,True,True,True,True,True,True,True,True,True,True,True,0.017216668141768032,0.017216668141768032
P1,15031,P1_seed_15031,-93.466064453125,-9.3466064453125,0.045380156487226486,True,1.3525460010278039,42,Gd(CoN)2,Co-Gd-N,4130c4059094a35736350b5af5ba8e1a50188e7b489f0ad995137d491d789c26,dbb8c73cede65ead20e37ab6bb402394680ae94a091e64c6fc072af724011ffd,0.3219928272537498,0.04525234187616679,False,False,True,True,True,True,True,True,True,True,False,0.3219928272537498,0.3219928272537498
