config_id,mps_enabled,workers_per_gpu,active_thread_percentage,round,wall_seconds,samples_per_hour,success_count,failure_count,p50_latency_seconds,p95_latency_seconds,worker_completion_skew_estimate_seconds,cpu_utilization_equivalent_percent,throughput_median_samples_per_hour,within_config_bitwise,gpu_utilization_mean_percent,peak_memory_mib
S0_off_w2,False,2,,1,811.9725969820283,70.93835458744537,16,0,100.37661933049094,108.42004720223485,8.32929430808872,198.97335045800304,71.08979027090375,True,91.19832041343669,3195.0
S0_off_w2,False,2,,2,810.2429305319674,71.08979027090375,16,0,100.05976025696145,108.58621942272293,2.4710921819787472,199.71362593544492,71.08979027090375,True,91.19832041343669,3195.0
S0_off_w2,False,2,,3,808.9501916550798,71.20339496076106,16,0,99.73755971004721,108.42110230974504,4.442117390804924,199.47149330487065,71.08979027090375,True,91.19832041343669,3195.0
S1_mps_w2_p50,True,2,50,1,815.0326658800477,70.6720140324747,16,0,100.84669647598639,108.0626195250079,13.079404272837564,198.3824112579758,70.7854606620854,True,90.8119658119658,3097.0
S1_mps_w2_p50,True,2,50,2,813.7264271680033,70.7854606620854,16,0,100.61938544496661,109.00736467176466,10.600501842796803,198.71316438014063,70.7854606620854,True,90.8119658119658,3097.0
S1_mps_w2_p50,True,2,50,3,810.6116943429224,71.05745007378688,16,0,99.98880073498003,108.0766502940096,6.8845822918228805,199.16834384121353,70.7854606620854,True,90.8119658119658,3097.0
