loss_val,pos_val,cell_val,atomic_numbers_val,loss_diffusion_val,loss_repa_alignment_val,loss_repa_weighted_val,repa_positive_cosine_val,epoch,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,loss_diffusion_train_step,loss_repa_alignment_train_step,loss_repa_weighted_train_step,repa_positive_cosine_train_step,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_diffusion_train_epoch,loss_repa_alignment_train_epoch,loss_repa_weighted_train_epoch,repa_positive_cosine_train_epoch
2.410552978515625,2.6054186820983887,0.04145490378141403,0.1068054735660553,0.4088022708892822,2.0017504692077637,2.0017504692077637,0.6292092800140381,18,999,,,,,,,,,,,,,,,,
,,,,,,,,18,999,2.282763719558716,3.4519553184509277,0.029335487633943558,0.061550166457891464,0.436081200838089,1.8466826677322388,1.8466826677322388,0.6909397840499878,,,,,,,,
,,,,,,,,18,1006,,,,,,,,,2.966313123703003,2.5036470890045166,0.02549591101706028,0.11242174357175827,0.3882824182510376,2.578030824661255,2.578030824661255,0.6156660318374634
,,,,,,,,19,1009,2.170771360397339,3.132464647293091,0.02482263743877411,0.057851746678352356,0.39592090249061584,1.7748502492904663,1.7748502492904663,0.6972492933273315,,,,,,,,
,,,,,,,,19,1019,2.658834218978882,2.536019802093506,0.02433372661471367,0.0853600800037384,0.3632957935333252,2.2955386638641357,2.2955386638641357,0.6346896886825562,,,,,,,,
,,,,,,,,19,1029,2.393871784210205,3.093229293823242,0.02783551625907421,0.07470293343067169,0.4118613600730896,1.9820104837417603,1.9820104837417603,0.6826744079589844,,,,,,,,
,,,,,,,,19,1039,2.556058645248413,2.581803321838379,0.045392654836177826,0.09184039384126663,0.3954133689403534,2.1606452465057373,2.1606452465057373,0.6606833338737488,,,,,,,,
,,,,,,,,19,1049,2.631746768951416,3.552891731262207,0.026089999824762344,0.08822328597307205,0.46960246562957764,2.162144184112549,2.162144184112549,0.6560901999473572,,,,,,,,
,,,,,,,,19,1059,2.787336587905884,2.4901063442230225,0.021630778908729553,0.1063733622431755,0.37701475620269775,2.4103219509124756,2.4103219509124756,0.6309136152267456,,,,,,,,
,,,,,,,,19,1059,,,,,,,,,2.919630527496338,2.5645241737365723,0.026416191831231117,0.10841140151023865,0.39128005504608154,2.528350830078125,2.528350830078125,0.6212552785873413
2.559053659439087,2.5846593379974365,0.0322997160255909,0.11769762635231018,0.4084632694721222,2.150590419769287,2.150590419769287,0.613762617111206,20,1062,,,,,,,,,,,,,,,,
,,,,,,,,20,1069,2.387178659439087,1.8151466846466064,0.0170122217386961,0.08588284254074097,0.2844097316265106,2.102769136428833,2.102769136428833,0.6723368167877197,,,,,,,,
,,,,,,,,20,1079,3.2608401775360107,3.070186138153076,0.017034219577908516,0.12703149020671844,0.45108431577682495,2.809756278991699,2.809756278991699,0.5891431570053101,,,,,,,,
,,,,,,,,20,1089,2.4332199096679688,1.5007946491241455,0.026335902512073517,0.08468323200941086,0.26109862327575684,2.172121047973633,2.172121047973633,0.6527378559112549,,,,,,,,
,,,,,,,,20,1099,2.6765222549438477,3.628924608230591,0.031252432614564896,0.08342371881008148,0.4775686264038086,2.198953628540039,2.198953628540039,0.6511238813400269,,,,,,,,
,,,,,,,,20,1109,2.7921717166900635,2.088459014892578,0.025569114834070206,0.10745777934789658,0.34187281131744385,2.450299024581909,2.450299024581909,0.6190782785415649,,,,,,,,
,,,,,,,,20,1112,,,,,,,,,2.9667766094207764,2.5519979000091553,0.025832315906882286,0.11251550167798996,0.3935476839542389,2.5732288360595703,2.5732288360595703,0.616204023361206
,,,,,,,,21,1119,1.8532047271728516,2.552741050720215,0.029247337952256203,0.0459359735250473,0.3304573893547058,1.522747278213501,1.522747278213501,0.7341862916946411,,,,,,,,
2.5744760036468506,2.61012601852417,0.03260979801416397,0.11614470928907394,0.40976712107658386,2.1647088527679443,2.1647088527679443,0.6117254495620728,21,1124,,,,,,,,,,,,,,,,
,,,,,,,,21,1129,3.3759217262268066,2.8129501342773438,0.02092740125954151,0.138882115483284,0.441104531288147,2.934817314147949,2.934817314147949,0.5703420042991638,,,,,,,,
,,,,,,,,21,1139,3.231231451034546,1.7289472818374634,0.010333781130611897,0.14173465967178345,0.32496318221092224,2.906268358230591,2.906268358230591,0.577593982219696,,,,,,,,
,,,,,,,,21,1149,3.0434348583221436,2.059937000274658,0.026711173355579376,0.11564682424068451,0.34835171699523926,2.6950833797454834,2.6950833797454834,0.6045063138008118,,,,,,,,
,,,,,,,,21,1159,3.0032029151916504,1.3956964015960693,0.026738397777080536,0.131587415933609,0.2978954613208771,2.7053072452545166,2.7053072452545166,0.6017099022865295,,,,,,,,
,,,,,,,,21,1165,,,,,,,,,2.9548428058624268,2.47147798538208,0.025784717872738838,0.11167517304420471,0.3846076428890228,2.570235013961792,2.570235013961792,0.6167178153991699
,,,,,,,,22,1169,3.1049718856811523,2.1820569038391113,0.029360108077526093,0.1264721155166626,0.3740379214286804,2.7309343814849854,2.7309343814849854,0.6045106649398804,,,,,,,,
,,,,,,,,22,1179,2.5982558727264404,2.1442067623138428,0.02476710081100464,0.08671341836452484,0.32590121030807495,2.2723546028137207,2.2723546028137207,0.6414128541946411,,,,,,,,
2.2997512817382812,2.4686532020568848,0.03262679651379585,0.10096528381109238,0.38045740127563477,1.9192936420440674,1.9192936420440674,0.6404110789299011,22,1187,,,,,,,,,,,,,,,,
,,,,,,,,22,1189,3.4145965576171875,2.2834062576293945,0.03477449715137482,0.13926005363464355,0.4023752212524414,3.012221336364746,3.012221336364746,0.5731889009475708,,,,,,,,
,,,,,,,,22,1199,3.2219948768615723,2.076519250869751,0.02728407084941864,0.13132303953170776,0.36625903844833374,2.8557357788085938,2.8557357788085938,0.5897159576416016,,,,,,,,
,,,,,,,,22,1209,2.56752347946167,2.8859705924987793,0.020341407507658005,0.08641654998064041,0.3953550457954407,2.172168016433716,2.172168016433716,0.6622328758239746,,,,,,,,
,,,,,,,,22,1218,,,,,,,,,2.9218170642852783,2.4030513763427734,0.025721268728375435,0.11130306124687195,0.3773294985294342,2.544487237930298,2.544487237930298,0.6192928552627563
,,,,,,,,23,1219,3.1910183429718018,3.8369951248168945,0.02361752837896347,0.12053537368774414,0.5278524160385132,2.663166046142578,2.663166046142578,0.6096760034561157,,,,,,,,
,,,,,,,,23,1229,2.757134437561035,3.164389133453369,0.024337543174624443,0.0935860425233841,0.4343625009059906,2.3227717876434326,2.3227717876434326,0.6395934820175171,,,,,,,,
,,,,,,,,23,1239,2.4039809703826904,2.4692914485931396,0.02188204787671566,0.07947036623954773,0.348281592130661,2.055699586868286,2.055699586868286,0.6659073829650879,,,,,,,,
2.435950994491577,2.197442054748535,0.029641611501574516,0.11329957842826843,0.3626854121685028,2.073265552520752,2.073265552520752,0.6224254965782166,23,1249,,,,,,,,,,,,,,,,
,,,,,,,,23,1249,2.973524570465088,2.066876173019409,0.020770424976944923,0.11724528670310974,0.34470334649086,2.6288211345672607,2.6288211345672607,0.6095534563064575,,,,,,,,
,,,,,,,,23,1259,2.33398699760437,3.14398455619812,0.0447511188685894,0.06713076680898666,0.4262803792953491,1.9077067375183105,1.9077067375183105,0.6865824460983276,,,,,,,,
,,,,,,,,23,1269,2.735191583633423,2.806692600250244,0.03522535413503647,0.09382066875696182,0.40971529483795166,2.3254761695861816,2.3254761695861816,0.6496874690055847,,,,,,,,
,,,,,,,,23,1271,,,,,,,,,2.957313060760498,2.4697041511535645,0.02572796866297722,0.1121259555220604,0.38482439517974854,2.5724892616271973,2.5724892616271973,0.6158450245857239
,,,,,,,,24,1279,2.986801862716675,2.4274113178253174,0.023602504283189774,0.1106640100479126,0.3770076632499695,2.6097941398620605,2.6097941398620605,0.6118661761283875,,,,,,,,
,,,,,,,,24,1289,2.81381893157959,3.2010304927825928,0.02114410325884819,0.08997578173875809,0.43122297525405884,2.3825957775115967,2.3825957775115967,0.6386505961418152,,,,,,,,
,,,,,,,,24,1299,3.003986120223999,2.7732536792755127,0.017302794381976128,0.11292444169521332,0.4075525999069214,2.596433639526367,2.596433639526367,0.6158336400985718,,,,,,,,
,,,,,,,,24,1309,3.4357807636260986,2.114473342895508,0.012800482101738453,0.15090779960155487,0.37515562772750854,3.0606250762939453,3.0606250762939453,0.5658330321311951,,,,,,,,
2.4548423290252686,2.6447505950927734,0.04293340444564819,0.11037585884332657,0.41778436303138733,2.037057876586914,2.037057876586914,0.6280267238616943,24,1312,,,,,,,,,,,,,,,,
,,,,,,,,24,1319,3.1363577842712402,2.43143630027771,0.021611474454402924,0.12670472264289856,0.3914598524570465,2.7448983192443848,2.7448983192443848,0.598206639289856,,,,,,,,
,,,,,,,,24,1324,,,,,,,,,2.9522976875305176,2.5049922466278076,0.027087321504950523,0.11282607167959213,0.39041265845298767,2.561885118484497,2.561885118484497,0.616956889629364
,,,,,,,,25,1329,3.5147218704223633,1.1922681331634521,0.018821563571691513,0.14237725734710693,0.28042563796043396,3.2342958450317383,3.2342958450317383,0.5412324070930481,,,,,,,,
,,,,,,,,25,1339,2.371955394744873,3.200101613998413,0.019783340394496918,0.07447007298469543,0.41426360607147217,1.9576914310455322,1.9576914310455322,0.6853815913200378,,,,,,,,
