config,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
R1,17000,R1_seed_17000,-37.11445617675781,-3.092871348063151,0.05152958258986473,True,5.702705242030788,196,Hg2Ge(Te2As)3,As-Ge-Hg-Te,0.18551934563436356,0.23603505816623818,False,False,False,False,True,True,True,True,True,True,False,0.18551934563436356,0.18551934563436356
R1,17001,R1_seed_17001,-29.871267318725586,-4.267323902675083,0.036551520228385925,True,1.1069491390371695,40,PrPbCl5,Cl-Pb-Pr,0.12812839323600933,0.0636678766328822,False,False,True,True,True,True,True,True,True,True,True,0.12812839323600933,0.12812839323600933
R1,17002,R1_seed_17002,-138.2125701904297,-7.2743457994963,0.04997543618083,True,2.1368569059995934,69,Sr3HoLu2Mn2O11,Ho-Lu-Mn-O-Sr,0.2710573264095242,0.060406159092440535,False,False,True,True,True,True,True,True,True,True,False,0.2710573264095242,0.2710573264095242
R1,17003,R1_seed_17003,-107.37362670898438,-5.965201483832465,0.043142836540937424,True,6.103093912999611,222,As7O11,As-O,0.12420473660251741,0.21981714710598962,False,False,False,False,True,True,True,True,True,True,True,0.12420473660251741,0.0
R1,17004,R1_seed_17004,-89.78038024902344,-8.16185274991122,0.05021118372678757,True,1.7479763920418918,62,Cr6NiP4,Cr-Ni-P,0.06865838943408065,0.04300582159370975,True,True,True,True,True,True,True,True,True,True,True,0.06865838943408065,0.05109090376325831
R1,17005,R1_seed_17005,-46.434104919433594,-4.643410491943359,0.050033461302518845,True,0.24612483399687335,9,La2AlCu2,Al-Cu-La,0.015844665982760908,0.002861239297788766,True,True,True,True,True,True,True,True,True,True,True,0.015844665982760908,0.015844665982760908
R1,17006,R1_seed_17006,-32.366458892822266,-3.5962732103135853,0.04919585585594177,True,1.0215821250458248,37,Cs3SrCl5,Cl-Cs-Sr,0.1023988075292146,0.040801955791267414,False,False,True,True,True,True,True,True,True,True,True,0.1023988075292146,0.08551947366588086
R1,17007,R1_seed_17007,-53.485687255859375,-5.348568725585937,0.046245645731687546,True,1.8861594320042059,65,SrO4,O-Sr,0.14838788541878145,0.061192381388422104,False,False,True,True,True,True,True,True,True,True,True,0.14838788541878145,0.0
R1,17008,R1_seed_17008,-49.00798797607422,-4.455271634188565,0.05094948783516884,True,6.923840745002963,242,Sm4Ag4Ge3,Ag-Ge-Sm,0.15149565689194588,0.22120551476917724,False,False,True,True,True,True,True,True,True,True,True,0.15149565689194588,0.1356999324171655
R1,17009,R1_seed_17009,-26.18843650817871,-2.618843650817871,0.04947936534881592,True,0.4942396230180748,18,K2HgSbBr6,Br-Hg-K-Sb,0.1277746310137986,0.005345763550995652,False,False,True,True,True,False,False,True,True,False,True,0.1277746310137986,0.1277746310137986
R1,17010,R1_seed_17010,-10.678548812866211,-2.6696372032165527,0.04721471667289734,True,0.548110040021129,20,ZnTe,Te-Zn,0.028384044616060145,0.01242440081558151,False,True,True,True,True,False,False,True,True,False,True,0.028384044616060145,0.0
R1,17012,R1_seed_17012,-40.93911361694336,-3.4115928014119468,0.05092778429389,True,1.0883221810217947,40,BaI2,Ba-I,0.08354556458223028,0.0018547550052658048,True,True,True,True,True,True,True,True,True,True,True,0.08354556458223028,0.0
R1,17013,R1_seed_17013,-31.410926818847656,-2.8555388017134233,0.04673502594232559,True,4.407129187951796,155,Te8Cl3,Cl-Te,0.175614589910277,0.22641403391845966,False,False,False,False,True,True,True,True,True,True,True,0.175614589910277,0.0
R1,17014,R1_seed_17014,-17.21393585205078,-5.737978617350261,0.013919291086494923,True,0.8704321109689772,31,Al2Cr,Al-Cr,0.12735101393146575,0.057571600366516484,False,False,True,True,True,False,False,True,True,False,True,0.12735101393146575,0.0
R1,17015,R1_seed_17015,-64.40098571777344,-3.5778325398763022,0.04316829517483711,True,4.947181969997473,165,K2OsSeBr5,Br-K-Os-Se,0.15038436643974196,0.17058977705616551,False,False,True,True,True,True,True,True,True,True,False,0.15038436643974196,0.15038436643974196
R1,17016,R1_seed_17016,-37.932735443115234,-4.741591930389404,0.0487077534198761,True,0.3812962450319901,14,Ce3Mg,Ce-Mg,0.13043872525520683,0.012932016398616727,False,False,True,True,True,False,False,True,True,False,True,0.13043872525520683,0.11997405397853989
R1,17017,R1_seed_17017,-44.10127639770508,-4.410127639770508,0.04038683697581291,True,8.276053896988742,288,SbH2OF6,F-H-O-Sb,0.21209298851470582,1.2412622996601144,False,False,True,True,True,True,True,True,True,True,True,0.21209298851470582,0.17320697303678845
R1,17018,R1_seed_17018,-45.267921447753906,-6.4668459211077005,0.04495516046881676,True,1.2908571540028788,46,V3Se4,Se-V,0.1987695940126608,0.048458123238466426,False,False,False,False,True,True,True,True,True,True,True,0.1987695940126608,0.0
