method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull,formal_seed
A0_E3G,0,0,20000,-68.97468566894531,-8.621835708618164,0.0291996207088232,0.1543538888181873,True,0.768282947014086,25,Eu2InN,Eu-In-N,2.48757951592198,False,False,0.0641767065410743,0.024431522570626,True,True,True,True,True,True,True,True,True,True,True,0.0641767065410743,0.0641767065410743,20000
A0_E3G,1,1,20001,-106.71725463867188,-8.893104553222656,0.0355884358286857,0.2194778427725968,True,1.238083353033289,38,Eu7Au3N2,Au-Eu-N,2.353738153908854,False,False,0.1584488180387389,0.0347598673997072,False,False,False,False,True,True,True,True,True,True,True,0.1584488180387389,0.1584488180387389,20001
A0_E3G,2,2,20002,-24.12936782836914,-6.032341957092285,0.0331848673522472,0.0394946304245908,True,0.3961989440722391,3,Eu2MgZn,Eu-Mg-Zn,3.2606462128987785,False,False,0.0111244541042472,0.0017613366489677,False,True,True,True,True,False,False,True,True,False,True,0.0111244541042472,0.0111244541042472,20002
A0_E3G,3,3,20003,-57.96380615234375,-6.440422905815972,0.0279280897229909,0.2395420854504195,True,2.5216461509699,75,Fe3Ni2Ge3Pt,Fe-Ge-Ni-Pt,2.3539546657418926,False,False,0.1496510417475685,0.100934813234891,False,False,True,True,True,True,True,True,True,True,False,0.1496510417475685,0.1496510417475685,20003
A0_E3G,4,4,20004,-28.96510887145996,-7.24127721786499,0.0339448563754558,0.1398700944381372,True,1.617096550995484,42,FeCo2Pt,Co-Fe-Pt,2.350238714059517,False,False,0.0782386502880925,1.1708509388233512,False,True,True,True,True,False,False,True,True,False,True,0.0782386502880925,0.0782386502880925,20004
A0_E3G,5,5,20005,-61.89351272583008,-6.8770569695366754,0.031366728246212,0.0751200605348093,True,0.6554386159405112,21,EuGaPd,Eu-Ga-Pd,2.747919465844824,False,False,0.0359248765666961,0.0109399668344811,False,True,True,True,True,False,False,True,True,False,True,0.0359248765666961,0.0,20005
A0_E3G,6,6,20006,-95.9123306274414,-6.8508807591029575,0.0468446798622608,0.0557651254005327,True,0.3056970459874719,6,Mg2Mn4NiO7,Mg-Mn-Ni-O,2.13696396628346,False,False,0.1771744495867864,0.0004770018114462,False,False,True,True,True,True,True,True,True,True,True,0.1771744495867864,0.1771744495867864,20006
A0_E3G,7,7,20007,-101.42262268066406,-8.451885223388672,0.0480443872511386,0.2974162196230696,True,1.8935449119890109,50,EuGd2F9,Eu-F-Gd,2.1912729852036144,False,False,0.0856510941120216,0.0343689932033605,True,True,True,True,True,True,True,True,True,True,False,0.0856510941120216,0.0856510941120181,20007
A0_E3G,8,8,20008,-26.37723159790039,-6.594307899475098,0.0188925098627805,0.0324633400735009,True,0.5153198130428791,15,Eu2HgAu,Au-Eu-Hg,3.094320416183657,False,False,0.1560061582065914,0.0014312369310948,False,False,True,True,True,True,True,True,True,True,True,0.1560061582065914,0.1560061582065914,20008
A0_E3G,9,9,20009,-34.025428771972656,-8.506357192993164,0.0048282267525792,0.0248089520647876,True,0.5885269419522956,12,Eu3Tl,Eu-Tl,3.3564732945247098,False,False,0.0460546870235756,0.0045209587150278,True,True,True,True,True,True,True,True,True,True,True,0.0460546870235756,0.0167875118763287,20009
A0_E3G,10,10,20010,-72.75274658203125,-7.275274658203125,0.0469850338995456,0.3631735960951412,True,1.5160988939460367,67,EuO4,Eu-O,1.3600790424177305,False,False,0.192117321225604,0.0599490532680701,False,False,True,True,True,True,True,True,True,True,True,0.192117321225604,0.0,20010
A0_E3G,11,11,20011,-42.57560348510742,-8.515120697021484,0.0062409774400293,0.0064713624660725,True,0.2187037320109084,3,Eu3HgN,Eu-Hg-N,2.5518080203471225,False,False,0.0988838013801913,0.0014671588070994,False,True,False,False,True,False,False,True,True,False,True,0.0988838013801913,0.0988838013801913,20011
A0_E3G,12,12,20012,-63.132110595703125,-7.891513824462891,0.0488796830177307,0.1143168690775167,True,0.9140983980614692,30,Eu5MgAu2,Au-Eu-Mg,2.8805068943100443,False,False,0.0325565551480337,0.061903748448715,True,True,True,True,True,True,True,True,True,True,True,0.0325565551480337,0.0325565551480337,20012
A0_E3G,13,13,20013,-32.84022903442383,-8.210057258605957,0.007497290149331,0.0100637839285313,True,0.3545700641116127,8,Mn2PtRh,Mn-Pt-Rh,2.6613185163116806,False,False,0.0126187448546009,0.000561430505536,False,True,True,True,True,False,False,True,True,False,True,0.0126187448546009,0.0,20013
A0_E3G,14,14,20014,-117.89408111572266,-6.549671173095703,0.0411840975284576,0.1302953060207488,True,1.2097537859808654,27,Mn2OF3,F-Mn-O,1.8677776863288853,False,False,0.1648826156274605,0.0122827665106945,False,False,True,True,True,True,True,True,True,True,True,0.1648826156274605,0.1648826156274605,20014
A0_E3G,15,15,20015,-179.27259826660156,-8.963629913330077,0.0369672924280166,0.1789865454226097,True,1.5117071450222284,37,Gd2MgSbO6,Gd-Mg-O-Sb,2.109608472460823,False,False,0.223843097768869,0.0078721219432426,False,False,True,True,True,True,True,True,True,True,False,0.223843097768869,0.223843097768869,20015
A0_E3G,16,16,20016,-59.7423210144043,-7.467790126800537,0.0462893508374691,0.0680526321062358,True,0.4833333400310948,12,BeFe5Si2,Be-Fe-Si,2.319244759135515,False,False,0.0080965854000041,0.0023528176985867,True,True,False,False,True,True,True,True,True,True,True,0.0080965854000041,0.0,20016
A0_E3G,17,17,20017,-116.28648376464844,-6.460360209147136,0.048025656491518,0.3528483313271017,True,3.0159829809563234,89,Mn5FeO5F7,F-Fe-Mn-O,1.872032390085824,False,False,0.27361125725559,0.0482270000241402,False,False,True,True,True,True,True,True,True,True,False,0.27361125725559,0.27361125725559,20017
