comparison,seed,elapsed_A0,elapsed_G1,speed_multiplier_left_over_right,physical_forward_A0,physical_forward_G1,energy_above_hull_A0,energy_above_hull_G1,stable_A0,stable_G1,NUS_A0,NUS_G1,elapsed_G2,physical_forward_G2,energy_above_hull_G2,stable_G2,NUS_G2
A0_vs_G1,14000,252.9613047200255,226.6530695669935,1.1160727061993567,2000.0,1730.0,0.07803457211979925,0.14863472329700045,True,False,True,False,,,,,
A0_vs_G1,14001,188.6947987669846,160.11285543697886,1.1785112335421168,2000.0,1730.0,0.14944127188752443,0.08623476507088412,False,True,False,False,,,,,
A0_vs_G1,14002,205.27855840098346,186.22843022301095,1.1022944142049618,2000.0,1785.0,0.1333308825436239,0.1733654867120613,False,False,False,False,,,,,
A0_vs_G1,14003,206.92527245898964,179.29035523202037,1.154134990648029,2000.0,1730.0,0.061821222113211505,0.13513977831564716,True,False,True,False,,,,,
A0_vs_G1,14004,187.61676223797258,167.35094799398212,1.1210976961105665,2000.0,1748.0,0.0735080317746668,0.10695404982562096,True,False,True,False,,,,,
A0_vs_G1,14005,202.90546951402212,172.38701619801577,1.1770345237657036,2000.0,1788.0,0.07964672395341843,0.14178057214372686,True,False,False,False,,,,,
A0_vs_G1,14006,191.99294499401003,164.24018476501806,1.16897667442775,2000.0,1730.0,0.12209305905846435,0.10618473943474793,False,False,False,False,,,,,
A0_vs_G1,14007,203.51172443496762,175.95438617601758,1.1566163757428747,2000.0,1730.0,0.02430272923198551,0.02430366849522514,True,True,True,True,,,,,
A0_vs_G1,14008,258.11362124199513,226.50565236300463,1.139546049068721,2000.0,1730.0,0.15813610882939777,0.20592250401299772,False,False,False,False,,,,,
A0_vs_G1,14009,187.82388372102287,168.30257879401324,1.1159893393606397,2000.0,1758.0,0.5427430027731592,0.7685509742312604,False,False,False,False,,,,,
A0_vs_G1,14010,205.49323941703187,184.03083168104058,1.1166239783841743,2000.0,1782.0,0.16767154801006967,0.11296593205348238,False,False,False,False,,,,,
A0_vs_G1,14011,205.9490268480149,184.25764168496244,1.1177231237993357,2000.0,1789.0,0.0284976667483825,0.13275386744411755,True,False,False,False,,,,,
A0_vs_G1,14012,189.50910791096976,169.48566398699768,1.1181424048083985,2000.0,1730.0,0.15466841986093183,0.11939835201604776,False,False,False,False,,,,,
A0_vs_G1,14013,196.0199486229685,168.21111181704327,1.1653210451172324,2000.0,1730.0,0.33837910183188846,0.1494571191788019,False,False,False,False,,,,,
A0_vs_G1,14014,190.87221524800407,148.50413383700652,1.2852990035785767,2000.0,1730.0,-0.24959795321595735,0.06994830882525349,True,True,True,True,,,,,
A0_vs_G1,14015,206.2865232040058,176.86677438596962,1.166338470977226,2000.0,1793.0,0.10989497386175362,0.029175536638476274,False,True,False,False,,,,,
A0_vs_G1,14016,255.49500952399103,225.91544612200232,1.130932009783938,2000.0,1730.0,0.1295303895613369,0.05056197362361914,False,True,False,False,,,,,
A0_vs_G1,14017,188.25468729698332,167.97204416099703,1.1207501119444965,2000.0,1746.0,0.14175166411179774,0.019973331439380182,False,True,False,False,,,,,
A0_vs_G1,14018,205.11396743997466,182.51328869001009,1.1238303189437933,2000.0,1730.0,0.03646736532066441,0.16764536985167666,True,False,False,False,,,,,
A0_vs_G1,14019,206.13041038397932,182.7239888330223,1.128097146414346,2000.0,1758.0,0.016111661228229934,0.12462203439258701,True,False,False,False,,,,,
A0_vs_G1,14020,188.43780503497692,167.13459251495078,1.127461420161242,2000.0,1739.0,0.7842156486306688,0.07079983266506318,False,True,False,False,,,,,
A0_vs_G1,14021,198.37612980196718,152.71183727803873,1.2990226123780344,2000.0,1742.0,0.22697247701241174,0.2850914608406949,False,False,False,False,,,,,
A0_vs_G1,14022,192.31185981200542,163.37390517402673,1.1771271526328138,2000.0,1744.0,0.06966924543342579,0.06995332189226566,True,True,False,True,,,,,
A0_vs_G1,14023,203.91862763901008,174.52491531701526,1.1684212954270896,2000.0,1732.0,0.15264308993950593,0.2492266989851677,False,False,False,False,,,,,
A0_vs_G1,14024,257.1682357119862,226.68496588402195,1.1344741576005544,2000.0,1730.0,0.05214780559430565,-0.007052547392348174,True,True,False,False,,,,,
A0_vs_G1,14025,187.93322589801392,164.69531788298627,1.1410963487835024,2000.0,1730.0,0.059786954108515644,0.07161321753624961,True,True,False,False,,,,,
A0_vs_G1,14026,203.53968275297666,183.195602518972,1.111051138533185,2000.0,1730.0,0.19209510133754648,0.15928451609717342,False,False,False,False,,,,,
A0_vs_G1,14027,205.1457970259944,181.28364487999352,1.131628819366453,2000.0,1730.0,0.20983104586505874,0.08330648470148638,False,True,False,False,,,,,
A0_vs_G1,14028,190.2740627049934,171.15450599702308,1.111709338860777,2000.0,1790.0,0.009159863517567146,0.10818152675004811,True,False,True,False,,,,,
A0_vs_G1,14029,200.66627244802658,170.421610675985,1.1774696392791664,2000.0,1730.0,0.14309506077133882,0.06965123987634314,False,True,False,True,,,,,
A0_vs_G1,14030,192.30479992902838,166.95894389302703,1.151808914485233,2000.0,1798.0,0.13250883692281867,0.12741820467102016,False,False,False,False,,,,,
A0_vs_G1,14031,205.12349007697776,155.59469887497835,1.318319271544053,2000.0,1746.0,0.1396159302300246,0.18440526623770914,False,False,False,False,,,,,
A0_vs_G2,14000,252.9613047200255,,1.221864775189715,2000.0,,0.07803457211979925,,True,,True,,207.02888720296323,1580.0,0.1141582179088676,False,False
A0_vs_G2,14001,188.6947987669846,,1.2462837162622946,2000.0,,0.14944127188752443,,False,,False,,151.4059730579611,1580.0,0.13281194759504,False,False
