task_id,config,seed,output_dir,physical_gpu,gpu_slot,workers_per_gpu,start_time_unix,finish_time_unix,elapsed_seconds,model_load_seconds,sampling_seconds,predictor_forward_count,corrector_forward_count,corrector_skipped_count,corrector_calibration_count,corrector_fallback_count,corrector_rescue_count,physical_model_forward_count,corrector_skip_rate,calibration_rate,fallback_rate,rescue_rate,gpu_utilization_mean,gpu_utilization_max,gpu_power_mean,gpu_power_max,peak_gpu_memory_bytes,cpu_utilization,composition_valid,basic_structure_valid,rng_state_hash,initial_atomic_numbers_hash,initial_pos_hash,initial_cell_hash,initial_state_hash,final_structure_hash,extxyz_sha256
A0_seed_14010,A0,14010,/data/dxl/results/budget_aware_gating/development/generation/A0/14010,2,1,4,1784886673.8261251,1784886880.312909,205.49323941703187,2.207298530265689e-05,206.48676206200616,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,85.6470588235294,91,133.18078431372547,141.66,589299712,97.74377082468263,True,True,59a51f150c68554ba8dba81ee9870f3564f32f6ee17076c9274c148ac31ab8d9,7981046bc6b3af77d05fc4d8201cf2204670bf96d1007bc31ce6d6db5b0ff9c1,fb5e2076fde353b2f02cd1a263fb719177f86d90c625569bd428dd9d08b123ee,cae7365a68070b2c2c008c1c5462a3824f4221b326b24e8b839b38806c65e03f,c49c6c9f2e7a6af3d128b5f333bdbf5651703c68da11ee3cda35dcf216c036c1,64e1e867172bb2b068485c36e3964e5d3ee7fea6310ff37522ea9dbd1db04f21,907e235d63b3d85bf8981c0f61e1b5bc22c364a452d6c633b88582f0d5c6527c
A0_seed_14011,A0,14011,/data/dxl/results/budget_aware_gating/development/generation/A0/14011,3,1,4,1784886673.7417963,1784886880.0024323,205.9490268480149,2.490699989721179e-05,206.26061052497244,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,87.36,91,131.2052,138.35,551550976,97.81333039104948,True,True,e375cf84afb248894856c8a06fb7bdbb7c8880335e26c34fc4c21715ace3ef33,8ba2d47dfbceefc5fca1108e069ae02e1d2b0c48e961933c36c82de166d7efc6,58de3b0871875f4ddc796c7092f83cd48deee9c5f74a9c4f0e6e7b1e1d62290e,e8af86c793ae1d68e15feae5ad603d396df22e5fa08cc4d83985930ffaadbcb3,86ca31502867957e4a8e58951a79035107a9f08c09a94ada98c1bcb5db6d648a,a0ef2a0313d85ac969ad2e8daf18dc3306ac2da762e66d56e1f55bb9a4818d9d,2cddee0706b91b425b71dfebfd0f4fc96d4a309c2752d217035b5e0562e24363
A0_seed_14012,A0,14012,/data/dxl/results/budget_aware_gating/development/generation/A0/14012,4,1,4,1784886673.670517,1784886863.9730873,189.50910791096976,2.483802381902933e-05,190.3025455889874,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,86.75,92,120.45727272727272,126.47,551550976,97.54986698942665,True,True,7c34c61ec83ebebf950440afb73fc22ebd60cc2623a3fc041e25616adf4fba4f,be5a7f6dd478753b2a6278d5088493dbf753bcec38573252b4deaf4701c8fc39,33e2ecdde74a9fa2590ff980744362225b2283a057f4f4ab18f1a07c90e48c5c,bee178df54af23e4d711d419b7f32565200b163773d0092db5cb52c0830bf859,09002c31c674fe8a020f64c321df0178042675ef44570bcf87edd8b89df1a197,6b6da99ecff79688e065a9a98e5a78775b1ad5d72f5273184c15eef6666bf191,f4483c39d5473e4398a518db46ba00c6a5a027e40e4709fda72ac87d51d666a5
A0_seed_14013,A0,14013,/data/dxl/results/budget_aware_gating/development/generation/A0/14013,5,1,4,1784886673.5559132,1784886870.286805,196.0199486229685,2.1852960344403982e-05,196.73086971405428,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,87.23913043478261,92,121.41565217391305,130.27,593494016,97.61520495347138,True,True,4cb9e3dfd9ab38e0131d0a00270e599857470fbb36e215c2ddc66391ce0c273e,f8c31ab8b1b12a6a00bd5df0d8470ad61994a7325b80508c6e1ee17947fa911b,e654c2e681b2b013970ad01d4bc3bcd50b90455eba4efeacbec7555c39e27ec0,c81d6bdbb8722fae82e37a4a6b3abfc60aa8174b9472e636d30070b40c3f778e,a7f679ee564d96c7e19debe6cf6e2829666ca6e1cbb6891f1b7a0d422fcd4037,db8fae91f0113caaa3d7f5b977305c10d13212ce819addd7c94fcebe0cd8e2a1,84be233f1e32458b15de08cf9b8a0bf4f115e9ee5922e00827eaecbab1aaded7
A0_seed_14014,A0,14014,/data/dxl/results/budget_aware_gating/development/generation/A0/14014,6,1,4,1784886673.4487424,1784886864.6327977,190.87221524800407,2.3795990273356438e-05,191.18403036298696,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,86.93181818181819,92,111.33886363636363,117.57,551550976,97.77138058020807,True,True,bec014bc32c6b60e343c9b7ef62a481721d3b333ffa4f6b8fc75a9e532c271f8,7c0f3c0de6f9593cb69375415525ac4e9f79587073810bc408d46c083409a9eb,c3d3d8d5e244bcd14caa1a4f72b3afab45ce42759037afc5595c6fc4a5a55583,75d772776cb0ab3c8d4d553f838c971675812b263e0aa0d5b55fec327bfd8fd4,0ff27fd7a96d72002439514124aa42a4800c391673caa1b40e16e19c76c64ff4,cf94de414235e2a2caaed4c6634a5142a5576f90e6ac85fb39ba4fb5cd25aad9,f2f981d79d64a6b273ef58d1692b968d42da197690e7635b4b9572bb18824782
A0_seed_14015,A0,14015,/data/dxl/results/budget_aware_gating/development/generation/A0/14015,7,1,4,1784886673.6379614,1784886880.246218,206.2865232040058,2.647005021572113e-05,206.60822978091892,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,86.3529411764706,92,130.80470588235295,139.6,593494016,97.81308468195746,True,True,c4de0c04c2ce55767cc60f6641b0cbe2a4bf3b607e1959bdbb48d5177c95876d,f8c31ab8b1b12a6a00bd5df0d8470ad61994a7325b80508c6e1ee17947fa911b,80748f0fa1914d86863ba77b0121b2aab42c144fabc29dcc545acd2654ce1969,3ff810b0a51f02a9a8c7004b306df0a9493d32bb2fc119a94f23748cf81241bf,11daf688e3638919408d4c683bb212ce275a16a62970e1c2090acdaa9d15805f,10650e535ace4f9220c022e5165ecc35b9dd1570109e6fe673482431790988f7,1612002555794897128b6bfcefe7bcfbe79d346482c4a2f4b921c03cd727a590
A0_seed_14016,A0,14016,/data/dxl/results/budget_aware_gating/development/generation/A0/14016,0,2,4,1784886674.0685813,1784886929.876854,255.49500952399103,2.6559981051832438e-05,255.80824549199315,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,90.12087912087912,93,163.24967032967035,168.71,721420288,98.23943659119938,True,True,0b073438f33981811d8a68bc32261b7c90f8081f41dc5d700a032d2a1b2883ed,a6e265b21ff0808f721d6dc405155023d5c15521580308c6a248a07db58b7c07,2e2e0022f97adef49925200a54122d90a6f8107c961651c93291f242edbc9e4e,4f64d53ad7aaa4f6604620b2a2738d1ecdc2d273a61a479981115e7a7fb42514,43a6a558c6635712a157539be9b2185d20b5152961dbc1614fd9af180cc61192,8dc5a124cee36a581b7ec9d4653ef194e8f51ce925068ca8942297869f417834,23ee4a933c114558ad3c198ca067cfcbdd75c9cf15de04d680a91bb538e7befb
A0_seed_14017,A0,14017,/data/dxl/results/budget_aware_gating/development/generation/A0/14017,1,2,4,1784886673.7733138,1784886865.2714689,188.25468729698332,2.3824977688491344e-05,191.4981313800672,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,84.9090909090909,92,128.91704545454547,136.68,551550976,97.595875640619,True,True,44c4eef37e3a81a0bdbe3f0b0c6709805ed818312352d2d5db100a064a7e3847,7c0f3c0de6f9593cb69375415525ac4e9f79587073810bc408d46c083409a9eb,1afcda8b340a1afe641ccb249ff71816efb8dc7ebafeb8b04d6697b25885e01d,11b5b71029c2c91b7fb656b2cfaa7b590eb200a05a020900c28d564ccd0d361e,5b37fc102b81311fd6279911017d3c60beb0d89001b81ec2246d825deb3575b4,8da8916d128164addc87a598aa55e00e17edb3c5dec740309e12545478b324a7,eb3f4348ff7080b7b5ad24f0020ad60f84bda5b9cc9e7f58acbf2b535e2db670
A0_seed_14018,A0,14018,/data/dxl/results/budget_aware_gating/development/generation/A0/14018,2,2,4,1784886673.9512374,1784886879.6509008,205.11396743997466,2.7842004783451557e-05,205.69963529199595,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,87.38,92,133.784,142.14,589299712,97.89141648862098,True,True,7ea650e505c7a39edff8f2ec7ec81e2fbc1492f131e3e8b46e0c8b87545f21b8,7981046bc6b3af77d05fc4d8201cf2204670bf96d1007bc31ce6d6db5b0ff9c1,126dd5f98781f565e60536ff0880c9e13a5a21652e2b9fc58bf853791f05af10,d3a8eadcd980eecae5f8aac0a7ae3c27f23a186dfff613902efb16554ca8eef3,03b9326768519922dfb43891a249c57105b8a047ac4e91e6ef85a69be4945ab0,1987e9821577beae398cc566e1c7616c1d4065a57016d8a88100ec275b425fa5,a103685913442ff62a23822402701ee028bd29fc14eaadeacae6d5be5a36d415
A0_seed_14019,A0,14019,/data/dxl/results/budget_aware_gating/development/generation/A0/14019,3,2,4,1784886674.0913725,1784886880.5350432,206.13041038397932,2.920400584116578e-05,206.44364088302245,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,87.36,91,131.9582,138.86,566231040,97.81836913020145,True,True,84c92bbcf4f12ab5af467ec7a99a20d8543faf71c6a42de6c2dd3204e8e51e2d,9b7553cb6795635870fd4f2ed15dc2bea66777572b8c01d0796f038a562df413,ef0cd5fb7e201785e50411109406d1abc6718f6bb6c8ee3a6bd817f240c709e4,5614215b95e87920c6160259768b25802ffa3b945848f5e57efbc4d0dd650368,23063414a50ed4892fb92b83673c4fbeda59a5e87319708e4c18c2d176cc8d9c,b87a1ac4ec91e410a7e4bcaafed677fcbf0c06e9d30596a9d3a926d9a0121517,3b6f33c0ad6f41e453a60d0dc9319e11630520613419af8491486ed92727fb0a
