task_id,config,seed,status,attempt,real_failure_count,input_path,input_hash,output_path,output_hash,physical_gpu,gpu_slot,worker_pid,worker_pgid,checkpoint,checkpoint_sha256,relax_config_hash,start_time,finish_time,elapsed,steps,energy,energy_per_atom,maximum_force,converged,return_code,failure_reason
A0_seed_14000,A0,14000,success,1,0,/data/dxl/results/budget_aware_gating/development/generation/A0/14000/generated_crystals.extxyz,6f65588ef540d3e612f3640b5ab7d74da22b05640dafecc523da850dc7901a94,/data/dxl/results/budget_aware_gating/development/relaxed/A0/14000/relaxed_structure.extxyz,0f5a06610134db5b46996ba081e8e64ddecac0a3933d525ffc4c216e87295a89,0,0,2885518,2885518,/data/dxl/mattersim_weights/mattersim-v1.0.0-5M.pth,e3df9fa708725e3d453140646c7d1838324b347a3d1214cf1440522146f872b5,7f03d6f264731b26559d01cd047ccf8b1684febd703579905a09011620723f15,2026-07-24T18:03:19+08:00,2026-07-24T18:03:33+08:00,13.704564939020202,500,-176.52464294433594,-8.826232147216796,0.099846251308918,False,0,
A0_seed_14001,A0,14001,success,1,0,/data/dxl/results/budget_aware_gating/development/generation/A0/14001/generated_crystals.extxyz,8570c233a67dc03f29b481c675fc3546db565351cace6183a271ee1a1c02ad2b,/data/dxl/results/budget_aware_gating/development/relaxed/A0/14001/relaxed_structure.extxyz,24f9afd65f2ef7e35fbda006e795609ae84a3aa1e45628fd2ea1322f24667fd9,1,0,2885520,2885520,/data/dxl/mattersim_weights/mattersim-v1.0.0-5M.pth,e3df9fa708725e3d453140646c7d1838324b347a3d1214cf1440522146f872b5,7f03d6f264731b26559d01cd047ccf8b1684febd703579905a09011620723f15,2026-07-24T18:03:20+08:00,2026-07-24T18:03:21+08:00,1.19930697302334,26,-54.182308197021484,-6.7727885246276855,0.048718392848968506,True,0,
A0_seed_14002,A0,14002,success,1,0,/data/dxl/results/budget_aware_gating/development/generation/A0/14002/generated_crystals.extxyz,a8587bab53cb94b564c5e91b91b8d08460725d671b48b33887960193423e6a77,/data/dxl/results/budget_aware_gating/development/relaxed/A0/14002/relaxed_structure.extxyz,62090604af6b9102cdb468578639faab133fe781f359c6d30982dad37dd9d82c,4,1,2885527,2885527,/data/dxl/mattersim_weights/mattersim-v1.0.0-5M.pth,e3df9fa708725e3d453140646c7d1838324b347a3d1214cf1440522146f872b5,7f03d6f264731b26559d01cd047ccf8b1684febd703579905a09011620723f15,2026-07-24T18:03:20+08:00,2026-07-24T18:03:21+08:00,1.7154722639825195,30,-53.05512237548828,-6.631890296936035,0.04836146533489227,True,0,
A0_seed_14003,A0,14003,success,1,0,/data/dxl/results/budget_aware_gating/development/generation/A0/14003/generated_crystals.extxyz,0aa14c925abd7a31b9e692dbb2ef31d458070ca2d1ee0818da5694ab7d4c495d,/data/dxl/results/budget_aware_gating/development/relaxed/A0/14003/relaxed_structure.extxyz,7cbc39da553c2c4cff82e3ad34f59f96fd183f41ec4fbfdde6d119a472990958,5,1,2885529,2885529,/data/dxl/mattersim_weights/mattersim-v1.0.0-5M.pth,e3df9fa708725e3d453140646c7d1838324b347a3d1214cf1440522146f872b5,7f03d6f264731b26559d01cd047ccf8b1684febd703579905a09011620723f15,2026-07-24T18:03:20+08:00,2026-07-24T18:03:21+08:00,1.212138373986818,26,-90.70349884033203,-9.070349884033202,0.036669887602329254,True,0,
A0_seed_14004,A0,14004,success,1,0,/data/dxl/results/budget_aware_gating/development/generation/A0/14004/generated_crystals.extxyz,9e6823b5ede63c84ae48b0dcb2673a078cd7e6aa9a0deda4ecda538d83fd2f20,/data/dxl/results/budget_aware_gating/development/relaxed/A0/14004/relaxed_structure.extxyz,72b0e90feeba49327ce66416fef976321e12514969c85ab159106b8f99b53f8f,2,0,2885522,2885522,/data/dxl/mattersim_weights/mattersim-v1.0.0-5M.pth,e3df9fa708725e3d453140646c7d1838324b347a3d1214cf1440522146f872b5,7f03d6f264731b26559d01cd047ccf8b1684febd703579905a09011620723f15,2026-07-24T18:03:20+08:00,2026-07-24T18:03:20+08:00,0.6387597020366229,3,-47.895877838134766,-9.579175567626953,0.008952762931585312,True,0,
A0_seed_14005,A0,14005,success,1,0,/data/dxl/results/budget_aware_gating/development/generation/A0/14005/generated_crystals.extxyz,7f6ddd20086f9e23707d7473422784eff50e5a7a6099678085dbf08e16bd2482,/data/dxl/results/budget_aware_gating/development/relaxed/A0/14005/relaxed_structure.extxyz,ee12eb46f7b055c54ad3034f6d2a96b9bc7437b50497abfb583b4074d82bdbc4,3,1,2885525,2885525,/data/dxl/mattersim_weights/mattersim-v1.0.0-5M.pth,e3df9fa708725e3d453140646c7d1838324b347a3d1214cf1440522146f872b5,7f03d6f264731b26559d01cd047ccf8b1684febd703579905a09011620723f15,2026-07-24T18:03:20+08:00,2026-07-24T18:03:21+08:00,0.8341004690155387,5,-29.323686599731445,-7.330921649932861,0.007941611111164093,True,0,
A0_seed_14006,A0,14006,success,1,0,/data/dxl/results/budget_aware_gating/development/generation/A0/14006/generated_crystals.extxyz,870b7cdb92ae7511d240daa8ed33d23cc0abe8d7afb32ab1a25984a3ba711b4d,/data/dxl/results/budget_aware_gating/development/relaxed/A0/14006/relaxed_structure.extxyz,5c4b2c5c80601dae585d8456936de7f85c2d8947c8c2d3f0cb24fbc9a365f2aa,2,0,2885522,2885522,/data/dxl/mattersim_weights/mattersim-v1.0.0-5M.pth,e3df9fa708725e3d453140646c7d1838324b347a3d1214cf1440522146f872b5,7f03d6f264731b26559d01cd047ccf8b1684febd703579905a09011620723f15,2026-07-24T18:03:20+08:00,2026-07-24T18:03:22+08:00,1.055544873001054,23,-45.49583435058594,-7.582639058430989,0.04960983619093895,True,0,
A0_seed_14007,A0,14007,success,1,0,/data/dxl/results/budget_aware_gating/development/generation/A0/14007/generated_crystals.extxyz,cd813515367caeb78a2d7855690b5ffc742becdb22106e897032595210ca6693,/data/dxl/results/budget_aware_gating/development/relaxed/A0/14007/relaxed_structure.extxyz,a27611e24055cba2d8076b03eb79875c188e7215187b75cca0d45f7245e847ec,3,0,2885524,2885524,/data/dxl/mattersim_weights/mattersim-v1.0.0-5M.pth,e3df9fa708725e3d453140646c7d1838324b347a3d1214cf1440522146f872b5,7f03d6f264731b26559d01cd047ccf8b1684febd703579905a09011620723f15,2026-07-24T18:03:21+08:00,2026-07-24T18:03:22+08:00,1.287424732989166,21,-86.57189178466797,-9.61909908718533,0.040603891015052795,True,0,
A0_seed_14008,A0,14008,success,1,0,/data/dxl/results/budget_aware_gating/development/generation/A0/14008/generated_crystals.extxyz,dacde25bb3f281afa23d92700aa677bbb1d37c800c831e87208dbd9503dca2b0,/data/dxl/results/budget_aware_gating/development/relaxed/A0/14008/relaxed_structure.extxyz,80e71d33c8ec139cf51ea4371f58d3d2059acca9bf98d9e2172bcb762793dd7d,1,0,2885520,2885520,/data/dxl/mattersim_weights/mattersim-v1.0.0-5M.pth,e3df9fa708725e3d453140646c7d1838324b347a3d1214cf1440522146f872b5,7f03d6f264731b26559d01cd047ccf8b1684febd703579905a09011620723f15,2026-07-24T18:03:21+08:00,2026-07-24T18:03:24+08:00,2.9116870560101233,88,-151.508544921875,-8.41714138454861,0.04882944002747536,True,0,
A0_seed_14009,A0,14009,success,1,0,/data/dxl/results/budget_aware_gating/development/generation/A0/14009/generated_crystals.extxyz,cb817025e734805aec514662c21978b5c5bfaf3959a7b56286531fcb58440f0a,/data/dxl/results/budget_aware_gating/development/relaxed/A0/14009/relaxed_structure.extxyz,fb3dd834442ffafd033f1dd55d8248ee579d313d9d7e38d748325716d7fbd5f6,6,0,2885530,2885530,/data/dxl/mattersim_weights/mattersim-v1.0.0-5M.pth,e3df9fa708725e3d453140646c7d1838324b347a3d1214cf1440522146f872b5,7f03d6f264731b26559d01cd047ccf8b1684febd703579905a09011620723f15,2026-07-24T18:03:21+08:00,2026-07-24T18:03:26+08:00,5.328788117971271,143,-71.94393920898438,-8.992992401123047,0.0507243312895298,True,0,
