method,n,generation_success_count,generation_success_rate,mattersim_success_count,mattersim_success_rate,dft_verified,e_hull_mean_ev_per_atom,e_hull_median_ev_per_atom,e_hull_p95_ev_per_atom,e_hull_max_ev_per_atom,stable,nus,novel,unique,rmsd_mean_a,rmsd_median_a,rmsd_p95_a,rmsd_max_a,atomic_force_mean_ev_per_a,structure_max_force_mean_ev_per_a,structure_max_force_median_ev_per_a,structure_max_force_p95_ev_per_a,structure_max_force_max_ev_per_a,relaxation_steps_mean,relaxation_steps_median,relaxation_steps_p95,relaxation_steps_max,relaxation_steps_gt100_count,relaxation_steps_gt100_rate,relaxation_steps_gt200_count,relaxation_steps_gt200_rate,relaxation_steps_gt400_count,relaxation_steps_gt400_rate,generation_seconds_mean
C0,8,8,1.0,8,1.0,False,0.07795416372860797,0.05399809920192222,0.17067760718972164,0.1886640427565105,0.625,0.25,0.625,1.0,0.028621574195810046,0.01710836913626556,0.08548105836980319,0.11089086539653342,0.17218507868846772,0.34824315008960155,0.23883558242505237,0.9005157947565621,0.9022339826900637,42.0,33.5,103.09999999999997,122,1,0.125,0,0.0,0,0.0,116.07849337649532
TCL,8,8,1.0,8,1.0,False,0.09939296608876869,0.09736285262684508,0.1772535112260036,0.1943341234610223,0.5,0.375,0.875,1.0,0.1488175611751993,0.03934351706167845,0.49784778749337777,0.6172067501345477,0.1909568491141544,0.3270728939304877,0.2181818404416605,0.8400879258618833,1.0595414583064704,70.0,41.5,175.79999999999995,208,2,0.25,1,0.125,0,0.0,117.38018599912175
GBSA-TCL,8,8,1.0,8,1.0,False,0.0692781802481155,0.04828794730687225,0.1782228212258423,0.22698256470825218,0.875,0.75,0.875,1.0,0.03429665019330397,0.00782563379564194,0.1172699169128598,0.13842761271187487,0.06013737501587117,0.09832524594798922,0.057468574851766166,0.2862974607760037,0.3543949483168637,21.625,23.0,35.449999999999996,40,0,0.0,0,0.0,0,0.0,115.48493211707682
