comparison,source_method,seed,field,sampling_progress,forward_diffusion_t,stage,rms_diff,relative_l2_diff,cosine_to_c0,c0_rms,candidate_rms
TCL_vs_C0,C0,84000,atomic_numbers,0.05,0.95,early_0_30,2.4852278440675293,0.18780441418739188,0.9835089843303637,13.233064061996759,12.345236475738595
TCL_vs_C0,C0,84000,pos,0.05,0.95,early_0_30,0.009616024640048071,0.641185717069015,0.7676419211895099,0.014997253344950973,0.011215119527023872
TCL_vs_C0,C0,84000,cell,0.05,0.95,early_0_30,0.05389778053533014,0.07307280423008727,0.9982531984425694,0.7375901486635168,0.7680188125920743
TCL_vs_C0,C0,84001,atomic_numbers,0.05,0.95,early_0_30,2.640444237012646,0.228373964018766,0.9736709273663292,11.561931975729392,11.098254934946091
TCL_vs_C0,C0,84001,pos,0.05,0.95,early_0_30,0.0053942906424949925,0.3567059968588224,0.935694290090843,0.01512251178841255,0.013355148422890087
TCL_vs_C0,C0,84001,cell,0.05,0.95,early_0_30,0.06092461848691462,0.21160140915440775,0.9775119650366915,0.2879216104012676,0.286473489720626
TCL_vs_C0,C0,84002,atomic_numbers,0.05,0.95,early_0_30,4.141762490794209,0.3475967940747347,0.937709704173678,11.915422010203336,11.041047385378935
TCL_vs_C0,C0,84002,pos,0.05,0.95,early_0_30,0.00386869428814535,0.6044920076023818,0.8028239312743172,0.006399909741552895,0.00577596776117363
TCL_vs_C0,C0,84002,cell,0.05,0.95,early_0_30,0.043822441171046014,0.05579110663811527,0.9986598659766246,0.7854735962721964,0.8007877740217613
TCL_vs_C0,C0,84003,atomic_numbers,0.05,0.95,early_0_30,2.069565108090857,0.1900257843394569,0.9822048926201022,10.890969955918406,11.012108871400804
TCL_vs_C0,C0,84003,pos,0.05,0.95,early_0_30,0.00441658600657803,0.35619279483048455,0.9446229945328377,0.012399425453510153,0.009995298201032872
TCL_vs_C0,C0,84003,cell,0.05,0.95,early_0_30,0.04042560977632321,0.04593968991918614,0.9990456922297986,0.8799713243044759,0.8916615081091599
TCL_vs_C0,C0,84004,atomic_numbers,0.05,0.95,early_0_30,3.6356500511868273,0.285271762068103,0.958710338052566,12.74451430043359,12.50483401154998
TCL_vs_C0,C0,84004,pos,0.05,0.95,early_0_30,0.006778883728837866,0.41210981619564546,0.9113914620067424,0.016449216840832667,0.014635483719419879
TCL_vs_C0,C0,84004,cell,0.05,0.95,early_0_30,0.04939766094790904,0.06336214418270024,0.9980328662441877,0.7796084173773286,0.7852354924514617
TCL_vs_C0,C0,84005,atomic_numbers,0.05,0.95,early_0_30,1.0173279724692554,0.09582452436572839,0.9954329179401594,10.616572106181021,10.656294683424
TCL_vs_C0,C0,84005,pos,0.05,0.95,early_0_30,0.01043840765738317,0.3455886973534353,0.9739037792292563,0.03020471368803986,0.02154468678927578
TCL_vs_C0,C0,84005,cell,0.05,0.95,early_0_30,0.14280922824286998,0.10567880344370538,0.9965204740931027,1.3513516768662488,1.258852670851336
TCL_vs_C0,C0,84006,atomic_numbers,0.05,0.95,early_0_30,1.5827925088961001,0.15227437492810594,0.9898013969090022,10.394345796155076,10.847539358672769
TCL_vs_C0,C0,84006,pos,0.05,0.95,early_0_30,0.007345979553599013,0.5694920125205113,0.8422949702126764,0.012899179254659754,0.008494061180661155
TCL_vs_C0,C0,84006,cell,0.05,0.95,early_0_30,0.023324266534074843,0.02878147990505745,0.999612738243644,0.8103914951911949,0.8160328009754824
TCL_vs_C0,C0,84007,atomic_numbers,0.05,0.95,early_0_30,2.681140280572968,0.2006173794795438,0.9808430218348129,13.364446727041184,12.467436909550397
TCL_vs_C0,C0,84007,pos,0.05,0.95,early_0_30,0.004691961068318647,0.42969291225846135,0.9238516784807045,0.010919335493940894,0.007955416703907866
TCL_vs_C0,C0,84007,cell,0.05,0.95,early_0_30,0.04432628315747094,0.032763757537179306,0.9995994767942777,1.3529059695662453,1.3747004832801553
TCL_vs_C0,TCL,84000,atomic_numbers,0.05,0.95,early_0_30,1.9258503956627222,0.1758649089951794,0.9847521092924697,10.95073716903644,11.06619353566896
TCL_vs_C0,TCL,84000,pos,0.05,0.95,early_0_30,0.009468662052856673,0.5843687069737616,0.8146291187367721,0.016203232547977314,0.014357604999625974
TCL_vs_C0,TCL,84000,cell,0.05,0.95,early_0_30,0.042780026221370976,0.051608888838470396,0.9990651894225484,0.8289274809862174,0.8515208507590152
TCL_vs_C0,TCL,84001,atomic_numbers,0.05,0.95,early_0_30,1.5482422348844105,0.14762505271911613,0.9910382121991805,10.487665923684553,11.052808444616858
TCL_vs_C0,TCL,84001,pos,0.05,0.95,early_0_30,0.008003299016262736,0.5056411030705521,0.8843367476301864,0.01582802301407454,0.010923061526439513
TCL_vs_C0,TCL,84001,cell,0.05,0.95,early_0_30,0.05755110543896081,0.10342683031404559,0.9966805586247948,0.5564427070249801,0.5900914619457029
TCL_vs_C0,TCL,84002,atomic_numbers,0.05,0.95,early_0_30,2.285310146229111,0.1789328613450536,0.9838952321868614,12.771886220620623,12.67058169397298
TCL_vs_C0,TCL,84002,pos,0.05,0.95,early_0_30,0.003660804914401091,0.6433226451559821,0.767925753890559,0.005690464873210673,0.004710046740678853
TCL_vs_C0,TCL,84002,cell,0.05,0.95,early_0_30,0.04044975578369371,0.05222837676384716,0.9993407230349886,0.7744785170442693,0.7448895370690403
TCL_vs_C0,TCL,84003,atomic_numbers,0.05,0.95,early_0_30,2.0302482218299036,0.1919187552005431,0.9824373128866016,10.578685859588969,10.867863667053765
TCL_vs_C0,TCL,84003,pos,0.05,0.95,early_0_30,0.005378512780160731,0.48988648949969427,0.8721262500363245,0.010979100047551094,0.009307809875073044
TCL_vs_C0,TCL,84003,cell,0.05,0.95,early_0_30,0.042063431989868824,0.03186702968545431,0.9995087960854012,1.3199671386087377,1.3269404795355182
TCL_vs_C0,TCL,84004,atomic_numbers,0.05,0.95,early_0_30,3.6443752574054504,0.2745703732335552,0.9633689120586277,13.273009809785522,13.568510994748772
TCL_vs_C0,TCL,84004,pos,0.05,0.95,early_0_30,0.00555518688726593,0.3270172130497435,0.9593864471947399,0.016987444897651045,0.013487521025174892
TCL_vs_C0,TCL,84004,cell,0.05,0.95,early_0_30,0.05527476630680695,0.05368875816418461,0.9989628771689814,1.0295407865045452,0.9991842154769086
TCL_vs_C0,TCL,84005,atomic_numbers,0.05,0.95,early_0_30,1.2380941455312051,0.11677640185728087,0.99316794449687,10.602263178517443,10.483257546605781
TCL_vs_C0,TCL,84005,pos,0.05,0.95,early_0_30,0.01097369711869206,0.37927447206401327,0.9663158940382147,0.028933392376695313,0.019898079872233316
TCL_vs_C0,TCL,84005,cell,0.05,0.95,early_0_30,0.14922413964749856,0.15232614267769798,0.9884667987679131,0.9796357803350745,0.9522443799616113
TCL_vs_C0,TCL,84006,atomic_numbers,0.05,0.95,early_0_30,2.096272626163384,0.19253085329010033,0.9813816876508543,10.887982836728904,10.830590475620411
TCL_vs_C0,TCL,84006,pos,0.05,0.95,early_0_30,0.006989257209545004,0.552862488935843,0.8624394179940343,0.012641945057618249,0.008091430657715388
TCL_vs_C0,TCL,84006,cell,0.05,0.95,early_0_30,0.029270364250558976,0.0248970502339049,0.9997287513009471,1.1756559100603203,1.1649912904696702
TCL_vs_C0,TCL,84007,atomic_numbers,0.05,0.95,early_0_30,1.6941732830183038,0.15954634059458558,0.9884906111043348,10.618690950256722,11.034658868266535
TCL_vs_C0,TCL,84007,pos,0.05,0.95,early_0_30,0.006594814313522068,0.6819988436607829,0.7744560098828418,0.00966983210429348,0.00502533755021391
TCL_vs_C0,TCL,84007,cell,0.05,0.95,early_0_30,0.0732919096899589,0.0606767650218859,0.9983201842383806,1.2079073375702012,1.1841071048798153
TCL_vs_C0,GBSA-TCL,84000,atomic_numbers,0.05,0.95,early_0_30,3.823134515973749,0.26851266217250563,0.9649082657726052,14.238190799052827,12.939810728240582
TCL_vs_C0,GBSA-TCL,84000,pos,0.05,0.95,early_0_30,0.005853600450789038,0.3972926628869013,0.920825870401147,0.01473372402161729,0.014685574509767605
TCL_vs_C0,GBSA-TCL,84000,cell,0.05,0.95,early_0_30,0.049453052283508624,0.06771922158623656,0.9977897892628359,0.7302661065076329,0.7381835488066337
TCL_vs_C0,GBSA-TCL,84001,atomic_numbers,0.05,0.95,early_0_30,2.6705414515402044,0.20201672952943037,0.9794254356844726,13.21940741126171,12.825587766267814
TCL_vs_C0,GBSA-TCL,84001,pos,0.05,0.95,early_0_30,0.009583922055215268,0.6134181354847312,0.8124688870634453,0.015623799657703186,0.009713531931510474
TCL_vs_C0,GBSA-TCL,84001,cell,0.05,0.95,early_0_30,0.08675939924496215,0.07016473266478267,0.9988414282731131,1.2365100806335534,1.1719392931130148
TCL_vs_C0,GBSA-TCL,84002,atomic_numbers,0.05,0.95,early_0_30,3.479824303045483,0.19231699812896524,0.988102430535899,18.094210792079632,15.78967975426615
TCL_vs_C0,GBSA-TCL,84002,pos,0.05,0.95,early_0_30,0.003559565948796471,0.6124446605113059,0.8067096022240806,0.005812061363756082,0.005623445716050515
TCL_vs_C0,GBSA-TCL,84002,cell,0.05,0.95,early_0_30,0.03897797123065805,0.04997354957489494,0.9989865811361128,0.7799720364518451,0.762244438458486
TCL_vs_C0,GBSA-TCL,84003,atomic_numbers,0.05,0.95,early_0_30,2.4643957745703116,0.19243018164057024,0.9820411004708044,12.806700869686967,13.061689769433483
TCL_vs_C0,GBSA-TCL,84003,pos,0.05,0.95,early_0_30,0.005964676878983766,0.4341821153326806,0.9267426560032821,0.013737730478404181,0.009741496198120276
TCL_vs_C0,GBSA-TCL,84003,cell,0.05,0.95,early_0_30,0.027757943048019235,0.04537707311719339,0.9989708384207695,0.6117173528651794,0.6102637294068219
TCL_vs_C0,GBSA-TCL,84004,atomic_numbers,0.05,0.95,early_0_30,2.072768213234631,0.18467084744582707,0.9828070731987409,11.224122496338648,10.990576743833847
TCL_vs_C0,GBSA-TCL,84004,pos,0.05,0.95,early_0_30,0.0046299580405162535,0.2919552849612445,0.9564915968187759,0.015858449149604725,0.015337842182327746
TCL_vs_C0,GBSA-TCL,84004,cell,0.05,0.95,early_0_30,0.06167243393863889,0.13002307707441293,0.9972142747391894,0.4743191387736764,0.5235129385599374
TCL_vs_C0,GBSA-TCL,84005,atomic_numbers,0.05,0.95,early_0_30,1.1900612069752328,0.11134751902036251,0.9937832557469998,10.6878107159047,10.641159687021833
TCL_vs_C0,GBSA-TCL,84005,pos,0.05,0.95,early_0_30,0.010328060246583382,0.36560191291271465,0.944443248887394,0.028249469933843446,0.022156769434258212
TCL_vs_C0,GBSA-TCL,84005,cell,0.05,0.95,early_0_30,0.1336622828271371,0.14513036174817429,0.9894161750999605,0.9209808424446965,0.9137027822989627
TCL_vs_C0,GBSA-TCL,84006,atomic_numbers,0.05,0.95,early_0_30,2.1182275643512907,0.19366547917380522,0.9812673038444791,10.937558791519502,10.949177081987772
TCL_vs_C0,GBSA-TCL,84006,pos,0.05,0.95,early_0_30,0.007025171992896925,0.5061806289045208,0.8632156405234993,0.01387878474942995,0.01146854639211588
TCL_vs_C0,GBSA-TCL,84006,cell,0.05,0.95,early_0_30,0.04297411843864516,0.054827492008855505,0.9985346683920264,0.7838060225644494,0.7757556370292343
TCL_vs_C0,GBSA-TCL,84007,atomic_numbers,0.05,0.95,early_0_30,1.921513496533093,0.17917111112260894,0.9839451748446942,10.724460458461841,10.721983351581306
TCL_vs_C0,GBSA-TCL,84007,pos,0.05,0.95,early_0_30,0.0076351983314501635,0.5653577429114071,0.8599120581728952,0.013505074313002942,0.008330633950862766
TCL_vs_C0,GBSA-TCL,84007,cell,0.05,0.95,early_0_30,0.027854833135307164,0.029135888045631293,0.999578353941503,0.9560317190841138,0.9579281894577397
TCL_vs_C0,C0,84000,atomic_numbers,0.15,0.85,early_0_30,2.3577032858765867,0.1944987174917739,0.9817938152543539,12.12194772428925,11.394322961452959
TCL_vs_C0,C0,84000,pos,0.15,0.85,early_0_30,0.003693584019804728,3.351954350433587,0.2707125745020914,0.0011019195471223973,0.0038362861212790636
TCL_vs_C0,C0,84000,cell,0.15,0.85,early_0_30,0.0713658807235535,0.07232068442453528,0.9976333073467756,0.9867976401415547,0.9623416914157529
TCL_vs_C0,C0,84001,atomic_numbers,0.15,0.85,early_0_30,2.4237832084405,0.23162651783125873,0.9731353313105748,10.464187050492379,9.917680357243759
TCL_vs_C0,C0,84001,pos,0.15,0.85,early_0_30,0.003955103415592,2.8428529901578865,-0.20296710751034913,0.001391244439752877,0.003430710619373628
TCL_vs_C0,C0,84001,cell,0.15,0.85,early_0_30,0.030337663568888232,0.03185285015033171,0.9996129049349692,0.9524316796050447,0.9668353261957556
TCL_vs_C0,C0,84002,atomic_numbers,0.15,0.85,early_0_30,2.850903393875766,0.23896638785630506,0.9737861816308158,11.930143897852556,10.743615850359635
TCL_vs_C0,C0,84002,pos,0.15,0.85,early_0_30,0.004049282599942567,3.0034334664404208,-0.09728024722255105,0.0013482178464041877,0.003689342363184923
TCL_vs_C0,C0,84002,cell,0.15,0.85,early_0_30,0.02401330309288483,0.026381944351150228,0.9996687118712588,0.9102173355102947,0.9151872372014864
TCL_vs_C0,C0,84003,atomic_numbers,0.15,0.85,early_0_30,2.567581489674648,0.21231353099998734,0.9772137935009017,12.093348349403133,11.758747424288787
TCL_vs_C0,C0,84003,pos,0.15,0.85,early_0_30,0.005499850088391794,4.110518010471515,0.331002410925861,0.0013379944022580523,0.005795847158517691
TCL_vs_C0,C0,84003,cell,0.15,0.85,early_0_30,0.03243819828819392,0.04179284584730981,0.9996518105852596,0.7761662942673706,0.8010513068328029
TCL_vs_C0,C0,84004,atomic_numbers,0.15,0.85,early_0_30,3.500442258306602,0.26487400549367385,0.97132852146044,13.21549939104993,11.293298649486827
TCL_vs_C0,C0,84004,pos,0.15,0.85,early_0_30,0.004777251361056349,2.3179106837020713,0.20675409521724872,0.0020610161533171417,0.004756934567827545
TCL_vs_C0,C0,84004,cell,0.15,0.85,early_0_30,0.07065167435172957,0.05982146555259832,0.9986204661566703,1.1810421844247319,1.1455632476646531
TCL_vs_C0,C0,84005,atomic_numbers,0.15,0.85,early_0_30,2.812444945322683,0.21703096475606506,0.9778586925914049,12.9587266429183,11.926247242616032
TCL_vs_C0,C0,84005,pos,0.15,0.85,early_0_30,0.004814713506482661,0.9432897318010461,0.5927255731188087,0.0051041724977646166,0.005531720411509754
