method,seed,formula,e_hull_ev_per_atom,stable,nus,rmsd_a,atomic_force_mean_ev_per_a,structure_max_force_ev_per_a,relaxation_steps,outlier_flags,dft_verified
TCL,84002,Mn12PC3,0.14553237421811183,0.0,0.0,0.04355918471433696,0.6339612183128351,1.0595414583064704,54,max_force_gt_1,False
TCL,84003,LaGd4DyCo3I,0.14345887726559425,0.0,0.0,0.6172067501345477,0.09159288921218475,0.16527356353727568,208,rmsd_gt_0.5;steps_gt_200,False
