comparison,field,stage,n,rms_diff_mean,relative_l2_diff_mean,relative_l2_diff_median,cosine_to_c0_mean,c0_rms_mean,candidate_rms_mean
GBSA-TCL_vs_C0,atomic_numbers,early_0_30,72,1.3674426083035427,0.11392067942030056,0.1099825810135883,0.9949831712068696,12.206842906950733,11.507117012731333
GBSA-TCL_vs_C0,atomic_numbers,late_70_100,72,0.6113072481930741,0.054813347628269025,0.05353640771475098,0.9985499315231474,11.196688630299503,11.221874609021082
GBSA-TCL_vs_C0,atomic_numbers,mid_30_70,96,0.8984198923787554,0.07571459603328225,0.06844214430641185,0.997206148047488,12.00886861697638,11.929743894449503
GBSA-TCL_vs_C0,cell,early_0_30,72,0.010427146668844024,0.01237021532938314,0.009709901230989311,0.9998935046874274,0.9066957281584241,0.905941970006107
GBSA-TCL_vs_C0,cell,late_70_100,72,0.032494203354435314,0.03803898367358147,0.025160002106429713,0.9990104645680281,0.929895212240369,0.9412302326761282
GBSA-TCL_vs_C0,cell,mid_30_70,96,0.03147147331020599,0.03456477311815522,0.026277976264275776,0.9987617178368655,0.9678358592249228,0.9721392236874021
GBSA-TCL_vs_C0,pos,early_0_30,72,0.0012992214188435641,0.4823588722104357,0.34828314543269856,0.8786364716319647,0.006390217456681105,0.0069927726717378584
GBSA-TCL_vs_C0,pos,late_70_100,72,0.047698978239747135,0.05290816915951705,0.04684462247416757,0.9987023022866465,0.893887486692037,0.9133531237644463
GBSA-TCL_vs_C0,pos,mid_30_70,96,0.061564658966637494,0.2161989814675329,0.1558099750589596,0.9889013097680398,0.5471610147797538,0.5860464113597843
TCL_vs_C0,atomic_numbers,early_0_30,72,2.7039014335342366,0.21801893851290882,0.21318577150433465,0.9762786846851205,12.206842906950733,11.631169955176244
TCL_vs_C0,atomic_numbers,late_70_100,72,1.5922228942658507,0.1438119299534527,0.13840781663353718,0.9916191726007165,11.196688630299503,11.606803714278692
TCL_vs_C0,atomic_numbers,mid_30_70,96,2.2559048406691597,0.18796968791064686,0.17877970944763144,0.9836059792433316,12.00886861697638,11.828342525892964
TCL_vs_C0,cell,early_0_30,72,0.05785553173991553,0.07107809768499343,0.055779027459516656,0.9970359639325217,0.9066957281584241,0.9007546440966515
TCL_vs_C0,cell,late_70_100,72,0.09962893270717725,0.11644539450720849,0.07726213478363785,0.9890838170046545,0.929895212240369,0.926385663664284
TCL_vs_C0,cell,mid_30_70,96,0.07762291419818222,0.08433146037257677,0.0705157590812732,0.9959966841552755,0.9678358592249228,0.9553387243947963
TCL_vs_C0,pos,early_0_30,72,0.005467854167778567,2.0144811296087517,2.060700396596668,0.48148264050978923,0.006390217456681105,0.00712427365932881
TCL_vs_C0,pos,late_70_100,72,0.18608243862362636,0.20596324428333648,0.16668452866259592,0.9701081093151872,0.893887486692037,0.8710164119026289
TCL_vs_C0,pos,mid_30_70,96,0.1455329667651347,0.4851595137543722,0.35406163992957945,0.9255705961980413,0.5471610147797538,0.5617378079313106
