study,method,n,historical_verdict,comparator,source,retrospective_category,e_hull,delta_e_hull,e_hull_source_column,nus,delta_nus,nus_source_column,stable,delta_stable,stable_source_column,novel,delta_novel,novel_source_column,unique,delta_unique,unique_source_column,rmsd,delta_rmsd,rmsd_source_column,atomic_force,delta_atomic_force,atomic_force_source_column,max_force,delta_max_force,max_force_source_column,steps,delta_steps,steps_source_column,tail_status,speed_cost_note,relaxation_steps_gt400_count,structure_max_force_gt1_count,structure_max_force_gt2_count,attempts,speedup,post_relax_max_force,delta_post_relax_max_force
global_transformer_adapter_p0,Transformer,8,FAIL,C0,experiments/global_transformer_adapter_p0/quality_results.csv,B-like exploratory; RMSD/relaxation risk; MLP unresolved,0.0727875803309391,-0.0625112783131341,e_hull_mean_ev_per_atom,0.625,50.0,nus,0.75,25.0,stable,0.875,25.0,novel,1.0,0.0,unique,0.1186752227950157,0.0816827789021971,rmsd_mean_a,0.1754778459215213,0.002840687668383385,structure_force_mean_ev_per_a,0.3133830392247932,-0.33839538820547316,structure_max_force_mean_ev_per_a,166.75,104.375,relaxation_steps_mean,Not recovered from summary; not assumed safe,No controlled end-to-end speed claim,,,,,,,
tcl_dml_p0,FT0,8,CONTROL; study verdict: TCL GO / DML FAIL,C0,experiments/tcl_dml_p0/quality_results.csv,Comparator; see within-cohort deltas,0.1099977627727539,0.003884453678235103,e_hull_mean_ev_per_atom,0.125,-25.0,nus,0.625,25.0,stable,0.5,-50.0,novel,1.0,0.0,unique,0.0534391525035742,-0.10378516747566,rmsd_mean_a,0.1860332218850673,-0.05032132867381711,atomic_force_mean_ev_per_a,0.4350599760438701,-0.04461418642211962,structure_max_force_mean_ev_per_a,45.125,-66.875,relaxation_steps_mean,MaxF P95 1.087 -> 0.9611; MaxF maximum 1.361 -> 1.008,No controlled end-to-end speed claim,0.0,,,,,,
tcl_dml_p0,TCL,8,TCL GO / DML FAIL,C0,experiments/tcl_dml_p0/quality_results.csv,TCL neutral vs C0; DML E-like,0.1004624310809334,-0.005650878013585395,e_hull_mean_ev_per_atom,0.375,0.0,nus,0.625,25.0,stable,0.75,-25.0,novel,1.0,0.0,unique,0.0337019009589938,-0.12352241902024039,rmsd_mean_a,0.1023382426401308,-0.1340163079187536,atomic_force_mean_ev_per_a,0.1926510585855113,-0.2870231038804784,structure_max_force_mean_ev_per_a,36.0,-76.0,relaxation_steps_mean,MaxF P95 1.087 -> 0.4126; MaxF maximum 1.361 -> 0.4372,No controlled end-to-end speed claim,0.0,,,,,,
tcl_dml_p0,DML,8,TCL GO / DML FAIL,C0,experiments/tcl_dml_p0/quality_results.csv,TCL neutral vs C0; DML E-like,0.1676297890287227,0.061516479934203894,e_hull_mean_ev_per_atom,0.125,-25.0,nus,0.375,0.0,stable,0.75,-25.0,novel,1.0,0.0,unique,0.0531785210619996,-0.10404579891723459,rmsd_mean_a,0.2239934838857072,-0.012361066673177212,atomic_force_mean_ev_per_a,0.4222684566830647,-0.05740570578292503,structure_max_force_mean_ev_per_a,50.25,-61.75,relaxation_steps_mean,MaxF P95 1.087 -> 0.8515; MaxF maximum 1.361 -> 0.9067,No controlled end-to-end speed claim,0.0,,,,,,
tcl_formal256,FT0,256,CONTROL; study verdict: FAIL,C0,experiments/tcl_formal256/quality_results.csv,E: primary and geometry deterioration vs C0,0.1510189186706043,0.03868721879701109,e_hull_mean_ev_per_atom,0.125,-19.53125,nus_rate,0.34765625,-20.703125,stable_rate,0.75,-0.390625,novel_rate,0.890625,-9.375,unique_rate,0.1156583692373243,0.0663581974912322,rmsd_mean_angstrom,0.3018588199164783,0.1532108574676493,atomic_force_mean_ev_per_angstrom,0.6004462678848372,0.26323418428062195,structure_max_force_mean_ev_per_angstrom,81.88671875,34.8046875,relaxation_steps_mean,MaxF P95 1.049 -> 1.539; MaxF P99 2.2 -> 3.945; MaxF maximum 4.243 -> 8.433; MaxF>1 count 16 -> 30; MaxF>2 count 3 -> 10,No controlled end-to-end speed claim,9.0,30.0,10.0,,,,
tcl_formal256,TCL,256,FAIL,C0,experiments/tcl_formal256/quality_results.csv,D/E: no primary gain plus geometry deterioration,0.114442698965745,0.0021109990921517885,e_hull_mean_ev_per_atom,0.28515625,-3.515625,nus_rate,0.51171875,-4.296875,stable_rate,0.765625,1.171875,novel_rate,0.98828125,0.390625,unique_rate,0.0828815339408856,0.0335813621947935,rmsd_mean_angstrom,0.1824024966147004,0.0337545341658714,atomic_force_mean_ev_per_angstrom,0.3879067744639525,0.05069469085973721,structure_max_force_mean_ev_per_angstrom,62.75,15.66796875,relaxation_steps_mean,MaxF P95 1.049 -> 1.407; MaxF P99 2.2 -> 2.413; MaxF maximum 4.243 -> 5.598; MaxF>1 count 16 -> 24; MaxF>2 count 3 -> 5,No controlled end-to-end speed claim,8.0,24.0,5.0,,,,
tcl_p1,FT0,32,CONTROL; study verdict: CLEAR GO,C0,experiments/tcl_p1/quality_results.csv,Comparator; see within-cohort deltas,0.1444918982795808,0.033498919738285615,e_hull_mean_ev_per_atom,0.09375,-18.75,nus,0.21875,-37.5,stable,0.84375,15.625,novel,0.96875,-3.125,unique,0.117456828489843,0.06710672105967569,rmsd_mean_a,0.2934507832301484,0.1440906739019781,atomic_force_mean_ev_per_a,0.5822106680293992,0.25510976666393453,structure_max_force_mean_ev_per_a,75.09375,27.96875,relaxation_steps_mean,MaxF P95 1.267 -> 1.354; MaxF maximum 1.801 -> 1.81,No controlled end-to-end speed claim,1.0,,,,,,
tcl_p1,TCL,32,CLEAR GO,C0,experiments/tcl_p1/quality_results.csv,D: weak signal vs C0; repair vs FT0,0.1266951980142907,0.015702219472995493,e_hull_mean_ev_per_atom,0.3125,3.125,nus,0.5,-9.375,stable,0.75,6.25,novel,1.0,0.0,unique,0.0910525291586451,0.0407024217284778,rmsd_mean_a,0.2005687068563528,0.05120859752818252,atomic_force_mean_ev_per_a,0.4309892806591548,0.1038883792936901,structure_max_force_mean_ev_per_a,52.9375,5.8125,relaxation_steps_mean,MaxF P95 1.267 -> 1.718; MaxF maximum 1.801 -> 2.379,No controlled end-to-end speed claim,0.0,,,,,,
tcl_p2,FT0,64,CONTROL; study verdict: GO,C0,experiments/tcl_p2/quality_results.csv,Comparator; see within-cohort deltas,0.1466682748923596,0.04248906682001918,e_hull_mean_ev_per_atom,0.09375,-26.5625,nus,0.421875,-20.3125,stable,0.640625,-6.25,novel,0.9375,-6.25,unique,0.0915253816571501,0.046901652964772604,rmsd_mean_a,0.3151589701158857,0.17224404322532869,atomic_force_mean_ev_per_a,0.6998444903397225,0.3942753672114738,structure_max_force_mean_ev_per_a,69.625,25.4375,relaxation_steps_mean,MaxF P95 1.091 -> 1.46; MaxF P99 1.757 -> 7.199; MaxF maximum 2.428 -> 8.321; MaxF>1 count 7 -> 9; MaxF>2 count 1 -> 3,No controlled end-to-end speed claim,1.0,9.0,3.0,,,,
tcl_p2,TCL,64,GO,C0,experiments/tcl_p2/quality_results.csv,D: neutral/adverse vs C0; repair vs FT0,0.1084512283438229,0.004272020271482491,e_hull_mean_ev_per_atom,0.328125,-3.125,nus,0.5625,-6.25,stable,0.75,4.6875,novel,1.0,0.0,unique,0.0435452474908533,-0.0010784812015241993,rmsd_mean_a,0.1620289981188705,0.019114071228313517,atomic_force_mean_ev_per_a,0.3037838091017443,-0.001785314026504392,structure_max_force_mean_ev_per_a,46.25,2.0625,relaxation_steps_mean,MaxF P95 1.091 -> 0.7281; MaxF P99 1.757 -> 2.038; MaxF maximum 2.428 -> 2.328; MaxF>1 count 7 -> 3; MaxF>2 count 1 -> 1,No controlled end-to-end speed claim,1.0,3.0,1.0,,,,
