split,model,stage,timestep_bin,field,count,residual_mse,residual_rmse,residual_cosine,score_after_mse
stage_a_validation,lightweight_adapter,decile,0,atomic_numbers,868600,5.03951083489615,2.2448854836931327,0.2545292967963202,5.03951083489615
stage_a_validation,lightweight_adapter,decile,0,cell,7200,0.04049231833894737,0.20122703182959134,0.93721363355123,0.04049231833894737
stage_a_validation,lightweight_adapter,decile,0,pos,25800,0.11326302459997724,0.3365457243822557,0.010019001541529888,0.11326302459997724
stage_a_validation,lightweight_adapter,decile,1,atomic_numbers,868600,5.576485374796755,2.3614583152782425,0.2399144234163026,5.576485374796755
stage_a_validation,lightweight_adapter,decile,1,cell,7200,0.02653553766457157,0.1628973224597985,0.9447169835928549,0.02653553766457157
stage_a_validation,lightweight_adapter,decile,1,pos,25800,0.07732099478096925,0.278066529415119,-0.008750049856806873,0.07732099478096925
stage_a_validation,lightweight_adapter,decile,2,atomic_numbers,868600,5.77815095273026,2.403778474138218,0.2459533732087734,5.77815095273026
stage_a_validation,lightweight_adapter,decile,2,cell,7200,0.016797694882520267,0.12960592147938407,0.9509891704319804,0.016797694882520267
stage_a_validation,lightweight_adapter,decile,2,pos,25800,0.07981675065418546,0.28251858461734064,0.00938413030874533,0.07981675065418546
stage_a_validation,lightweight_adapter,decile,3,atomic_numbers,868600,5.7112703661970246,2.389826430140278,0.2701485817854049,5.7112703661970246
stage_a_validation,lightweight_adapter,decile,3,cell,7200,0.033491570997672776,0.18300702444898878,0.8933006269254857,0.033491570997672776
stage_a_validation,lightweight_adapter,decile,3,pos,25800,0.7141145985810332,0.8450530152487672,0.11291456696154037,0.7141145985810332
stage_a_validation,lightweight_adapter,decile,4,atomic_numbers,868600,5.462614923802604,2.3372237641703464,0.29894234537793496,5.462614923802604
stage_a_validation,lightweight_adapter,decile,4,cell,7200,0.014824899726146314,0.12175754484279942,0.9453423529154866,0.014824899726146314
stage_a_validation,lightweight_adapter,decile,4,pos,25800,21.11334097244943,4.594925567672389,0.5355777137744808,21.11334097244943
stage_a_validation,lightweight_adapter,decile,5,atomic_numbers,868600,4.017203519831268,2.0042962654835406,0.24671567048063725,4.017203519831268
stage_a_validation,lightweight_adapter,decile,5,cell,7200,0.030773424512137555,0.1754235574606146,0.9231467335294323,0.030773424512137555
stage_a_validation,lightweight_adapter,decile,5,pos,25800,119.54714378482612,10.933761648436741,0.5072042430367479,119.54714378482612
stage_a_validation,lightweight_adapter,decile,6,atomic_numbers,868600,1.8055098373286602,1.3436926126643178,0.15720585985119176,1.8055098373286602
stage_a_validation,lightweight_adapter,decile,6,cell,7200,0.02888561927952752,0.16995769850032544,0.965501085251672,0.02888561927952752
stage_a_validation,lightweight_adapter,decile,6,pos,25800,399.80613101693086,19.995152688012436,0.42183196994328626,399.80613101693086
stage_a_validation,lightweight_adapter,decile,7,atomic_numbers,868600,0.9836840201247653,0.9918084593936297,0.10560562250267828,0.9836840201247653
stage_a_validation,lightweight_adapter,decile,7,cell,7200,0.04008583103283955,0.20021446259658554,0.9521321621691115,0.04008583103283955
stage_a_validation,lightweight_adapter,decile,7,pos,25800,1325.5601635127105,36.40824307094082,0.39869368953415507,1325.5601635127105
stage_a_validation,lightweight_adapter,decile,8,atomic_numbers,868600,0.42582985588792227,0.6525564005416867,0.057430584420814036,0.42582985588792227
stage_a_validation,lightweight_adapter,decile,8,cell,7200,0.1430773262316749,0.37825563608712415,0.897275827082759,0.1430773262316749
stage_a_validation,lightweight_adapter,decile,8,pos,25800,4372.768784965101,66.12691422533719,0.36837616460152767,4372.768784965101
stage_a_validation,lightweight_adapter,decile,9,atomic_numbers,868600,0.2217653359582889,0.470919670387943,0.022065366585225364,0.2217653359582889
stage_a_validation,lightweight_adapter,decile,9,cell,7200,74.83844989084845,8.650921909880383,0.2695670362446891,74.83844989084845
