epoch,train_normalized_loss,pos_mse,pos_cosine,cell_mse,cell_cosine,atomic_numbers_mse,atomic_numbers_cosine
1,0.8937574395835399,2158.250903308458,0.3641085413038844,7.533189762272769,0.24923696808941875,5.50592637206694,0.16101226920609135
2,0.8836710206866264,2153.7850632594354,0.3667009252197896,7.60041263051331,0.24515159091067748,4.06526354989955,0.17980300315242653
3,0.9070932452976703,2231.290944009914,0.36473836380338964,7.68401087594529,0.2277612597426096,3.7598106473026367,0.16322985738872683
4,0.8657252542376518,2154.039858935881,0.36722796898217874,7.6197321816931165,0.23439642275821243,3.5514638074171754,0.23115667135555962
5,0.879646683871746,2144.180059923734,0.3723145193917762,7.511849828737064,0.2549555473037479,3.5305441117994856,0.2093236271806575
6,0.8902533942759037,2150.674017441565,0.36888579942868094,7.642385291378531,0.22556706457737483,3.6129341764720166,0.22618064553007206
7,0.8725591807365417,2144.918107813739,0.37162550282634343,7.7575814971588555,0.18517800075164234,3.852399265599366,0.10176103503064178
8,0.8717217947840691,2155.598431272051,0.3687562494172725,7.541485545178254,0.25541211621736865,4.9458908350463835,0.1998112134728846
9,0.8632041473090649,2141.600897975212,0.3733590107109883,7.692516815313034,0.20669533829715367,3.863871575060622,0.14245126598683633
10,0.870076911687851,2157.890553390976,0.37142753783097293,7.522150830143856,0.25494041893664016,3.4736947136302985,0.2519736250943336
11,0.8725611533820629,2148.656309811378,0.3723532783683919,7.528589505073097,0.2527640451674467,3.5185010968620483,0.2199678706374555
12,0.8669341747760773,2177.2051650011667,0.3754753270685646,7.521341343068414,0.2623174495586766,3.502202502063362,0.23746690897723668
