method,group,atom_count,distinct_elements,element_entropy_nats,Mn_fraction,Eu_fraction,O_fraction,C_fraction
C0,all,2475,64,2.823278768834377,0.05858585858585859,0.17414141414141415,0.19272727272727272,0.00808080808080808
C0,bad,235,23,2.0745947221158905,0.05531914893617021,0.10638297872340426,0.43829787234042555,0.02553191489361702
C0,normal,2240,64,2.854617821715733,0.05892857142857143,0.18125,0.1669642857142857,0.00625
FT0,all,2475,47,1.370764916054103,0.6282828282828283,0.027474747474747475,0.0016161616161616162,0.20444444444444446
FT0,bad,671,21,1.0257353299025451,0.65424739195231,0.0029806259314456036,0.004470938897168405,0.2697466467958271
FT0,normal,1804,42,1.4537214865937544,0.6186252771618626,0.036585365853658534,0.0005543237250554324,0.1801552106430155
TCL,all,2475,62,2.6702862216411773,0.2828282828282828,0.1987878787878788,0.025454545454545455,0.046464646464646465
TCL,bad,420,25,1.964374768430471,0.4928571428571429,0.030952380952380953,0.05714285714285714,0.13333333333333333
TCL,normal,2055,60,2.715539639571937,0.23990267639902677,0.23309002433090023,0.01897810218978102,0.028710462287104624
