comparison,kind,field_or_block,seed,sampling_progress,forward_diffusion_t,stage,mean_abs_diff,rms_diff,relative_l2_diff,cosine_to_c0,one_minus_cosine,candidate_to_c0_norm_ratio,c0_rms,candidate_rms
FT0_vs_C0,cfg2_score,atomic_numbers,83000,0.05,0.95,early_0_30_high_to_mid_noise,1.3694386723829377,1.5465084028754181,0.14767077568538395,0.9913878413393663,0.008612158660633695,1.0596264663771746,10.47267745224208,11.097126202227184
FT0_vs_C0,cfg2_score,pos,83000,0.05,0.95,early_0_30_high_to_mid_noise,0.0030933241359889507,0.003945414551511846,0.13336606734106937,0.9913376451143948,0.008662354885605184,0.9681679550220225,0.029583346275195113,0.028641647865964022
FT0_vs_C0,cfg2_score,cell,83000,0.05,0.95,early_0_30_high_to_mid_noise,0.024917893939548068,0.030056073964268817,0.0944181508658343,0.9979208493517637,0.002079150648236272,0.928922234989816,0.31832940688467526,0.29570326410629505
FT0_vs_C0,conditional_hidden,gemnet_h1,83000,0.05,0.95,early_0_30_high_to_mid_noise,0.2120954835734672,0.31034116011306095,0.2252066251697981,0.9745437000691818,0.025456299930818216,0.9958380036479028,1.3780285543512505,1.3722932045349543
FT0_vs_C0,conditional_hidden,gemnet_h2,83000,0.05,0.95,early_0_30_high_to_mid_noise,0.2132582698633314,0.28633352564576836,0.32143473967554775,0.9507180665193822,0.04928193348061782,1.0354832355255283,0.8907983186098362,0.9224067251548134
FT0_vs_C0,conditional_hidden,gemnet_h3,83000,0.05,0.95,early_0_30_high_to_mid_noise,0.29797984461416505,0.3837164525091061,0.5235006881215443,0.8801451732808603,0.11985482671913972,1.1008451880369212,0.7329817538272579,0.8068994366196002
FT0_vs_C0,conditional_hidden,gemnet_h4,83000,0.05,0.95,early_0_30_high_to_mid_noise,0.32018051637419376,0.41011403632807963,0.5720300060416309,0.8668442917731108,0.13315570822688916,1.1472678178753488,0.7169449714115742,0.8225278928880608
FT0_vs_C0,cfg2_score,atomic_numbers,83001,0.05,0.95,early_0_30_high_to_mid_noise,1.935494141634738,2.0755330227191338,0.1749404758694286,0.9879891993685035,0.01201080063149651,1.070006442471638,11.864224173416916,12.694796300483844
FT0_vs_C0,cfg2_score,pos,83001,0.05,0.95,early_0_30_high_to_mid_noise,0.008507787560423216,0.010092810876842568,0.20675600351690365,0.9843206935526125,0.015679306447387464,0.8764537720883476,0.048815080119390175,0.04278416110543443
FT0_vs_C0,cfg2_score,cell,83001,0.05,0.95,early_0_30_high_to_mid_noise,0.04009417196114858,0.04863889596636139,0.0402280089461544,0.9995729992917955,0.00042700070820445024,0.9719238832667261,1.2090803706309463,1.1751340890052018
FT0_vs_C0,conditional_hidden,gemnet_h1,83001,0.05,0.95,early_0_30_high_to_mid_noise,0.2809992609397227,0.49419747828218635,0.3310082396098761,0.9613353158106278,0.03866468418937219,1.1449981702868368,1.4930065754998845,1.7094897971735838
FT0_vs_C0,conditional_hidden,gemnet_h2,83001,0.05,0.95,early_0_30_high_to_mid_noise,0.2776497349383362,0.4271585734289578,0.44604715251900917,0.9224459594836021,0.07755404051639792,1.1457498117520721,0.9576534028221455,1.097231206007205
FT0_vs_C0,conditional_hidden,gemnet_h3,83001,0.05,0.95,early_0_30_high_to_mid_noise,0.3301579270792985,0.4473803491008439,0.5257344460793925,0.8885952407314217,0.11140475926857829,1.1454964078072796,0.850962596111277,0.9747745970238245
FT0_vs_C0,conditional_hidden,gemnet_h4,83001,0.05,0.95,early_0_30_high_to_mid_noise,0.3429579371532725,0.4537113643349526,0.6079515834964478,0.8527392636024271,0.14726073639757287,1.1638170345296448,0.7462952258888288,0.8685510966775676
FT0_vs_C0,cfg2_score,atomic_numbers,83002,0.05,0.95,early_0_30_high_to_mid_noise,1.7383263957788153,2.00376802483101,0.17928096580928146,0.9871600556120766,0.012839944387923352,1.0685642330082452,11.176691378172361,11.943012650086615
FT0_vs_C0,cfg2_score,pos,83002,0.05,0.95,early_0_30_high_to_mid_noise,0.0023501995795716843,0.0033275807209672496,0.20918523231855207,0.9804133394633644,0.019586660536635603,0.9099237826632777,0.015907340513884524,0.014474467452506615
FT0_vs_C0,cfg2_score,cell,83002,0.05,0.95,early_0_30_high_to_mid_noise,0.025254399826129276,0.03266926739580528,0.04842486612982066,0.9988268976172964,0.001173102382703628,0.9991998097837039,0.6746382593649984,0.6740984204303154
FT0_vs_C0,conditional_hidden,gemnet_h1,83002,0.05,0.95,early_0_30_high_to_mid_noise,0.19754079006325043,0.2762525062502546,0.20087328224628676,0.9798350757158065,0.020164924284193475,1.0004954513996673,1.3752575910595553,1.3759389643579487
FT0_vs_C0,conditional_hidden,gemnet_h2,83002,0.05,0.95,early_0_30_high_to_mid_noise,0.20067034314889032,0.2594606101895829,0.29584842609655443,0.9572590969918802,0.042740903008119835,1.0194786276677097,0.877005207068108,0.8940880649592307
FT0_vs_C0,conditional_hidden,gemnet_h3,83002,0.05,0.95,early_0_30_high_to_mid_noise,0.25002922984546316,0.3188958722982297,0.46794602919597655,0.9043763766835734,0.0956236233164266,1.0963923055634204,0.6814800263315742,0.7471694572650951
FT0_vs_C0,conditional_hidden,gemnet_h4,83002,0.05,0.95,early_0_30_high_to_mid_noise,0.3950522953234965,0.541632335467257,0.5381200597425657,0.8688917170629666,0.13110828293703336,1.0799509852270854,1.0065269369931522,1.086999757263355
FT0_vs_C0,cfg2_score,atomic_numbers,83003,0.05,0.95,early_0_30_high_to_mid_noise,3.1665292150731332,3.688335394600426,0.33611591104217553,0.949441564092242,0.05055843590775799,1.0694965068544358,10.97340314287477,11.736016329610058
FT0_vs_C0,cfg2_score,pos,83003,0.05,0.95,early_0_30_high_to_mid_noise,0.0042310587111084414,0.005547300187331972,0.8003110855138206,0.8621479222352237,0.13785207776477626,1.4816613388864073,0.006931429899875073,0.010270031705846176
FT0_vs_C0,cfg2_score,cell,83003,0.05,0.95,early_0_30_high_to_mid_noise,0.03635023534297943,0.05209680213448268,0.05175802255229505,0.9991396094571288,0.0008603905428712366,0.9681742726324177,1.0065454506467153,0.9745114095513527
FT0_vs_C0,conditional_hidden,gemnet_h1,83003,0.05,0.95,early_0_30_high_to_mid_noise,0.1965138039506106,0.2802094554204689,0.2100127990418755,0.9782209087494231,0.021779091250576865,1.0101821677351666,1.3342494205060167,1.3478349719061575
FT0_vs_C0,conditional_hidden,gemnet_h2,83003,0.05,0.95,early_0_30_high_to_mid_noise,0.21013594002039215,0.27689763154538244,0.3231310153768632,0.9488317830760826,0.051168216923917376,1.0173548133201067,0.8569206246650158,0.8717923221362266
FT0_vs_C0,conditional_hidden,gemnet_h3,83003,0.05,0.95,early_0_30_high_to_mid_noise,0.38260871507058436,0.5047444060973504,0.664501995899475,0.8154574915876774,0.18454250841232256,1.1418526863146448,0.7595829797533181,0.8673318659102086
FT0_vs_C0,conditional_hidden,gemnet_h4,83003,0.05,0.95,early_0_30_high_to_mid_noise,0.6042956607557599,0.8391569645179385,1.1125131490938347,0.6291934953587064,0.3708065046412936,1.425164576182871,0.7542894798155418,1.0749866468205143
FT0_vs_C0,cfg2_score,atomic_numbers,83004,0.05,0.95,early_0_30_high_to_mid_noise,1.516333255295952,1.8587755987160575,0.12857510430033955,0.9925525879464709,0.007447412053529057,1.033688913561174,14.45673024207027,14.943761777572583
FT0_vs_C0,cfg2_score,pos,83004,0.05,0.95,early_0_30_high_to_mid_noise,0.0024384806036121314,0.002857662269260434,0.3831949714066456,0.976519961920387,0.023480038079612964,1.2934262921511581,0.007457462864845085,0.00964567854213153
FT0_vs_C0,cfg2_score,cell,83004,0.05,0.95,early_0_30_high_to_mid_noise,0.03579791718059116,0.04450980426918357,0.054580505625494366,0.9994509639284525,0.0005490360715475484,0.9560774594372644,0.8154890424538903,0.7796706919082431
FT0_vs_C0,conditional_hidden,gemnet_h1,83004,0.05,0.95,early_0_30_high_to_mid_noise,0.2178651856265265,0.32063428031923086,0.23737685472509257,0.9722116343996999,0.02778836560030007,1.0114956415949525,1.3507394421017116,1.3662670586162797
FT0_vs_C0,conditional_hidden,gemnet_h2,83004,0.05,0.95,early_0_30_high_to_mid_noise,0.22827783260260048,0.304444472687808,0.3505946598627006,0.9405230221647211,0.059476977835278944,1.0271265483406542,0.8683659722798803,0.8919217438043096
FT0_vs_C0,conditional_hidden,gemnet_h3,83004,0.05,0.95,early_0_30_high_to_mid_noise,0.2889696791267262,0.377574233465792,0.546820432780492,0.8736818783455126,0.12631812165448741,1.1233468744014123,0.6904903526481055,0.7756601794515784
FT0_vs_C0,conditional_hidden,gemnet_h4,83004,0.05,0.95,early_0_30_high_to_mid_noise,0.4765935490445005,0.6648825628892993,0.5085394319851065,0.8783879643354718,0.12161203566452816,1.0521054642402072,1.3074356108313954,1.3755601502979447
FT0_vs_C0,cfg2_score,atomic_numbers,83005,0.05,0.95,early_0_30_high_to_mid_noise,2.3636612610455,2.706172976606935,0.21516608534526005,0.9784515816608279,0.021548418339172093,0.917921077471792,12.577135342981927,11.544817625538522
FT0_vs_C0,cfg2_score,pos,83005,0.05,0.95,early_0_30_high_to_mid_noise,0.002092785426551321,0.002503438593035869,0.463509387636851,0.9030327779569577,0.09696722204304231,1.0771280119300588,0.005401052621176371,0.005817625072177338
FT0_vs_C0,cfg2_score,cell,83005,0.05,0.95,early_0_30_high_to_mid_noise,0.019234008259243436,0.0244532373903058,0.029091779015786738,0.9998394597591495,0.00016054024085054852,0.9769205396761491,0.840554899617386,0.8211553461616481
FT0_vs_C0,conditional_hidden,gemnet_h1,83005,0.05,0.95,early_0_30_high_to_mid_noise,0.19930531093399395,0.3129676392851758,0.22420383452813442,0.9782833872793654,0.02171661272063463,1.0637570396168605,1.3959067200784325,1.484905600131914
FT0_vs_C0,conditional_hidden,gemnet_h2,83005,0.05,0.95,early_0_30_high_to_mid_noise,0.19303016691222202,0.2646867682079587,0.31138865354316936,0.9541689976688759,0.04583100233112414,1.0402002110036945,0.8500205938661913,0.884191601097098
FT0_vs_C0,conditional_hidden,gemnet_h3,83005,0.05,0.95,early_0_30_high_to_mid_noise,0.28496591190741755,0.3689224087605391,0.4960494606540543,0.8867467653117421,0.11325323468825788,1.0667047971025465,0.7437210157916603,0.7933307752509429
FT0_vs_C0,conditional_hidden,gemnet_h4,83005,0.05,0.95,early_0_30_high_to_mid_noise,0.6035131181893253,0.8695126413997016,0.9607836613230073,0.6348512704634778,0.3651487295365222,1.2059391616626662,0.9050035678191859,1.091379243877591
FT0_vs_C0,cfg2_score,atomic_numbers,83006,0.05,0.95,early_0_30_high_to_mid_noise,1.8583809962422393,2.132941169210075,0.17783427470008292,0.990542681861714,0.009457318138285986,1.1036790325537071,11.993982446900493,13.237506943461279
FT0_vs_C0,cfg2_score,pos,83006,0.05,0.95,early_0_30_high_to_mid_noise,0.003904991946183145,0.004791926132373132,0.4179341490132842,0.9332246626669498,0.06677533733305019,0.7197364336675501,0.011465744408985394,0.008252313990266802
FT0_vs_C0,cfg2_score,cell,83006,0.05,0.95,early_0_30_high_to_mid_noise,0.01773855421278212,0.023059481804698485,0.020502217633912728,0.9998052091280069,0.0001947908719931446,0.9942556931666027,1.1247311006276604,1.1182703000805903
FT0_vs_C0,conditional_hidden,gemnet_h1,83006,0.05,0.95,early_0_30_high_to_mid_noise,0.21248491245573148,0.33027192797184224,0.23452905368832955,0.976105034194528,0.023894965805472013,1.064337198419641,1.4082345994144807,1.498836468258414
FT0_vs_C0,conditional_hidden,gemnet_h2,83006,0.05,0.95,early_0_30_high_to_mid_noise,0.20269450265523545,0.2822810725688432,0.3301624738275779,0.9482556290953613,0.05174437090463868,1.0387873762064652,0.854976246380622,0.8881385316965787
FT0_vs_C0,conditional_hidden,gemnet_h3,83006,0.05,0.95,early_0_30_high_to_mid_noise,0.315120154114525,0.3945398147149097,0.5232830611758308,0.8790882846405329,0.1209117153594671,1.0950081176938797,0.7539701625891881,0.8256034485341355
FT0_vs_C0,conditional_hidden,gemnet_h4,83006,0.05,0.95,early_0_30_high_to_mid_noise,0.4534112943490701,0.6246191784168653,0.6461060930919966,0.8103981377914159,0.1896018622085841,1.0827916495834538,0.9667439838366114,1.0467823129833242
FT0_vs_C0,cfg2_score,atomic_numbers,83007,0.05,0.95,early_0_30_high_to_mid_noise,1.6812322838534897,2.042239419406307,0.1760952141331887,0.9878654671566717,0.012134532843328327,1.0708576694487095,11.597359016592407,12.419120848268124
FT0_vs_C0,cfg2_score,pos,83007,0.05,0.95,early_0_30_high_to_mid_noise,0.0023912378542480014,0.0032582274273668193,0.1778445961612622,0.9840754141645003,0.015924585835499716,0.9783203167026381,0.018320643402695194,0.01792345765592086
FT0_vs_C0,cfg2_score,cell,83007,0.05,0.95,early_0_30_high_to_mid_noise,0.020901770227485232,0.025665500415874384,0.036967659818957235,0.9994393052441053,0.0005606947558947084,0.983769820909568,0.6942690054379088,0.6830008951427154
FT0_vs_C0,conditional_hidden,gemnet_h1,83007,0.05,0.95,early_0_30_high_to_mid_noise,0.19937130987738833,0.29288604560939774,0.20903028886288333,0.9779228578828915,0.02207714211710854,0.9830975686906801,1.4011655784560517,1.3774824735132156
FT0_vs_C0,conditional_hidden,gemnet_h2,83007,0.05,0.95,early_0_30_high_to_mid_noise,0.20483552637092015,0.2734622779322093,0.30699287682513055,0.9537172187084203,0.0462827812915797,1.0155327481674188,0.8907772739234556,0.904613492992568
FT0_vs_C0,conditional_hidden,gemnet_h3,83007,0.05,0.95,early_0_30_high_to_mid_noise,0.2863919364075644,0.3940035491893558,0.5421468208761525,0.8862191306239845,0.1137808693760155,1.167835044361208,0.7267469512273715,0.8487205580259898
FT0_vs_C0,conditional_hidden,gemnet_h4,83007,0.05,0.95,early_0_30_high_to_mid_noise,0.4214390914323535,0.5876993604596527,0.5246279473281031,0.8747617693120106,0.12523823068798945,1.0758653151971562,1.1202212223972596,1.205207158524971
FT0_vs_C0,cfg2_score,atomic_numbers,83008,0.05,0.95,early_0_30_high_to_mid_noise,4.293167808623758,4.8046802003782965,0.4185890436728388,0.9336985229188894,0.06630147708111056,1.15051577127302,11.478275107777408,13.205936538508439
FT0_vs_C0,cfg2_score,pos,83008,0.05,0.95,early_0_30_high_to_mid_noise,0.0019576904561483498,0.0026802567720861778,0.3302969769216048,0.9484102462937483,0.05158975370625174,1.041028215600569,0.008114687567129415,0.008447618718164858
FT0_vs_C0,cfg2_score,cell,83008,0.05,0.95,early_0_30_high_to_mid_noise,0.04379995332823859,0.055706726927791474,0.04686703641279041,0.9990540226109561,0.0009459773890438949,0.9815766315799521,1.188612107604667,1.1667138688377365
FT0_vs_C0,conditional_hidden,gemnet_h1,83008,0.05,0.95,early_0_30_high_to_mid_noise,0.1994331672479694,0.28056957538570754,0.21032478219204864,0.9783042700618497,0.021695729938150277,1.014577660107224,1.3339824839543535,1.3534288271944304
FT0_vs_C0,conditional_hidden,gemnet_h2,83008,0.05,0.95,early_0_30_high_to_mid_noise,0.208926900590076,0.27463995667894636,0.3192620059322198,0.9504008098214094,0.0495991901785906,1.0224419629289174,0.8602337627899662,0.8795390970047025
FT0_vs_C0,conditional_hidden,gemnet_h3,83008,0.05,0.95,early_0_30_high_to_mid_noise,0.36736881326122595,0.46234216442520026,0.5983880067485776,0.8432593069174487,0.15674069308255134,1.1062316730007178,0.772646107894774,0.8547255965739285
FT0_vs_C0,conditional_hidden,gemnet_h4,83008,0.05,0.95,early_0_30_high_to_mid_noise,0.6785616399892134,0.9665430325469383,1.2451842182049844,0.5678875536751582,0.4321124463248418,1.5022215468948814,0.7762249299467312,1.1660618150029483
FT0_vs_C0,cfg2_score,atomic_numbers,83009,0.05,0.95,early_0_30_high_to_mid_noise,2.463013221175954,2.7711211261527815,0.2563911742625079,0.9794111756276488,0.02058882437235121,1.137470294896487,10.808176740575123,12.293979984395339
FT0_vs_C0,cfg2_score,pos,83009,0.05,0.95,early_0_30_high_to_mid_noise,0.007174981571733951,0.009284010599262248,0.3520575413210189,0.9539262461331678,0.04607375386683221,0.7697529704857002,0.02637071929897036,0.020298939514227017
FT0_vs_C0,cfg2_score,cell,83009,0.05,0.95,early_0_30_high_to_mid_noise,0.031945150759485036,0.038604199351674855,0.027879706121651044,0.9997488069145257,0.0002511930854742772,1.0163305722140057,1.384670239464802,1.4072826968029666
FT0_vs_C0,conditional_hidden,gemnet_h1,83009,0.05,0.95,early_0_30_high_to_mid_noise,0.18474002876626328,0.2505464557220889,0.1858768593728179,0.983131567208129,0.016868432791871002,1.01626591934329,1.3479163386312722,1.3698414370769512
FT0_vs_C0,conditional_hidden,gemnet_h2,83009,0.05,0.95,early_0_30_high_to_mid_noise,0.1951672137387604,0.2536829088342459,0.28830236088232375,0.9605909450996486,0.0394090549003514,1.0370972526680995,0.879919637348344,0.9125622384626779
FT0_vs_C0,conditional_hidden,gemnet_h3,83009,0.05,0.95,early_0_30_high_to_mid_noise,0.377372791468278,0.5186559630509869,0.6906075408589534,0.8289785329014032,0.17102146709859678,1.2341256463091292,0.7510140454097866,0.9268456941785868
FT0_vs_C0,conditional_hidden,gemnet_h4,83009,0.05,0.95,early_0_30_high_to_mid_noise,0.39194656728006977,0.5197252685344801,0.6965271511266535,0.8211009751059595,0.17889902489404053,1.2202962701390663,0.7461665603326573,0.910544270476438
FT0_vs_C0,cfg2_score,atomic_numbers,83010,0.05,0.95,early_0_30_high_to_mid_noise,3.8196658469796514,4.072740004371744,0.3832087815190267,0.9429972533747063,0.0570027466252937,1.1329782790207883,10.627992365486875,12.041284499695394
FT0_vs_C0,cfg2_score,pos,83010,0.05,0.95,early_0_30_high_to_mid_noise,0.003643166487260411,0.004710200254819275,0.2992873938856458,0.9602797199914773,0.03972028000852268,0.8520665749222588,0.015738050953856705,0.013409867172204673
FT0_vs_C0,cfg2_score,cell,83010,0.05,0.95,early_0_30_high_to_mid_noise,0.023633884059058294,0.02727394314015993,0.025323184772186133,0.9997493412928906,0.00025065870710938576,0.9879167970789361,1.0770344798856588,1.064020453712218
FT0_vs_C0,conditional_hidden,gemnet_h1,83010,0.05,0.95,early_0_30_high_to_mid_noise,0.1951065648251331,0.2795716290721005,0.21318022373625467,0.9776229067588303,0.022377093241169654,1.0121534093880582,1.3114332285249162,1.3273716134362814
FT0_vs_C0,conditional_hidden,gemnet_h2,83010,0.05,0.95,early_0_30_high_to_mid_noise,0.2097711098260362,0.27590728334292514,0.3198520264163146,0.9504122346122447,0.049587765387755334,1.0251700736879201,0.8626091459674178,0.8843210817352914
FT0_vs_C0,conditional_hidden,gemnet_h3,83010,0.05,0.95,early_0_30_high_to_mid_noise,0.33637129192709914,0.42487905194437803,0.5701185821992939,0.8623448015381587,0.13765519846184127,1.1244015787999182,0.7452468051565011,0.8379566843135648
