comparison,kind,field_or_block,stage,n,mean_abs_diff_mean,mean_abs_diff_median,mean_abs_diff_p95,rms_diff_mean,rms_diff_median,rms_diff_p95,relative_l2_diff_mean,relative_l2_diff_median,relative_l2_diff_p95,cosine_to_c0_mean,cosine_to_c0_median,cosine_to_c0_p95,one_minus_cosine_mean,one_minus_cosine_median,one_minus_cosine_p95,candidate_to_c0_norm_ratio_mean,candidate_to_c0_norm_ratio_median,candidate_to_c0_norm_ratio_p95,c0_rms_mean,c0_rms_median,c0_rms_p95,candidate_rms_mean,candidate_rms_median,candidate_rms_p95
FT0_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,768,2.7238890488217335,2.4854269481519173,5.007609493707993,3.142656795180787,2.949697696141955,5.327051507420168,0.2644330669933462,0.23101113762369788,0.5104161235624529,0.9715432874992938,0.9803146733949666,0.9930381881497883,0.028456712500706267,0.01968532660503336,0.0766183766382309,1.0927268047938723,1.0839031827925139,1.256056365718841,12.24985169994165,11.76772781348988,16.404257061800287,13.293006738330524,13.130652793476838,17.01419338899741
FT0_vs_C0,cfg2_score,pos,early_0_30_high_to_mid_noise,768,0.0035204577646324987,0.0032197677715481,0.006217730743810534,0.004386281048492014,0.004012937960833722,0.0075530253257357575,1.4997963246913653,1.3571320300969454,3.615450442905633,0.6008187829298314,0.6628312927793907,0.9830177481720181,0.3991812170701685,0.3371687072206094,1.0274041510823948,1.8469776435689125,1.5992448187271946,3.8206300773601485,0.0069704527092317795,0.002918856338663527,0.02868882358716818,0.008056968172176994,0.005313770180795662,0.024241551950098653
FT0_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,768,0.030973249724377604,0.02841929905116558,0.054594420558876464,0.039733138750103085,0.036095907239866346,0.07295943720217325,0.04350522593138886,0.03949123241616087,0.08240846869202452,0.999180549758034,0.9995363651985008,0.9998941271534387,0.0008194502419660118,0.0004636348014992464,0.002291585834432028,0.9816392407911314,0.9816877632282869,1.013703261015574,0.9616713163619207,0.9429045359625272,1.4793891665959082,0.9453232022115997,0.9253068936431982,1.4740116686158924
FT0_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,768,0.1982988460215558,0.19660928772069458,0.2158874115391261,0.28362944989192546,0.2797656580542108,0.3258033498328515,0.22640235098030914,0.2263870442871857,0.258280445501303,0.9750817925677525,0.9751946340794515,0.9811599974053984,0.02491820743224764,0.02480536592054844,0.03154906902167926,1.0193345687199333,1.0162612557395228,1.05917867207043,1.2567333447478564,1.2473159688304691,1.4059186704334707,1.2807360019698184,1.2747748529270981,1.430601699539811
FT0_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,768,0.2117443016987175,0.21065283291389902,0.23242732359570967,0.28149401598782914,0.279213482901141,0.3136787606858603,0.3598188106773515,0.3576469321854857,0.4212492396593458,0.9389330693502687,0.9397024311504565,0.9543217691704927,0.06106693064973135,0.06029756884954357,0.08115862843655622,1.0472599985274857,1.0450442799680657,1.077879716027748,0.7877673591260294,0.7773607446794357,0.8878271065868173,0.8240543565399822,0.814898603913589,0.9203683160983415
FT0_vs_C0,conditional_hidden,gemnet_h3,early_0_30_high_to_mid_noise,768,0.31056603351794615,0.3071150632785513,0.3788965522539716,0.4062719758279514,0.40532513105980117,0.5027671244333812,0.5900547851325232,0.5796180665593879,0.7125152480492236,0.8523347712915285,0.8565029023783559,0.8956181527996787,0.14766522870847143,0.1434970976216441,0.20209738785343048,1.1286949641595965,1.1246643478331735,1.209641069137332,0.6892843590344166,0.685627664889854,0.7770468221869623,0.7775722115056145,0.7757012777387822,0.8743624899166808
FT0_vs_C0,conditional_hidden,gemnet_h4,early_0_30_high_to_mid_noise,768,0.5241417192629535,0.5365182764404286,0.7313634215817723,0.7451759979431584,0.760825110843353,1.0761044523495906,0.7585922628681404,0.6952998019952217,1.161196460755961,0.765947399240812,0.7896935799540421,0.9001931825109917,0.234052600759188,0.21030642004595784,0.41199089771690883,1.1712172008059796,1.14340943770568,1.4541703939954322,1.0277110300726162,0.9953129858886333,1.5546861751197372,1.1727617212298882,1.1454646252958773,1.610121736037493
FT0_vs_C0,cfg2_score,atomic_numbers,mid_30_70,1024,1.9390706799987498,1.815468637212779,3.2980893343009803,2.400964303661983,2.270205115620289,3.8934590313775597,0.1999477881402385,0.18571881459761175,0.33942099616169846,0.985276302893696,0.9874428793941745,0.9945034560677153,0.01472369710630392,0.012557120605825478,0.03122269128493617,1.066058039174145,1.059978662784233,1.2270111866604687,12.214462436779726,12.133874979650582,15.424662920140563,12.970597960750771,12.938664159234836,16.290323860657555
FT0_vs_C0,cfg2_score,pos,mid_30_70,1024,0.1185122246173186,0.09344234084710479,0.31607132485996076,0.15339734170175257,0.11905469457358932,0.4165157298720329,0.36464630526281683,0.34987773123831534,0.7396477485500657,0.9124262881700846,0.944997105526584,0.9985382468184292,0.08757371182991532,0.05500289447341594,0.2747436742732689,0.8991963748000494,0.9345142630857803,1.1067558298499685,0.5463550421376924,0.5753147928358995,1.0744430639222677,0.5070484703999065,0.5406019347119346,1.022515594471514
FT0_vs_C0,cfg2_score,cell,mid_30_70,1024,0.054792099713697306,0.0437318633000056,0.12419883097625439,0.07389525296650845,0.05742351507038046,0.1757089560986555,0.08344857403421974,0.06269228295044041,0.21320410249460203,0.9950314152661137,0.9984344075535669,0.9998048684353278,0.004968584733886297,0.0015655924464331172,0.018651447292022495,0.9921630367076357,0.9894655147493432,1.0575271873094285,0.9507254298059906,0.9299346475362744,1.4327819718165744,0.9431239251483046,0.9240697150511961,1.4238890411471234
FT0_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,1024,0.17936844476116293,0.17822900997924776,0.1934580123544562,0.23985680648457133,0.23727649058628172,0.26488014918314634,0.24874669391727583,0.2470092871934622,0.2873514255965949,0.9708081178920422,0.9710230576258674,0.9781848535856388,0.029191882107957843,0.028976942374132564,0.03701778215372495,1.033152528131026,1.0269798703855013,1.0895895501739257,0.9706777336535404,0.9574841111991779,1.121036800973173,1.0022665604631298,0.9934237942373063,1.171620816006399
FT0_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,1024,0.2056224599855245,0.2039093337360679,0.2350217783218221,0.27603819250827355,0.2725603386988383,0.3233153768606443,0.47343718365099685,0.47104279793628767,0.5595065803528398,0.8991290090004561,0.9008890874378774,0.9289568902387018,0.10087099099954384,0.09911091256212257,0.13768478297234893,1.0838100464092388,1.080550366579486,1.1339779947640611,0.5870519468526888,0.5809409943874053,0.6810268394612854,0.6355984589516541,0.6312732709764132,0.7314549958163531
FT0_vs_C0,conditional_hidden,gemnet_h3,mid_30_70,1024,0.2871373439312402,0.2848506436206888,0.3499797911351683,0.3938979033562946,0.38903475993947234,0.49230815106619163,0.6655872024869917,0.6556430793609576,0.8451739620740435,0.8106448606896471,0.8200484159880139,0.8828149637230808,0.1893551393103528,0.17995158401198608,0.2944008375233126,1.135447638809706,1.1305671936893893,1.2428378860488387,0.593577660542481,0.5899767877241073,0.6830726353765048,0.6733793690052854,0.6665948930618126,0.7856188963213496
FT0_vs_C0,conditional_hidden,gemnet_h4,mid_30_70,1024,0.48101335087707353,0.4746230047766202,0.6445311003671121,0.6974462972674539,0.6894311836691132,0.9419814155320984,0.549663004243675,0.5426673793689017,0.7862381808880106,0.8532322246622508,0.86006442960278,0.9360628264957214,0.14676777533774923,0.13993557039722,0.260407793355826,1.041764813097793,1.0335704934242542,1.201028974294867,1.2911599580212687,1.3242853201008118,1.5761222840564235,1.3380305113084856,1.3580664950416017,1.6381835766085862
