objective,category,n,loss_mean,gradient_l2_norm_mean,gradient_l2_norm_median,gradient_sq_fraction_mean,cosine_with_base_mean
base_original,ALL_PARAMETERS,4,0.3723965734243393,2.4054606881570937,2.1953867643465816,1.0,1.0
base_original,atomic_head,4,0.3723965734243393,0.1490845954799109,0.15190199480334918,0.011817413057638818,1.0
base_original,cell_head,4,0.3723965734243393,0.14456933941789846,0.14395500594661986,0.007082785894631816,1.0
base_original,condition_modules,4,0.3723965734243393,0.07510670119921257,0.06572491877136415,0.0015693396180113148,1.0
base_original,embedding_input,4,0.3723965734243393,0.6350912261811579,0.6250537215345817,0.07424576186381232,1.0
base_original,gemnet_block_1,4,0.3723965734243393,0.5902151039155326,0.5894483637141009,0.058243411973015,1.0
base_original,gemnet_block_2,4,0.3723965734243393,0.588114802047133,0.5285990349487977,0.05361025104957985,1.0
base_original,gemnet_block_3,4,0.3723965734243393,0.5630884910086414,0.5311901317531298,0.05406412094261218,1.0
base_original,gemnet_block_4,4,0.3723965734243393,0.3521654050136162,0.3653091924325695,0.029494478473574857,1.0
base_original,other_shared,4,0.3723965734243393,2.020412690718067,1.8020164059501225,0.6935281496924883,1.0
base_original,position_head,4,0.3723965734243393,0.24981385378708862,0.2320295931579217,0.016344287434635445,1.0
tcl_atomic_weighted,ALL_PARAMETERS,4,0.07286035642027855,0.3564969437192834,0.29641734384848895,1.0,0.22646716401170952
tcl_atomic_weighted,atomic_head,4,0.07286035642027855,0.08275119653430837,0.08165655056935149,0.0671846050966808,0.7857777511933965
tcl_atomic_weighted,condition_modules,4,0.07286035642027855,0.0372032566300949,0.03188717666126056,0.019936072262717,0.6288459624911419
tcl_atomic_weighted,embedding_input,4,0.07286035642027855,0.1194215332373345,0.10153414796894536,0.11029301068402832,0.2292581644407667
tcl_atomic_weighted,gemnet_block_1,4,0.07286035642027855,0.09671981202404302,0.08424695037054733,0.07542863108813588,0.1421357333815731
tcl_atomic_weighted,gemnet_block_2,4,0.07286035642027855,0.08396141933340144,0.05794992015658186,0.051301559488582865,0.26824808956857404
tcl_atomic_weighted,gemnet_block_3,4,0.07286035642027855,0.08487987143860093,0.07023901192037066,0.056062264699540294,0.2513615818624688
tcl_atomic_weighted,gemnet_block_4,4,0.07286035642027855,0.09108750767337329,0.08745592725007022,0.08432318805017576,0.3855813576663216
tcl_atomic_weighted,other_shared,4,0.07286035642027855,0.2628331926363684,0.2144789660543102,0.5354706686301393,0.206748628786852
tcl_cell_weighted,ALL_PARAMETERS,4,0.4414174482226372,66.24150824915364,36.84383146663612,1.0,0.13458766957324875
tcl_cell_weighted,cell_head,4,0.4414174482226372,18.878798547041658,7.770415797468016,0.06396914088899192,0.5032070769303858
