comparison,kind,field_or_block,stage,outcome,spearman_rho,two_sided_p,n
FT0_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,rmsd,0.35909533073929956,3.300654819830879e-09,256
FT0_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,relaxation_steps,0.4543380881592415,1.9196700197599563e-14,256
FT0_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,e_hull,0.2367582684824902,0.0001312481223083132,256
FT0_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,severe,0.2539980244674923,3.927361954444957e-05,256
FT0_vs_C0,cfg2_score,pos,mid_30_70,initial_max_force,0.15300769626916913,0.014262258502606737,256
FT0_vs_C0,cfg2_score,pos,mid_30_70,atomic_force_mean,0.16200789654383152,0.009414685428849337,256
FT0_vs_C0,cfg2_score,pos,mid_30_70,rmsd,0.2453986896314946,7.247609839141676e-05,256
FT0_vs_C0,cfg2_score,pos,mid_30_70,relaxation_steps,0.18740078036189883,0.002608569628963085,256
FT0_vs_C0,cfg2_score,pos,mid_30_70,e_hull,0.15629720759899288,0.012282423850946663,256
FT0_vs_C0,cfg2_score,pos,mid_30_70,severe,0.19226517127670545,0.002001103017688189,256
FT0_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,initial_max_force,0.009835631723506521,0.8755571432084541,256
FT0_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,atomic_force_mean,0.03657158388647287,0.5602456673155998,256
FT0_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,rmsd,0.03640921835660334,0.5619895240902654,256
FT0_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,relaxation_steps,-0.034453596128442406,0.5831957442965924,256
FT0_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,e_hull,0.04073586633096818,0.5164330134893327,256
FT0_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,severe,0.05973286874616091,0.3411482028299314,256
FT0_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,initial_max_force,0.02650849736781872,0.6729268405662701,256
FT0_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,atomic_force_mean,0.013926241702906843,0.8245161485648043,256
