epoch,train_normalized_loss,pos_mse,pos_cosine,cell_mse,cell_cosine,atomic_numbers_mse,atomic_numbers_cosine
1,0.9143666027188301,2173.486529141222,0.3628161748138713,7.709514599015315,0.2125036166014901,3.5916670618375655,0.2137874699475989
2,0.8960468420684338,2156.376689893264,0.36515782807596797,7.705452281774746,0.20896872470625508,3.5701724575814797,0.22818083642877365
3,0.896257255166769,2174.9971359015176,0.3666547223373929,7.525344043162134,0.2526608923823686,3.5811880045273106,0.1780759863358089
4,0.887763774394989,2173.464975325078,0.36698255505131244,7.575927629778782,0.24640751748508252,3.4421004885314055,0.2685651451910825
5,0.8860317640006542,2148.545991809224,0.37166167628295416,7.592530218256845,0.23491005338667567,3.452646006015652,0.2541296807509274
6,0.8818400270044804,2149.028881193117,0.37318771883765534,7.511711539737052,0.26291509515287287,3.536181385269534,0.20921295670907056
7,0.8780055992603302,2159.4349383612343,0.38073649917414537,7.3912314972894055,0.2891599997034837,3.480433819030579,0.24834264502748796
8,0.8696711783409119,2139.6657459852827,0.37715496983481284,7.609292980018589,0.23247902341816173,4.251886852393523,0.2150983114692835
9,0.8826313369572163,2132.3429025579017,0.3788369880277479,7.423980881108178,0.29822782308097123,3.529684781708038,0.23497542214718653
10,0.8832398992180824,2135.094675743724,0.3766526185485332,7.572650477904412,0.2518597551981091,3.449983376541858,0.26456069686245226
11,0.8673746761381627,2155.490131638017,0.3809042611483732,7.882751925304532,0.14704996535923026,3.555173388146267,0.21484372160949114
12,0.8637930873632431,2128.6408312800504,0.3847462226588538,7.889793327406049,0.15602033834102094,3.6336025788063226,0.18123411529146424
