config,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,input_hash,output_hash,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
A0,14015,A0_seed_14015,-82.5801773071289,-6.881681442260742,0.040906332433223724,True,1.3367262259707786,22,Fe2CoNi3,Co-Fe-Ni,10650e535ace4f9220c022e5165ecc35b9dd1570109e6fe673482431790988f7,6bf2f1685ba98ae0656f44bd877832b6610875ea99269ec83a93f67967ac380f,0.10989497386175362,0.01861619436399738,False,False,True,True,True,True,True,True,True,True,True,0.10989497386175362,0.10989497386175362
A0,14016,A0_seed_14016,-153.62130737304688,-8.534517076280382,0.04824037104845047,True,2.709232665016316,58,EuAs,As-Eu,8dc5a124cee36a581b7ec9d4653ef194e8f51ce925068ca8942297869f417834,350088d336bceef10fb9b774c4377035699f109d525e0893dd43fe7e1d1127e1,0.1295303895613369,0.04430230564324876,False,False,True,True,True,True,True,True,True,True,True,0.1295303895613369,0.0
A0,14017,A0_seed_14017,-27.283355712890625,-6.820838928222656,0.03006494790315628,True,0.9091131780296564,9,LiEu2Pb,Eu-Li-Pb,8da8916d128164addc87a598aa55e00e17edb3c5dec740309e12545478b324a7,53d6cff3a3ab92545ce4dff2481213aac191b7e28e3c26d87aed97434d0822e9,0.14175166411179774,0.007881416557756126,False,False,True,True,True,False,False,True,True,False,True,0.14175166411179774,0.11388230670751298
A0,14018,A0_seed_14018,-104.28441619873047,-10.428441619873047,0.04270422086119652,True,0.7693360670236871,7,EuO,Eu-O,1987e9821577beae398cc566e1c7616c1d4065a57016d8a88100ec275b425fa5,df3948da21a84e7bb7233f0bf0d584901ab0689cede6e7217c151b7dce7de3d2,0.03646736532066441,0.00011479876203423401,False,True,True,True,True,False,False,True,True,False,True,0.03646736532066441,0.0
A0,14019,A0_seed_14019,-73.54415893554688,-8.171573215060764,0.01936689205467701,True,0.950784410990309,28,Fe8Ni,Fe-Ni,b87a1ac4ec91e410a7e4bcaafed677fcbf0c06e9d30596a9d3a926d9a0121517,a1edf825d4e42fa7a6fd8d27fbcbcb774d454202c9df53158e5f21383a8e3a0e,0.016111661228229934,0.00861952809241319,False,True,True,True,True,False,False,True,True,False,True,0.016111661228229934,0.0
A0,14020,A0_seed_14020,-22.077505111694336,-5.519376277923584,0.047176048159599304,True,0.9109667880111374,31,Fe3O,Fe-O,14529d66f916fa077277c324b86930d2e57d97c136bf8e753b21faefda56d75c,08630d0fd70666aba700f3c865430c6028acabeed503ee7c1ca805ba1895ff4e,0.7842156486306688,0.06317162393813835,False,False,False,False,True,True,True,True,True,True,True,0.7842156486306688,0.0
A0,14021,A0_seed_14021,-73.44239807128906,-8.160266452365452,0.03699280321598053,True,1.285401338012889,49,Eu3Fe2Ge3Ir,Eu-Fe-Ge-Ir,f2a65f27d916f1713960155175357e7484b6e97acee29e0acc48a10087ddabee,c3cafc29eddf175ec89296318ab4ae7b9f2fc6c6fae7f77ef72f23572c763c57,0.22697247701241174,0.07056856985549895,False,False,True,True,True,True,True,True,True,True,False,0.22697247701241174,0.22697247701241174
A0,14022,A0_seed_14022,-44.43824005126953,-7.406373341878255,0.03901376202702522,True,1.535274005960673,40,BaSrEu4,Ba-Eu-Sr,83e4975337ef724543f82cac2eae725402d28d15b4a61ac86b9d664034bcd03e,08594fd9e3366329c9fd02e73a5ed7efa8207cea1d58e4eeff0b8c32000b4802,0.06966924543342579,0.002519030598262983,False,True,True,True,True,False,False,True,True,False,True,0.06966924543342579,0.06966924543342579
A0,14023,A0_seed_14023,-79.63353729248047,-7.239412481134588,0.041685376316308975,True,0.6604223540052772,20,Eu4Al3As4,Al-As-Eu,1b69cb2e45d557747e85a4bc42f8b9ec812fb0ad583c513ba028ad391102449e,79210cc271d68c67f4f215f92bc6300e8a8a3af5cd284934f4286af0b54f3637,0.15264308993950593,0.01597046744109941,False,False,False,False,True,True,True,True,True,True,True,0.15264308993950593,0.12498893443196657
A0,14024,A0_seed_14024,-87.05810546875,-7.254842122395833,0.044808611273765564,True,1.7300996099947952,56,EuSnPd,Eu-Pd-Sn,ea4b4dc3de1fdb8b6f1999ec3149b978a350a8ebe862b9888503de312b253d9d,c3785d45cf1ea57fb58891519747119f747d7747e3ea18a837b651c176fdb119,0.05214780559430565,0.031413490187986164,False,True,True,True,True,False,False,True,True,False,True,0.05214780559430565,0.0
A0,14025,A0_seed_14025,-32.433807373046875,-8.108451843261719,0.009794166311621666,True,0.21014370798366144,3,Eu3Mg,Eu-Mg,db1d218e02e64ea647d410f98a393d9637a41558466eda86c508d13df149b193,cb2c389b80af91c58318c3f432eac5a749f77a5f9603a1da5d3b2367a2d37014,0.059786954108515644,0.0003574976943823887,False,True,True,True,True,False,False,True,True,False,True,0.059786954108515644,0.017969027936016957
A0,14026,A0_seed_14026,-68.53529357910156,-6.853529357910157,0.04235682263970375,True,1.0451924999943003,27,MnFe2GeO6,Fe-Ge-Mn-O,1211a19e2f5e05e3a9eedb13eb7e05f793439ec59c4b137258064f979a3fa87f,caa0ea6259fb583fa5cd7201f665a1bbee9c5509765901aab8df80a8db2a4845,0.19209510133754648,0.00812754726350767,False,False,True,True,True,True,True,True,True,True,True,0.19209510133754648,0.19209510133754648
A0,14027,A0_seed_14027,-94.07466888427734,-7.839555740356445,0.048383381217718124,True,1.861223798012361,50,Fe3Si,Fe-Si,76e7c285cfcc53e5844f445c0ffb5e49de66afb43a5b21106a4fbf815b3f6870,68a017d416090ff88a8ce7a2a405129ee3c8e084d7a12846f3b3634277685e5b,0.20983104586505874,0.030396474685106808,False,False,True,True,True,True,True,True,True,True,True,0.20983104586505874,0.0
A0,14028,A0_seed_14028,-28.134498596191406,-7.033624649047852,0.006333038676530123,True,0.3521279609994963,4,GdCdPd2,Cd-Gd-Pd,a6a213e50c124443641673040bb7253b3ba452c3656cfd44bf8ba8944cad555e,e4af20a97d4b7695cc23e4ad45edabc99f4d266f6d5605fcd2c7d5a4d9de43f8,0.009159863517567146,0.0016139511229666312,True,True,True,True,True,True,True,True,True,True,True,0.009159863517567146,0.0
A0,14029,A0_seed_14029,-62.22523880004883,-7.7781548500061035,0.04250243678689003,True,0.5768194560077973,12,EuMnNi2,Eu-Mn-Ni,b11663f18c52bbfd332c00c097fcdf81c9c0dad8c02d006fdca086a0cb8a3b22,eddf16489b7e0a298997ead23488192ef1b271580cce739c0e18148b5e66014d,0.14309506077133882,0.00888037503788078,False,False,True,True,True,True,True,True,True,True,False,0.14309506077133882,0.14309506077133882
A0,14030,A0_seed_14030,-34.785701751708984,-8.696425437927246,0.02595408260822296,True,0.8608730889973231,22,MnFe,Fe-Mn,022fec51b63a28d37f0505bd835628d9d997bd9cbd7a22a73b9b65c28efa3d30,a654d53c383e01f5698ef89ba77eee165e673216ab7d583b39df87061e827d10,0.13250883692281867,0.00915450997032743,False,False,True,True,True,False,False,True,True,False,True,0.13250883692281867,0.13250883692281867
A0,14031,A0_seed_14031,-55.926448822021484,-6.9908061027526855,0.045178160071372986,True,0.7190033079823479,25,Al2(FeCo)3,Al-Co-Fe,6bbf1a17ca9cdf8498dfdf1ea698a8ca4073719afd051f86f95d46d26882b6d3,0a726376c6e9a0308c597b6e605104bbba843ea2ac210950c61fd26115569b14,0.1396159302300246,0.021213970272318458,False,False,True,True,True,True,True,True,True,True,True,0.1396159302300246,0.1298078477500244
