method,generation_success_rate,generation_composition_validity,generation_structure_validity,relax_success_rate,force_convergence_rate,formula_diversity,chemical_system_diversity,median_generation_seconds,mean_relax_seconds,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_comp_validity,avg_structure_comp_validity,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall
A0,1.0,0.9375,1.0,1.0,0.96875,0.96875,0.90625,145.9635100674932,2.3588874283486803,0.14378269095304885,0.08685752888839599,0.15625,0.4375,1.0,0.9375,0.9375,1.0,0.5625,0.15625,0.5625,0.96875,0.90625,0.4375,7.683242375563979e-05
P1,1.0,0.875,1.0,1.0,0.96875,1.0,1.0,143.38176196350832,2.3692418191603792,0.14756908501460705,0.06194724605029518,0.21875,0.375,1.0,0.875,0.875,1.0,0.78125,0.25,0.78125,1.0,1.0,0.21875,3.664315594499744e-05
