phase,step,epoch,loss_train_step,loss_diffusion_train_step,loss_repa_alignment_train_step,loss_repa_weighted_train_step,loss_train_epoch,loss_diffusion_train_epoch,loss_repa_alignment_train_epoch,loss_repa_weighted_train_epoch,loss_val
V1-S,9,0,1.2787415981292725,0.4526787996292114,8.260628700256348,0.8260628581047058,,,,,
V1-S,19,0,1.11593759059906,0.3559520840644836,7.599855899810791,0.759985625743866,,,,,
V1-S,29,0,1.1223030090332031,0.4081735908985138,7.141294956207275,0.7141295075416565,,,,,
V1-S,39,0,1.0470839738845823,0.3808215260505676,6.662624359130859,0.6662623882293701,,,,,
V1-S,49,0,1.0007963180541992,0.3671495020389557,6.336467266082764,0.6336467266082764,,,,,
V1-S,50,0,,,,,1.1120917797088623,0.3707790672779083,7.413125991821289,0.7413125038146973,
V1-S,59,1,0.9157527089118958,0.3190925121307373,5.966602325439453,0.5966601967811584,,,,,
V1-S,69,1,1.0047053098678589,0.3934090137481689,6.112963676452637,0.6112963557243347,,,,,
V1-S,79,1,0.8817554116249084,0.3371365666389465,5.446187973022461,0.5446187853813171,,,,,
V1-S,89,1,0.8511382341384888,0.3597888350486755,4.913493633270264,0.4913493990898132,,,,,
V1-S,99,1,0.813118577003479,0.3297941088676452,4.833244323730469,0.4833244979381561,,,,,
V1-S,101,1,,,,,0.927679479122162,0.3706408441066742,5.57038688659668,0.5570387244224548,
V1-S,109,2,0.8902305960655212,0.3905930519104004,4.996375560760498,0.4996375441551208,,,,,
V1-S,119,2,0.8329707980155945,0.360474944114685,4.724958896636963,0.4724958837032318,,,,,
V1-S,129,2,0.7765907049179077,0.3480925858020782,4.28498125076294,0.4284981191158294,,,,,
V1-S,139,2,0.7611529231071472,0.3367779850959778,4.243749141693115,0.4243749380111694,,,,,
V1-S,149,2,0.7389780282974243,0.3117830157279968,4.2719502449035645,0.4271950423717499,,,,,
V1-S,152,2,,,,,0.8103567361831665,0.3533381223678589,4.570185661315918,0.4570185840129852,
V1-S,159,3,0.7257198095321655,0.3023815751075744,4.233382701873779,0.4233382940292358,,,,,
V1-S,169,3,0.7232085466384888,0.3360871076583862,3.871213436126709,0.3871213793754577,,,,,
V1-S,179,3,0.789673388004303,0.3575711250305176,4.321022987365723,0.4321022629737854,,,,,
V1-S,189,3,0.7884619235992432,0.3804603815078735,4.080015182495117,0.4080015122890472,,,,,
V1-S,199,3,0.6958885192871094,0.3260876536369324,3.698008298873901,0.3698008358478546,,,,,
V1-S,203,3,,,,,0.7364819645881653,0.3389922976493835,3.974896192550659,0.3974896371364593,
V1-S,209,4,0.7190443873405457,0.3291109204292297,3.899334669113159,0.3899334669113159,,,,,
V1-S,219,4,0.7262759208679199,0.3721967339515686,3.5407919883728027,0.3540792167186737,,,,,
V1-S,229,4,0.7224398851394653,0.3447856903076172,3.7765419483184814,0.3776541948318481,,,,,
V1-S,239,4,0.6977465748786926,0.3089843094348907,3.8876218795776367,0.3887622058391571,,,,,
V1-S,249,4,0.7463499307632446,0.3656767010688782,3.806732177734375,0.3806732594966888,,,,,
V1-S,249,4,,,,,,,,,0.3330973982810974
V1-S,254,4,,,,,0.7141517400741577,0.3470847606658935,3.6706693172454834,0.3670669198036194,
V1-S,259,5,0.678257167339325,0.356205403804779,3.220517635345459,0.3220517635345459,,,,,
V1-S,269,5,0.7630146741867065,0.4147438704967499,3.4827077388763428,0.3482708036899566,,,,,
V1-S,279,5,0.7272319793701172,0.3716071248054504,3.556248426437378,0.3556248545646667,,,,,
V1-S,289,5,0.6779438257217407,0.343638002872467,3.343057870864868,0.3343058228492737,,,,,
V1-S,299,5,0.6199706196784973,0.3119494020938873,3.080212354660034,0.3080212473869324,,,,,
V1-S,305,5,,,,,0.6768890023231506,0.3425118625164032,3.3437721729278564,0.3343771994113922,
V1-S,309,6,0.6214614510536194,0.304388165473938,3.1707329750061035,0.3170732855796814,,,,,
V1-S,319,6,0.6747291088104248,0.3252903521060943,3.494386672973633,0.3494386970996856,,,,,
V1-S,329,6,0.6788033843040466,0.3623676002025604,3.164357662200928,0.3164357542991638,,,,,
V1-S,339,6,0.7087908387184143,0.3801202476024627,3.2867064476013184,0.3286706209182739,,,,,
V1-S,349,6,0.6635137796401978,0.3508869409561157,3.1262683868408203,0.312626838684082,,,,,
V1-S,356,6,,,,,0.6583090424537659,0.3383665978908539,3.199425220489502,0.3199425041675567,
V1-S,359,7,0.6399962306022644,0.3297060132026672,3.10290265083313,0.3102902770042419,,,,,
V1-S,369,7,0.7589982748031616,0.4536019265651703,3.053963661193848,0.3053963482379913,,,,,
V1-S,379,7,0.6191869974136353,0.325519859790802,2.9366719722747803,0.293667197227478,,,,,
V1-S,389,7,0.6857799291610718,0.3570055365562439,3.2877440452575684,0.3287743926048279,,,,,
V1-S,399,7,0.668753445148468,0.3580145239830017,3.107389450073242,0.3107389509677887,,,,,
V1-S,407,7,,,,,0.6473937630653381,0.3413556516170501,3.0603811740875244,0.3060381114482879,
V1-S,409,8,0.601935625076294,0.307461678981781,2.9447388648986816,0.2944739162921905,,,,,
V1-S,419,8,0.6712315678596497,0.347389280796051,3.2384226322174072,0.3238422870635986,,,,,
V1-S,429,8,0.6219632029533386,0.3041746020317077,3.1778860092163086,0.3177886307239532,,,,,
V1-S,439,8,0.6408822536468506,0.3359456062316894,3.0493667125701904,0.3049366772174835,,,,,
V1-S,449,8,0.6010570526123047,0.3345414102077484,2.665156126022339,0.2665156722068786,,,,,
V1-S,458,8,,,,,0.6395636200904846,0.3448447287082672,2.947188138961792,0.2947188317775726,
V1-S,459,9,0.7290418148040771,0.4299699962139129,2.9907188415527344,0.2990718483924866,,,,,
V1-S,469,9,0.6324006915092468,0.3285031914710998,3.03897476196289,0.303897500038147,,,,,
V1-S,479,9,0.6125169992446899,0.3653788566589355,2.471381664276123,0.2471381872892379,,,,,
V1-S,489,9,0.6639827489852905,0.3173334896564483,3.4664926528930664,0.3466492891311645,,,,,
V1-S,499,9,0.5323362350463867,0.2676118016242981,2.6472439765930176,0.2647244334220886,,,,,
V1-S,499,9,,,,,,,,,0.3055188059806824
V1-S,509,9,0.7165399789810181,0.4012283980846405,3.1531167030334477,0.3153117001056671,,,,,
V1-S,509,9,,,,,0.6310000419616699,0.3493821024894714,2.816180467605591,0.2816179990768432,
V1-S,519,10,0.6337323188781738,0.3489004969596863,2.848317623138428,0.2848317921161651,,,,,
V1-S,529,10,0.664344847202301,0.3208095729351043,3.435352563858032,0.3435352742671966,,,,,
V1-S,539,10,0.6050769686698914,0.3156678378582001,2.8940911293029785,0.2894091606140136,,,,,
V1-S,549,10,0.6665778160095215,0.3585827350616455,3.0799503326416016,0.3079950511455536,,,,,
V1-S,559,10,0.6397061347961426,0.3505247235298157,2.8918137550354004,0.2891813814640045,,,,,
V1-S,560,10,,,,,0.6132811903953552,0.3345827460289001,2.786984205245972,0.2786984443664551,
V1-S,569,11,0.5339198708534241,0.2754018604755401,2.5851800441741943,0.2585180103778839,,,,,
V1-S,579,11,0.5851669907569885,0.3667643666267395,2.1840267181396484,0.2184026837348938,,,,,
V1-S,589,11,0.5426127910614014,0.2770441174507141,2.655686378479004,0.2655686438083648,,,,,
