selection,n,cfg2_property_mae,selected_property_mae,cfg2_normalized_objective,selected_normalized_objective,property_objective_improvement_fraction,cfg2_e_hull,selected_e_hull,cfg2_stable,selected_stable,cfg2_nus,selected_nus,cfg2_validity,selected_validity
short_oracle_vs_cfg2,256,0.05941386527409728,0.047570729070635254,1.218746632832393,0.587320095893388,0.5180950001655031,0.15155366525808964,0.16135892760910642,0.4375,0.4296875,0.140625,0.1328125,0.93359375,0.98828125
full_oracle_vs_cfg2,64,0.030445859447639376,0.02215783712700084,0.30445859447639423,0.2215783712700089,0.2722216574274152,0.1062356987366641,0.11301517591353855,0.46875,0.421875,0.109375,0.125,1.0,1.0
short_selected_full_vs_cfg2,64,0.030445859447639376,0.032547648507705036,0.30445859447639423,0.32547648507705085,-0.06903365837579012,0.1062356987366641,0.12081522441461898,0.46875,0.46875,0.109375,0.171875,1.0,1.0
