branch_id,outcome_kind,seed,decision_ordinal,sampling_step,decision_t_norm,candidate_action,candidate_cfg,formula,num_atoms,geometric_valid,minimum_periodic_distance_angstrom,validity_reason,chgnet_success,chgnet_mag_density,target_mag_density,property_absolute_error,normalized_property_error,oracle_objective,structure_valid,surrogate_property_eval,dft_verified,e_hull,stable,nus,novel,unique,rmsd,pre_relaxation_max_force,relaxation_steps,quality_success,evaluation_valid
816023:250:UP:SHORT,SHORT,816023,1.0,250.0,0.75,UP,2.25,Co5Eu,6,True,0.9295401894681558,,True,0.1679424041788597,0.1,0.0679424041788597,0.6794240417885977,0.6794240417885977,True,True,False,0.2355203426236976,False,False,True,False,1.276906423726905,482.0859680175781,144.0,True,True
816023:400:DOWN:SHORT,SHORT,816023,2.0,400.0,0.5999999642372131,DOWN,1.75,Co6,6,True,1.1523733516850725,,True,0.1123633650496927,0.1,0.0123633650496927,0.1236336504969276,0.1236336504969276,True,True,False,0.03418805460286389,True,False,False,True,0.9081066930263414,144.38970947265625,103.0,True,True
816023:400:KEEP:SHORT,SHORT,816023,2.0,400.0,0.5999999642372131,KEEP,2.0,Co5Fe,6,True,1.3308966255638988,,True,0.1398682170584541,0.1,0.039868217058454,0.3986821705845408,0.3986821705845408,True,True,False,0.06789465724934818,True,False,False,True,1.1457456561056707,60.95863342285156,70.0,True,True
816023:400:UP:SHORT,SHORT,816023,2.0,400.0,0.5999999642372131,UP,2.25,Co5Fe,6,True,1.3559765395236052,,True,0.1222605814976002,0.1,0.0222605814976002,0.2226058149760024,0.2226058149760024,True,True,False,0.06913379807779929,True,False,False,True,1.1680220945891278,65.67056274414062,89.0,True,True
816023:550:DOWN:SHORT,SHORT,816023,3.0,550.0,0.4500000178813934,DOWN,1.75,Co6,6,True,1.989011713498727,,True,0.1265010107189713,0.1,0.0265010107189713,0.2650101071897132,0.2650101071897132,True,True,False,0.04681088785481702,True,False,False,True,0.8341755472823682,3.1493208408355717,82.0,True,True
816023:550:KEEP:SHORT,SHORT,816023,3.0,550.0,0.4500000178813934,KEEP,2.0,Co6,6,True,1.9096209834114168,,True,0.1195655959769809,0.1,0.0195655959769809,0.1956559597698093,0.1956559597698093,True,True,False,0.046854121090494694,True,False,False,True,0.8533940363354273,5.333749771118164,104.0,True,True
816023:550:UP:SHORT,SHORT,816023,3.0,550.0,0.4500000178813934,UP,2.25,Co6,6,True,1.8428709513167447,,True,0.1149314121451646,0.1,0.0149314121451646,0.1493141214516467,0.1493141214516467,True,True,False,0.047152939042968356,True,False,False,True,1.060921022902612,6.215545177459717,73.0,True,True
816023:700:DOWN:SHORT,SHORT,816023,4.0,700.0,0.3000000119209289,DOWN,1.75,Co4Ga2,6,True,2.29735829458423,,True,0.042614180805633,0.1,0.0573858191943669,0.5738581919436699,0.5738581919436699,True,True,False,0.04937881758951779,True,False,False,True,0.3034340262501506,0.3494040369987488,74.0,True,True
816023:700:KEEP:SHORT,SHORT,816023,4.0,700.0,0.3000000119209289,KEEP,2.0,Co4FeMn,6,True,2.298754314026568,,True,0.1668842595801209,0.1,0.0668842595801209,0.6688425958012095,0.6688425958012095,True,True,False,0.08694130476725181,True,True,True,True,0.31892560438804307,0.3047622442245483,68.0,True,True
816023:700:UP:SHORT,SHORT,816023,4.0,700.0,0.3000000119209289,UP,2.25,Co4FeMn,6,True,2.2826851092569376,,True,0.165117006476569,0.1,0.065117006476569,0.6511700647656904,0.6511700647656904,True,True,False,0.08691396610351543,True,True,True,True,0.3169924582334091,0.3066306710243225,54.0,True,True
816023:800:DOWN:SHORT,SHORT,816023,5.0,800.0,0.2000000029802322,DOWN,1.75,Co4Ga2,6,True,2.307015316039001,,True,0.0420362564099656,0.1,0.0579637435900343,0.5796374359003437,0.5796374359003437,True,True,False,0.12058967879557247,False,False,False,False,0.006504483572531386,0.2180022746324539,27.0,True,True
816023:800:KEEP:SHORT,SHORT,816023,5.0,800.0,0.2000000029802322,KEEP,2.0,Co4Ga2,6,True,2.307083053714114,,True,0.0420286117278367,0.1,0.0579713882721632,0.5797138827216328,0.5797138827216328,True,True,False,0.12058204940104122,False,False,False,True,0.006414401991634168,0.2188847810029983,27.0,True,True
816023:800:UP:SHORT,SHORT,816023,5.0,800.0,0.2000000029802322,UP,2.25,Co4Ga2,6,True,2.313419755034217,,True,0.0423811198817351,0.1,0.0576188801182648,0.5761888011826488,0.5761888011826488,True,True,False,0.12061638167643185,False,False,False,True,0.005507673450872492,0.1876208335161209,26.0,True,True
816023:900:DOWN:SHORT,SHORT,816023,6.0,900.0,0.1000000014901161,DOWN,1.75,Co5Ga,6,True,2.4551543782204264,,True,0.1089864188027208,0.1,0.0089864188027208,0.089864188027208,0.089864188027208,True,True,False,0.04442606762695256,True,False,False,True,0.03244496615382798,0.411091536283493,41.0,True,True
816023:900:KEEP:SHORT,SHORT,816023,6.0,900.0,0.1000000014901161,KEEP,2.0,Co5Ga,6,True,2.447107033768267,,True,0.108634674349766,0.1,0.008634674349766,0.0863467434976605,0.0863467434976605,True,True,False,0.044438783284504346,True,False,False,True,0.027237324690998016,0.3232479393482208,38.0,True,True
816023:900:UP:SHORT,SHORT,816023,6.0,900.0,0.1000000014901161,UP,2.25,Co5Ga,6,True,2.4240986060559,,True,0.1056797441619588,0.1,0.0056797441619588,0.0567974416195882,0.0567974416195882,True,True,False,0.044424160278319746,True,False,False,True,0.020768554065815334,0.1459661871194839,16.0,True,True
816023:950:DOWN:SHORT,SHORT,816023,7.0,950.0,0.050000000745058,DOWN,1.75,Co4Ga2,6,True,2.4711732097210097,,True,0.052645676912596,0.1,0.0473543230874039,0.4735432308740393,0.4735432308740393,True,True,False,0.04938835433268185,True,False,False,False,1.1404266659300153,0.0952842980623245,36.0,True,True
816023:950:KEEP:SHORT,SHORT,816023,7.0,950.0,0.050000000745058,KEEP,2.0,Co4Ga2,6,True,2.4709875951377898,,True,0.0526849047363497,0.1,0.0473150952636503,0.473150952636503,0.473150952636503,True,True,False,0.04938835433268185,True,False,False,False,1.1404530929782961,0.0971321687102317,36.0,True,True
816023:950:UP:SHORT,SHORT,816023,7.0,950.0,0.050000000745058,UP,2.25,Co4Ga2,6,True,2.4708154466151284,,True,0.0527214071919963,0.1,0.0472785928080036,0.4727859280800367,0.4727859280800367,True,True,False,0.04938835433268185,True,False,False,False,1.1404823372978312,0.1005667969584465,36.0,True,True
816024:100:DOWN:SHORT,SHORT,816024,0.0,100.0,0.8999999761581421,DOWN,1.75,B6Mn14,20,False,0.2042233875684237,minimum_distance_below_0.5A,False,,0.1,,,10.0,False,True,False,,False,False,False,False,,,,False,False
816024:100:KEEP:SHORT,SHORT,816024,0.0,100.0,0.8999999761581421,KEEP,2.0,B7Mn13,20,False,,nonpositive_or_small_cell,False,,0.1,,,10.0,False,True,False,,False,False,False,False,,,,False,False
816024:100:UP:SHORT,SHORT,816024,0.0,100.0,0.8999999761581421,UP,2.25,B5Mn15,20,False,0.457508962779934,minimum_distance_below_0.5A,False,,0.1,,,10.0,False,True,False,,False,False,False,False,,,,False,False
816024:250:DOWN:SHORT,SHORT,816024,1.0,250.0,0.75,DOWN,1.75,B5Mn13Si2,20,False,0.4479499763234721,minimum_distance_below_0.5A,False,,0.1,,,10.0,False,True,False,,False,False,False,False,,,,False,False
