seed,C0_formula,C0_num_atoms,C0_maxF_ev_per_a,C0_atomic_force_mean_ev_per_a,C0_rmsd_a,C0_e_hull_ev_per_atom,C0_stable,C0_nus,C0_novel,C0_unique,C0_mag_density_a3,C0_mag_absolute_error_a3,C0_mag_hit,C0_valid,C0_minimum_periodic_distance_a,C0_generation_seconds,C0_end_to_end_generation_seconds,C0_mattergen_score_calls,C0_guidance_calls,C0_guidance_accepted,C0_guidance_fallbacks,C0_guidance_seconds,C0_relaxation_steps,C0_surrogate_property_eval,C0_dft_verified,C0_actual_mattersim_calls,C0_failed_mattersim_calls,C0_peak_allocated_bytes,C0_initial_mattersim_calls,C0_candidate_mattersim_calls,C0_retry_mattersim_calls,C0_failed_candidate_calls,A0_formula,A0_num_atoms,A0_maxF_ev_per_a,A0_atomic_force_mean_ev_per_a,A0_rmsd_a,A0_e_hull_ev_per_atom,A0_stable,A0_nus,A0_novel,A0_unique,A0_mag_density_a3,A0_mag_absolute_error_a3,A0_mag_hit,A0_valid,A0_minimum_periodic_distance_a,A0_generation_seconds,A0_end_to_end_generation_seconds,A0_mattergen_score_calls,A0_guidance_calls,A0_guidance_accepted,A0_guidance_fallbacks,A0_guidance_seconds,A0_relaxation_steps,A0_surrogate_property_eval,A0_dft_verified,A0_actual_mattersim_calls,A0_failed_mattersim_calls,A0_peak_allocated_bytes,A0_initial_mattersim_calls,A0_candidate_mattersim_calls,A0_retry_mattersim_calls,A0_failed_candidate_calls,B0_formula,B0_num_atoms,B0_maxF_ev_per_a,B0_atomic_force_mean_ev_per_a,B0_rmsd_a,B0_e_hull_ev_per_atom,B0_stable,B0_nus,B0_novel,B0_unique,B0_mag_density_a3,B0_mag_absolute_error_a3,B0_mag_hit,B0_valid,B0_minimum_periodic_distance_a,B0_generation_seconds,B0_end_to_end_generation_seconds,B0_mattergen_score_calls,B0_guidance_calls,B0_guidance_accepted,B0_guidance_fallbacks,B0_guidance_seconds,B0_relaxation_steps,B0_surrogate_property_eval,B0_dft_verified,B0_actual_mattersim_calls,B0_failed_mattersim_calls,B0_peak_allocated_bytes,B0_initial_mattersim_calls,B0_candidate_mattersim_calls,B0_retry_mattersim_calls,B0_failed_candidate_calls,AB_formula,AB_num_atoms,AB_maxF_ev_per_a,AB_atomic_force_mean_ev_per_a,AB_rmsd_a,AB_e_hull_ev_per_atom,AB_stable,AB_nus,AB_novel,AB_unique,AB_mag_density_a3,AB_mag_absolute_error_a3,AB_mag_hit,AB_valid,AB_minimum_periodic_distance_a,AB_generation_seconds,AB_end_to_end_generation_seconds,AB_mattergen_score_calls,AB_guidance_calls,AB_guidance_accepted,AB_guidance_fallbacks,AB_guidance_seconds,AB_relaxation_steps,AB_surrogate_property_eval,AB_dft_verified,AB_actual_mattersim_calls,AB_failed_mattersim_calls,AB_peak_allocated_bytes,AB_initial_mattersim_calls,AB_candidate_mattersim_calls,AB_retry_mattersim_calls,AB_failed_candidate_calls
744000,HCo2Fe9,12,0.40618790860433374,0.25113557994496466,0.3151706923474108,0.13153871861100264,False,False,True,True,0.19199035763916142,0.008009642360838592,True,True,1.8349377381461103,84.96431704302086,84.96431704302086,2000,0,0,0,0.0,223,True,False,0,0,314828288,0,0,0,0,Co2Fe10,12,0.06263708204489493,0.031472578312239353,0.0014658901054847898,0.011306770265626653,True,False,False,True,0.2038335805701018,0.003833580570101802,True,True,2.457023224590992,85.29939048399683,85.29939048399683,2000,0,0,0,0.0,12,True,False,0,0,314883072,0,0,0,0,HCo2Fe9,12,0.3221123500447088,0.20194257501729243,0.3097829925489575,0.13139058120052116,False,False,True,True,0.19224105293496485,0.00775894706503516,True,True,1.831260773030475,85.63257478299784,85.89018591400236,2000,20,20,0,1.3525395800243132,240,True,False,20,0,400801280,20,0,0,0,Co2Fe10,12,0.019370419665817772,0.012066403850292116,0.0006878891458269144,0.011277524253257454,True,False,False,True,0.2038649670457095,0.0038649670457094887,True,True,2.4573744926785985,86.0554838560056,86.18179531500209,2000,20,20,0,0.7073286779923365,12,True,False,20,0,446946304,20,0,0,0
744001,Bi2Gd5O,8,0.13411656395238658,0.08619150865099132,0.04849693820887892,0.12818320334310052,False,False,True,True,0.15253915925995828,0.047460840740041726,False,True,2.380617203355313,83.66914986801567,83.66914986801567,2000,0,0,0,0.0,29,True,False,0,0,288411648,0,0,0,0,Gd5O3,8,0.6366899619301271,0.45054275514647213,0.21988553668170222,0.08604010177001875,True,True,True,True,0.18410353371816057,0.01589646628183944,False,True,2.197622847113337,83.7951833899715,83.7951833899715,2000,0,0,0,0.0,51,True,False,0,0,287061504,0,0,0,0,Bi2Gd5O,8,0.10158567489162484,0.06462200651201723,0.040392002146525385,0.1282575899397802,False,False,True,True,0.15255895586807364,0.047441044131926374,False,True,2.375744601055858,83.79349940101383,84.0514546270133,2000,20,20,0,0.9077189200324938,24,True,False,20,0,353409024,20,0,0,0,Gd5O3,8,0.7574379113398325,0.40724474074237504,0.9322415373592376,0.08594759536132734,True,True,True,True,0.18382436104860939,0.016175638951390625,False,True,2.200798421626581,85.03863885696046,85.18051885999739,2000,20,20,0,1.1232104639639147,42,True,False,20,0,393421312,20,0,0,0
744002,Co4Fe6,10,0.0838324032328425,0.0377516573785506,0.0016317804631005204,0.0530364442148441,True,False,False,True,0.19648591502420554,0.0035140849757944737,True,True,2.4425491925788805,84.33307933801552,84.33307933801552,2000,0,0,0,0.0,21,True,False,0,0,302725120,0,0,0,0,Gd8Tl2,10,0.1586735406721379,0.0909510143459943,0.054449090418636686,0.04333971326562569,True,True,True,True,0.17761487754917102,0.022385122450828993,False,True,3.1571694588318913,84.910923071031,84.910923071031,2000,0,0,0,0.0,28,True,False,0,0,300477952,0,0,0,0,Co4Fe6,10,0.021084018611986662,0.012643505838407704,0.000349039397032708,0.053012793091797406,True,False,False,True,0.19637340891364996,0.0036265910863500506,True,True,2.440017238499521,85.1562463149894,85.40531903703231,2000,20,20,0,1.3376143180648796,7,True,False,20,0,392255488,20,0,0,0,Gd8Tl2,10,0.14372372954616439,0.079335804474686,0.04842717846207677,0.043287833382812835,True,True,True,True,0.17772061043052492,0.02227938956947509,False,True,3.1575440624651043,85.21961998898769,85.34280140796909,2000,20,20,0,0.6694707949063741,28,True,False,20,0,406837760,20,0,0,0
744003,Co5Fe11N3,19,0.7711213348276782,0.287515824251895,0.05511519725969648,0.13156906473889762,False,False,True,True,0.14957540031380764,0.05042459968619237,False,True,1.7585893371830545,84.81447313696845,84.81447313696845,2000,0,0,0,0.0,68,True,False,0,0,365235200,0,0,0,0,Co3Fe16,19,0.28710396058565596,0.12005183308114738,0.01762641024550648,0.10721696843708983,False,False,True,True,0.1990065764661708,0.000993423533829224,True,True,2.420759968946043,85.26664026698563,85.26664026698563,2000,0,0,0,0.0,43,True,False,0,0,365353984,0,0,0,0,Co5Fe11N3,19,0.5824397753697449,0.25235421842304934,0.05343949629933093,0.1315265007483557,False,False,True,True,0.14942996119669097,0.05057003880330904,False,True,1.7657831377281283,85.95720480196178,86.27465863496764,2000,20,20,0,1.3844427880831063,78,True,False,20,0,461230592,20,0,0,0,Co3Fe16,19,0.21989979222394754,0.08712238923694463,0.01259354900965824,0.1072025127421874,False,False,True,True,0.1991986752198841,0.0008013247801159085,True,True,2.425995016798391,86.24494542303728,86.38815899501787,2000,20,20,0,0.7016833878005855,47,True,False,20,0,511218176,20,0,0,0
744004,HCoFe10,12,0.46955044645060456,0.2144150470089334,0.14067162363657354,0.1122719930989593,False,False,True,True,0.20180882694117205,0.0018088269411720426,True,True,1.7051228366944693,83.97368135699071,83.97368135699071,2000,0,0,0,0.0,103,True,False,0,0,323482112,0,0,0,0,Co4Fe8,12,0.2965614996205696,0.15772891396531816,0.03665384092513391,0.18841027356282591,False,False,True,True,0.19060074217571527,0.009399257824284746,True,True,2.4096038843802914,84.0849523540237,84.0849523540237,2000,0,0,0,0.0,40,True,False,0,0,315312128,0,0,0,0,HCoFe10,12,0.4361987009177374,0.20516590497511134,0.12587527333341222,0.11221858733724055,False,False,True,True,0.20177154371818276,0.0017715437181827498,True,True,1.704746265587259,84.74562038399745,85.00898980000056,2000,20,20,0,1.3304202278959565,84,True,False,20,0,410766336,20,0,0,0,Co4Fe8,12,0.23794619907097592,0.13053324690544443,0.0323687031504851,0.1883912000764978,False,False,True,True,0.19072007773339308,0.009279922266606927,True,True,2.4120444442378504,85.15551609004615,85.30119468603516,2000,20,20,0,0.6992008011438884,40,True,False,20,0,442015232,20,0,0,0
744005,Co3Fe7,10,0.11774758951075433,0.04812281981128232,0.0033097421967663255,0.031114956228517343,True,True,True,True,0.19877312026363816,0.0012268797363618467,True,True,2.454304960839542,84.53871996502858,84.53871996502858,2000,0,0,0,0.0,24,True,False,0,0,304540160,0,0,0,0,Co3Fe7,10,0.10895793512528171,0.03877014264418897,0.0030039497654548437,0.026793667166016277,True,True,True,True,0.1988738011954323,0.001126198804567713,True,True,2.462860299611705,85.19646027800627,85.19646027800627,2000,0,0,0,0.0,23,True,False,0,0,300477952,0,0,0,0,Co3Fe7,10,0.06485864506546371,0.02923862229892501,0.0007849965356350971,0.031115719167969402,True,True,True,True,0.1986864233384891,0.0013135766615109123,True,True,2.4516382210784355,84.9135765809915,85.16982169699622,2000,20,20,0,0.9150310870609246,13,True,False,20,0,391991296,20,0,0,0,Co3Fe7,10,0.03868714744473285,0.012727970066542218,0.001409381882049016,0.026782986013673238,True,True,True,True,0.19877474930155495,0.0012252506984450628,True,True,2.458827095231089,85.86138743098127,85.9908889469807,2000,20,20,0,0.6961358789121732,7,True,False,20,0,428393984,20,0,0,0
744006,Fe8Mn2,10,0.1458041371277523,0.08453242696003342,0.0033055134627595086,0.04693778764426071,True,False,False,True,0.18691966037170965,0.01308033962829036,False,True,2.444913826909407,84.8137350170291,84.8137350170291,2000,0,0,0,0.0,24,True,False,0,0,302218240,0,0,0,0,Fe9Mn,10,0.06783335860222829,0.03522394006821776,0.003837159786931975,0.02269382377330409,True,True,True,True,0.20662987856133969,0.006629878561339675,True,True,2.4546765674925357,84.87525896099396,84.87525896099396,2000,0,0,0,0.0,16,True,False,0,0,301711872,0,0,0,0,Fe8Mn2,10,0.06465730278127212,0.04508819322495752,0.0011295703383612775,0.046953809372777044,True,False,False,True,0.18745999665323645,0.012540003346763556,False,True,2.449767990838237,85.11722874897532,85.42859515995951,2000,20,20,0,1.3141139290528372,13,True,False,20,0,396335616,20,0,0,0,Fe9Mn,10,0.017237389984408893,0.00992280554458599,0.0010248719295785384,0.02266635795299088,True,True,True,True,0.20663111605972143,0.006631116059721415,True,True,2.4554104463250046,85.74248531303601,85.86615601705853,2000,20,20,0,0.6821170930052176,10,True,False,20,0,430385152,20,0,0,0
744007,Fe14O,15,0.9574725076840076,0.3825998881632252,0.12239179633697667,1.2464669452330748,False,False,True,True,0.2001785399903243,0.00017853999032430012,True,True,1.8343013698364838,84.7301439520088,84.7301439520088,2000,0,0,0,0.0,87,True,False,0,0,339705856,0,0,0,0,Fe15,15,0.03934009801457668,0.025405566933754117,0.0,-0.007848459596353052,True,False,False,True,0.2117100331152809,0.011710033115280877,False,True,2.4578424566222834,84.89831315801712,84.89831315801712,2000,0,0,0,0.0,18,True,False,0,0,336795648,0,0,0,0,Fe14O,15,0.8700942432130309,0.3420618914071106,0.12070539791846324,1.2464811867695325,False,False,True,True,0.20019347986835592,0.00019347986835591136,True,True,1.8335052505195852,84.92981815995881,85.25087546900613,2000,20,20,0,1.0619906479259953,87,True,False,20,0,425452032,20,0,0,0,Fe15,15,0.008959034801059767,0.0052762468534163255,0.0,-0.007863718385415552,True,False,False,True,0.21171775826746664,0.011717758267466627,False,True,2.460139456593032,86.86370785400504,87.01295811298769,2000,20,20,0,0.9873548710602336,18,True,False,20,0,476645888,20,0,0,0
744008,Co3Fe5,8,0.11719176633601014,0.0559744933579765,0.004441258873329621,0.03513801060302768,True,False,False,True,0.19663255795001822,0.0033674420499817947,True,True,2.4640362146614483,83.83922930603148,83.83922930603148,2000,0,0,0,0.0,26,True,False,0,0,286901248,0,0,0,0,Fe8,8,0.027329702407916923,0.015293884409861612,0.0,-0.00785545320800729,True,False,False,False,0.21258684694758986,0.012586846947589853,False,True,2.476282375064883,84.37693358497927,84.37693358497927,2000,0,0,0,0.0,23,True,False,0,0,287032320,0,0,0,0,Co3Fe5,8,0.05154475806763186,0.024729652978448737,0.0011557075026668192,0.03514420948608432,True,False,False,True,0.19645357247847062,0.003546427521529394,True,True,2.46012729096614,84.03181725903414,84.80228465900291,2000,20,20,0,0.9005037488532253,14,True,False,20,0,374302720,20,0,0,0,Fe8,8,0.01024671711857022,0.006950472719452802,0.0,-0.007861175253905728,True,False,False,False,0.21258930771511983,0.012589307715119818,False,True,2.4778622475261534,84.95988159702392,85.15157607599394,2000,20,20,0,0.6870977569487877,23,True,False,20,0,410705408,20,0,0,0
744009,Co4Fe4,8,0.11305871381416914,0.055899407427210876,0.004045309346058267,0.05352234262451194,True,False,False,True,0.19160294344476228,0.00839705655523773,True,True,2.433418300122508,84.21948973299004,84.21948973299004,2000,0,0,0,0.0,26,True,False,0,0,286580224,0,0,0,0,Co4Fe4,8,0.11953940802809172,0.056009578711703256,0.0035913018189869493,0.05353235620483421,True,False,False,True,0.19175429164244764,0.008245708357552367,True,True,2.4307801667787325,84.55909960798454,84.55909960798454,2000,0,0,0,0.0,25,True,False,0,0,287651328,0,0,0,0,Co4Fe4,8,0.05494660327502784,0.024118792099068406,0.0008282027304462893,0.05352854150756858,True,False,False,True,0.19148901544512661,0.008510984554873396,True,True,2.4269159383952066,84.37699475500267,84.63405356102157,2000,20,20,0,1.0441454339306802,14,True,False,20,0,374922752,20,0,0,0,Co4Fe4,8,0.04770598873608323,0.023038225508028996,0.000657152825894775,0.053524249973144755,True,False,False,True,0.1915996446209179,0.008400355379082097,True,True,2.42657113593257,85.36769601900596,85.51685613999143,2000,20,20,0,0.9994032729882747,14,True,False,20,0,411177472,20,0,0,0
