method,n,maxF_mean_ev_per_a,maxF_median_ev_per_a,maxF_p95_ev_per_a,atomic_force_mean_ev_per_a,rmsd_mean_a,e_hull_mean_ev_per_atom,stable_fraction,nus_fraction,novel_fraction,unique_fraction,mag_mae_a3,mag_hit_fraction,validity_fraction,minimum_distance_min_a,relaxation_steps_mean,surrogate_property_eval,dft_verified,maxF_p75_ev_per_a,maxF_p90_ev_per_a,maxF_max_ev_per_a,high_maxF_gt_0_2_fraction,generation_seconds_mean,end_to_end_seconds_mean,mattergen_score_calls_mean,actual_mattersim_calls_mean,actual_mattersim_calls_total,failed_mattersim_calls_total,peak_allocated_gib_max,fallback_total
C0,64,0.21892229194678153,0.1164765523019398,0.8801742732267027,0.10379795544010365,0.05853177011907672,0.12034213107736251,0.671875,0.21875,0.5625,0.8125,0.010561343160587794,0.65625,1.0,1.6094908028122172,56.0625,True,False,0.24008530425318228,0.5468982053636984,1.120167353749776,0.28125,113.58640703084257,113.58640703084257,2000.0,0.0,0,0,0.3487129211425781,0
A0,64,0.2396292507373313,0.14281653562738045,0.7645404081516148,0.11682022360401459,0.04916220240204962,0.0908531965650875,0.828125,0.265625,0.453125,0.6875,0.009705702117097856,0.6875,1.0,1.6139750540557494,44.34375,True,False,0.28946834534438437,0.4909602917105788,1.5810298450452407,0.3125,107.00548012142644,107.00548012142644,2000.0,0.0,0,0,0.35179615020751953,0
B0,64,0.1718331201637206,0.062412449195717534,0.8280431851981753,0.08002332530862176,0.055402951108433865,0.11904880952662047,0.671875,0.21875,0.5625,0.8125,0.010150562491239495,0.671875,1.0,1.6086225492285213,48.796875,True,False,0.18813251343436174,0.4882305855639457,1.0267723686874322,0.234375,107.4610529523734,107.94436322420461,2000.0,20.0,1280,0,0.4516105651855469,0
AB,64,0.19279391789319356,0.07884582705372303,0.7473940244422426,0.09133041418353935,0.058091212024940504,0.09084618242045536,0.828125,0.265625,0.453125,0.6875,0.009727538996507952,0.6875,1.0,1.6162483357154989,41.890625,True,False,0.22441139393570464,0.41798447224542845,1.5209561152294935,0.265625,117.87506128701352,118.0970498689394,2000.0,20.0,1280,0,0.48474597930908203,0
