cohort,baseline,method,metric,units,n,baseline_mean,method_mean,baseline_median,method_median,delta_method_minus_baseline,paired_median_delta,delta_ci95_low,delta_ci95_high,relative_improvement,relative_ci95_low,relative_ci95_high,wins,ties,losses,tie_tolerance,bootstrap_resamples,bootstrap_seed,evidence
A4,T0,T2,Novel,fraction,32,0.375,0.375,0,0,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T2,Unique,fraction,32,0.71875,0.71875,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T2,NUS,fraction,32,0.125,0.125,0,0,0,0,0,0,NA,NA,NA,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T2,Property MAE,mu_B/Angstrom^3,32,0.0092076509876415497,0.0094256331729123469,0.0072360089242834297,0.0073963627922184472,0.00021798218527079635,7.8930660693810051e-06,2.7285917027397405e-05,0.00051764912232235376,-0.023674027780089694,-0.063348204281170703,-0.0031310372774401478,14,0,18,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T2,Hit,fraction,32,0.625,0.625,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T2,Validity,fraction,32,1,1,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T2,Runtime,seconds,32,84.49223986574907,84.714288316125021,84.445442257507239,84.562310299952514,0.22204845037595078,0.3338453290052712,-0.071006825784979813,0.51106527647648281,-0.0026280336599996254,-0.0060599159875752264,0.00083948908333963252,9,0,23,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T2,Independent MaxF,eV/Angstrom,32,0.14767950664294283,0.14896963113050141,0.090395680990280891,0.080824809518066629,0.0012901244875585791,-0.0020029158414788268,-0.023419508315097974,0.028278470683610616,-0.0087359750644198843,-0.17209328842443086,0.17671017358977997,19,0,13,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T2,Independent mean force,eV/Angstrom,32,0.074182661916655873,0.073926257687572952,0.050655387127695781,0.044128148004494612,-0.00025640422908292148,-0.00056162196028112978,-0.013584380870177526,0.013040093280387874,0.0034563902461600972,-0.17233775476481347,0.18233390802554039,18,0,14,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,MaxF,eV/Angstrom,32,0.23150218242651582,0.060834261185700983,0.035327301924017174,0.029369957271993079,-0.17066792124081484,-0.0059757518046985557,-0.42548915154821637,-0.026253186656384122,0.73721949163476597,0.36573005492430932,0.8513391328438541,27,0,5,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,Atomic Force,eV/Angstrom,32,0.076908140550440707,0.030281546928468066,0.020765730604217436,0.017271331627917032,-0.046626593621972627,-0.0023992494636343297,-0.090769678152871597,-0.015256319659161749,0.60626343698158025,0.41903116647208882,0.70254866913175562,24,0,8,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,RMSD,Angstrom,32,0.012924186782502338,0.0051759449857109174,0.00089132041906628463,0.00080113851873397468,-0.0077482417967914196,-2.6034459101380802e-06,-0.01509551631741669,-0.0020151233565706694,0.59951484199234317,0.39183434506426212,0.76774487621025223,20,5,7,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
