epoch,train_normalized_loss,pos_mse,pos_cosine,cell_mse,cell_cosine,atomic_numbers_mse,atomic_numbers_cosine
1,0.9279726977646351,2168.688794851854,0.35831585566198243,7.655552375939157,0.22925023353044002,3.646697903479625,0.1649769945691612
2,0.9046989565789699,2166.596726017167,0.3601026903678864,7.707026245733102,0.21808360351709657,3.493350755762236,0.23205090178184834
3,0.8969342555999756,2163.5960309825496,0.361305180868902,7.6012620724207824,0.25129122453332203,3.7041131316133833,0.20109911489133206
4,0.889111633092165,2162.776050115765,0.36313083608809177,7.551596220728424,0.25247092789959236,3.442376826838582,0.2596330218992554
5,0.8845931928157806,2164.055899802118,0.3638693363641349,7.541927304195033,0.2530949957835508,3.465282164487371,0.2558972484664591
6,0.8788293477296829,2158.428693288352,0.3655032109399128,7.453851720882787,0.27018019969320983,3.574635559854984,0.194000345014268
7,0.8758650763630867,2166.0493986327688,0.368945725045213,7.451133678277333,0.273326987919135,3.435939053916009,0.2680205171554246
8,0.8727763112485408,2149.8650678214863,0.37008234830158215,7.524954267437259,0.2538991028701399,3.6094244390106027,0.23746868492941398
9,0.8762051545381546,2146.8412961618155,0.37163253754127,7.411148726708359,0.2824077165065455,3.427063930651133,0.267399715484638
10,0.8765362089276314,2145.4965010470105,0.3716770333845284,7.415820043501754,0.2838007254725858,3.438578532486612,0.26150143693429245
11,0.8734476360976696,2148.49259309108,0.37261275451985504,7.6639302129613025,0.2141235637942809,3.4176928488186586,0.272271887593483
12,0.8673534340262413,2140.520880019166,0.37452601726843704,7.508033879968855,0.26057930522016537,3.4974251687622773,0.2317479593046488
13,0.8754112375378609,2136.938535752985,0.37642315685764494,7.326447166850169,0.3008816063913814,3.4034891115698485,0.2792374109490772
14,0.8660499868988991,2151.125785358448,0.37622196895892673,7.317351631252302,0.30307016350245936,3.5282314438017286,0.22101392033600906
15,0.8633961392343045,2138.6319221669473,0.37807781043297345,7.51642193097704,0.25773233894628006,3.3935803560647386,0.2838894697033541
16,0.8680661456286907,2133.267078264656,0.38000314989021944,7.272433829236362,0.30891557782920265,3.4494672130467894,0.26010110623567395
17,0.8661706151366234,2124.0279234167715,0.3847871216061429,7.360663268965151,0.3006590172683538,3.4033408756488868,0.2792131797030767
18,0.8645268029272556,2121.259327196171,0.3839792433371914,7.378389609814518,0.29710082777923563,3.4555821952846175,0.27453181208847216
19,0.8571887913048267,2117.5865543418927,0.38598761462501346,7.260814712360501,0.318039945863787,3.4889438134636332,0.2649872835328636
20,0.858613612473011,2132.4155398970574,0.38303239100465813,7.231688064412938,0.3221290820408484,3.5863455639513524,0.2572857253054431
